aliaj	Aliaj
mborje	Mborje
mbrostar-ure	Mbrostar-Urë
melan	Melan
memaliaj	Memaliaj
mesopotam	Mesopotam
milot	Milot
miras	Miras
moglice	Moglicë
mollaj	Mollaj
mollas	Mollas
morave	Moravë
ndroq	Ndroq
ngracan	Ngraçan
nicaj-shale	Nicaj-Shalë
nicaj-shosh	Nicaj-Shosh
nikel	Nikël
novosele	Novoselë
odrie	Odrie
orenje	Orenjë
orikum	Orikum
orosh	Orosh
ostreni i math	Ostreni i Math
otllak	Otllak
pajove	Pajovë
paper	Papër
paskuqan	Paskuqan
patos	Patos
patos fshat	Patos Fshat
peqin	Peqin
permet	Përmet
perondi	Perondi
perparim	Përparim
perrenjas	Përrenjas
perrenjas-fshat	Përrenjas-Fshat
peshkopi	Peshkopi
petran	Petran
petrele	Petrelë
peza e madhe	Peza e Madhe
picar	Picar
pirg	Pirg
pishaj	Pishaj
piskove	Piskovë
pobrat	Pobrat
pogradec	Pogradec
pojan	Pojan
polican	Poliçan
polis-gostime	Polis-Gostimë
porocan	Poroçan
portez	Portëz
poshnje	Poshnjë
potom	Potom
preze	Prezë
proger	Progër
progonat	Progonat
proptisht	Proptisht
puke	Pukë
qafemal	Qafëmal
qelez	Qelëz
qender skrapar	Qendër Skrapar
qereshnik	Qereshnik
qerret	Qerret
qestorat	Qestorat
qukes-skenderbe	Qukës-Skënderbe
rajce	Rajcë
remas	Remas
roshnik qender	Roshnik Qender
roskovec	Roskovec
rrape	Rrapë
rrasa e siperme	Rrasa e Sipërme
rrashbull	Rrashbull
rreshen	Rrëshen
rrogozhine	Rrogozhinë
rubik	Rubik
rukaj	Rukaj
ruzhdie	Ruzhdie
samatice	Samaticë
sarande	Sarandë
saraqinishte	Saraqinishtë
selenice	Selenicë
selishte	Selishtë
selite	Selitë
sevaster	Sevaster
shales	Shalës
shengjergj	Shëngjergj
shengjin	Shëngjin
shenkoll	Shënkoll
shenmeri	Shënmëri
sheze	Shezë
shijak	Shijak
shirgjan	Shirgjan
shishtavec	Shishtavec
shkoder	Shkodër
shtiqen	Shtiqën
shupenze	Shupenzë
shushice	Shushicë
sinaballaj	Sinaballaj
sinje	Sinjë
skenderbegas	Skënderbegas
skore	Skore
sllove	Sllovë
starove	Starovë
stebleve	Steblevë
stravaj	Stravaj
strum	Strum
suc	Suç
suke	Sukë
sukth	Sukth
sult	Sult
surroj	Surroj
synej	Synej
tapi	Tapi
tepelene	Tepelenë
terbuf	Tërbuf
thumane	Thumanë
tirana	Tirana
tomin	Tomin
topojan	Topojan
topoje	Topojë
trebinje	Trebinjë
trebisht-mucine	Trebisht-Muçinë
tregan	Tregan
tunje	Tunjë
udenisht	Udënisht
ujmisht	Ujmisht
ulez	Ulëz
ungrej	Ungrej
ura vajgurore	Ura Vajgurore
uznove	Uznovë
valbone	Valbonë
vaqarr	Vaqarr
vau i dejes	Vau i Dejës
velabisht	Velabisht
velcan	Velçan
velipoje	Velipojë
vendresha e vogel	Vendresha e Vogël
vergo	Vergo
vertop	Vërtop
vithkuq	Vithkuq
vllahine	Vllahinë
vlore	Vlorë
vore	Vorë
voskop	Voskop
voskopoje	Voskopojë
vranisht	Vranisht
vrap	Vrap
vreshtas	Vreshtas
vukatane	Vukatanë
xarre	Xarrë
xhafzotaj	Xhafzotaj
xiber-murrize	Xibër-Murrizë
zall-bastar	Zall-Bastar
zall-dardhe	Zall-Dardhë
zall-herr	Zall-Herr
zall-rec	Zall-Reç
zapod	Zapod
zavaline	Zavalinë
zejmen	Zejmen
zerqan	Zerqan
zharrez	Zharrëz
