abadzekhskaya	Abadzekhskaya
besleneyevskaya	Besleneyevskaya
besskorbnaya	Besskorbnaya
bessonovka	Bessonovka
bestyakh	Bestyakh
betlitsa	Betlitsa
beya	Beya
bezenchuk	Bezenchuk
bezhanitsy	Bezhanitsy
bezhetsk	Bezhetsk
bezhta	Bezhta
bezopasnoye	Bezopasnoye
bibirevo	Bibirevo
bichura	Bichura
bikin	Bikin
bilibino	Bilibino
bilimbay	Bilimbay
bilyarsk	Bilyarsk
biorki	Biorki
bira	Bira
birakan	Birakan
birobidzhan	Birobidzhan
birsk	Birsk
biruch	Biruch
biryulevo	Biryulëvo
biryulevo zapadnoye	Biryulëvo Zapadnoye
biryusinsk	Biryusinsk
bisert’	Bisert’
biskamzha	Biskamzha
biysk	Biysk
bizhbulyak	Bizhbulyak
blagodarnyy	Blagodarnyy
blagodatnoye	Blagodatnoye
blagoveshchenka	Blagoveshchenka
blagoveshchensk	Blagoveshchensk
blagovetschenskaya	Blagovetschenskaya
blagoyevo	Blagoyevo
blechepsin	Blechepsin
blizhne-pesochnoye	Blizhne-Pesochnoye
blyasino	Blyasino
bobrov	Bobrov
bobrovka	Bobrovka
bobrovo	Bobrovo
bobrovskiy	Bobrovskiy
bodaybo	Bodaybo
bogandinskiy	Bogandinskiy
bogashevo	Bogashevo
bogatoye	Bogatoye
bogatyr’	Bogatyr’
bogatyye saby	Bogatyye Saby
bogdanovich	Bogdanovich
bogolyubovo	Bogolyubovo
bogoroditsk	Bogoroditsk
bogorodsk	Bogorodsk
bogorodskoye	Bogorodskoye
bogoslovka	Bogoslovka
bogotol	Bogotol
bogovarovo	Bogovarovo
bograd	Bograd
boguchany	Boguchany
boguchar	Boguchar
bokhan	Bokhan
bokino	Bokino
bokovskaya	Bokovskaya
boksitogorsk	Boksitogorsk
bol'shiye vyazemy	Bol'shiye Vyazëmy
bol'shoe isakovo	Bol'shoe Isakovo
bol'soj kamen'	Bol'šoj Kamen'
bolgar	Bolgar
bolgatovo	Bolgatovo
bolkhov	Bolkhov
bologoye	Bologoye
bologoye-4	Bologoye-4
bolokhovo	Bolokhovo
bolotnoye	Bolotnoye
bolshevo	Bolshevo
bol’shakovo	Bol’shakovo
bol’shaya atnya	Bol’shaya Atnya
bol’shaya chernigovka	Bol’shaya Chernigovka
bol’shaya glushitsa	Bol’shaya Glushitsa
bol’shaya izhora	Bol’shaya Izhora
bol’shaya martynovka	Bol’shaya Martynovka
bol’shaya murta	Bol’shaya Murta
bol’shaya rechka	Bol’shaya Rechka
bol’shaya setun’	Bol’shaya Setun’
bol’shaya sosnova	Bol’shaya Sosnova
bol’shaya tura	Bol’shaya Tura
bol’sherech’ye	Bol’sherech’ye
bol’sheust’ikinskoye	Bol’sheust’ikinskoye
bol’shiye berezniki	Bol’shiye Berezniki
bol’shiye dvory	Bol’shiye Dvory
bol’shiye kaybitsy	Bol’shiye Kaybitsy
bol’shiye uki	Bol’shiye Uki
bol’shoy karay	Bol’shoy Karay
bol’shoy khomutets	Bol’shoy Khomutets
bol’shoy kunaley	Bol’shoy Kunaley
bol’shoy tsaryn	Bol’shoy Tsaryn
bol’shoy uluy	Bol’shoy Uluy
bol’shoye boldino	Bol’shoye Boldino
bol’shoye gryzlovo	Bol’shoye Gryzlovo
bol’shoye ignatovo	Bol’shoye Ignatovo
bol’shoye kozino	Bol’shoye Kozino
bol’shoye murashkino	Bol’shoye Murashkino
bol’shoye nagatkino	Bol’shoye Nagatkino
bol’shoye polpino	Bol’shoye Polpino
bol’shoye selo	Bol’shoye Selo
bol’shoye skuratovo	Bol’shoye Skuratovo
bol’shoye soldatskoye	Bol’shoye Soldatskoye
bol’shoye sorokino	Bol’shoye Sorokino
bondari	Bondari
bor	Bor
borgustanskaya	Borgustanskaya
borinskoye	Borinskoye
borisoglebsk	Borisoglebsk
borisoglebskiy	Borisoglebskiy
borisova griva	Borisova Griva
borisovka	Borisovka
borodino	Borodino
borodinskiy	Borodinskiy
borogontsy	Borogontsy
borok	Borok
borovichi	Borovichi
borovikha	Borovikha
borovoy	Borovoy
borovsk	Borovsk
borovskiy	Borovskiy
borskoye	Borskoye
borzoy	Borzoy
borzya	Borzya
boshnyakovo	Boshnyakovo
botashyurt	Botashyurt
botayurt	Botayurt
botlikh	Botlikh
brateyevo	Brateyevo
bratovshchina	Bratovshchina
bratsk	Bratsk
bredy	Bredy
breytovo	Breytovo
brodokalmak	Brodokalmak
bronnitsy	Bronnitsy
brusyanka	Brusyanka
bryansk	Bryansk
bryukhovetskaya	Bryukhovetskaya
budagovo	Budagovo
budenovetc	Budenovetc
budogoshch’	Budogoshch’
budyonnovsk	Budyonnovsk
bugry	Bugry
bugulma	Bugulma
buguruslan	Buguruslan
buinsk	Buinsk
bukachacha	Bukachacha
bulanash	Bulanash
bulgakovo	Bulgakovo
bulgunnyakhtakh	Bulgunnyakhtakh
burayevo	Burayevo
burevestnik	Burevestnik
bureya	Bureya
buribay	Buribay
burla	Burla
burlatskoye	Burlatskoye
burmakino	Burmakino
burtunay	Burtunay
butka	Butka
buturlino	Buturlino
buturlinovka	Buturlinovka
buy	Buy
buynaksk	Buynaksk
buzdyak	Buzdyak
buzuluk	Buzuluk
bykov	Bykov
bykovo	Bykovo
bylym	Bylym
bystrogorskiy	Bystrogorskiy
bystryanka	Bystryanka
bystryy istok	Bystryy Istok
bytosh’	Bytosh’
centralniy	Centralniy
chaa-khol’	Chaa-Khol’
chaadayevka	Chaadayevka
chad	Chad
chadan	Chadan
chagoda	Chagoda
chaltyr	Chaltyr
chamlykskaya	Chamlykskaya
chamzinka	Chamzinka
chany	Chany
chapayevsk	Chapayevsk
chaplygin	Chaplygin
chara	Chara
charyshskoye	Charyshskoye
chashnikovo	Chashnikovo
chastoozer’ye	Chastoozer’ye
chastyye	Chastyye
chaykovskaya	Chaykovskaya
chaykovskiy	Chaykovskiy
chebarkul’	Chebarkul’
cheboksary	Cheboksary
chebsara	Chebsara
chechen-aul	Chechen-Aul
chegdomyn	Chegdomyn
chegem	Chegem
chegem vtoroy	Chegem Vtoroy
chekalin	Chekalin
chekhov	Chekhov
chekmagush	Chekmagush
chelbasskaya	Chelbasskaya
chelno-vershiny	Chelno-Vershiny
chelyabinsk	Chelyabinsk
chemal	Chemal
chemodanovka	Chemodanovka
cherdakly	Cherdakly
cherdyn’	Cherdyn’
cheremisinovo	Cheremisinovo
cheremkhovo	Cheremkhovo
cheremnoye	Cheremnoye
cheremshan	Cheremshan
cheremshanka	Cheremshanka
cheremukhovo	Cherëmukhovo
cheremushki	Cherëmushki
cheremushskiy	Cheremushskiy
cherepanovo	Cherepanovo
cherepet’	Cherepet’
cherepovets	Cherepovets
cherga	Cherga
cherkasskoye	Cherkasskoye
cherkassy	Cherkassy
cherkessk	Cherkessk
cherkizovo	Cherkizovo
cherlak	Cherlak
chermen	Chermen
chermoz	Chermoz
chernaya kholunitsa	Chërnaya Kholunitsa
chernaya rechka	Chernaya Rechka
cherneya	Cherneya
chernichenskiye dvory	Chernichenskiye Dvory
chernigovka	Chernigovka
chernogolovka	Chernogolovka
chernogorsk	Chernogorsk
chernoistochinsk	Chernoistochinsk
chernolesskoye	Chernolesskoye
chernomorskiy	Chernomorskiy
chernoyerkovskaya	Chernoyerkovskaya
chernukha	Chernukha
chernushka	Chernushka
chernyakhovsk	Chernyakhovsk
chernyanka	Chernyanka
chernyshevka	Chernyshëvka
chernyshevsk	Chernyshevsk
chernyshevskiy	Chernyshevskiy
chernyshkovskiy	Chernyshkovskiy
chern’	Chern’
cherskiy	Cherskiy
chertanovo yuzhnoye	Chertanovo Yuzhnoye
chertkovo	Chertkovo
cherusti	Cherusti
chervishevo	Chervishevo
chesma	Chesma
chesnokovka	Chesnokovka
chigiri	Chigiri
chik	Chik
chikcha	Chikcha
chikola	Chikola
chinar	Chinar
chiri-yurt	Chiri-Yurt
chirkey	Chirkey
chishmy	Chishmy
chistogorskiy	Chistogorskiy
chistoozernoye	Chistoozërnoye
chistopol’	Chistopol’
chistoye	Chistoye
chistyye bory	Chistyye Bory
chita	Chita
chkalovsk	Chkalovsk
chkalovskiy	Chkalovskiy
chkalovskoye	Chkalovskoye
chokurdakh	Chokurdakh
chontaul	Chontaul
chornoye	Chornoye
choya	Choya
chuchkovo	Chuchkovo
chudovo	Chudovo
chufarovo	Chufarovo
chuguyevka	Chuguyevka
chukhloma	Chukhloma
chulym	Chulym
chul’man	Chul’man
chumikan	Chumikan
chunoyar	Chunoyar
chunskiy	Chunskiy
chupa	Chupa
chupryakovo	Chupryakovo
churapcha	Churapcha
churovichi	Churovichi
chusovoy	Chusovoy
chyorny yar	Chyorny Yar
dachnoye	Dachnoye
dagestanskiye ogni	Dagestanskiye Ogni
dagomys	Dagomys
dalakovo	Dalakovo
dalmatovo	Dalmatovo
dalnegorsk	Dalnegorsk
dalnerechensk	Dalnerechensk
dal’neye konstantinovo	Dal’neye Konstantinovo
danilov	Danilov
danilovka	Danilovka
danki	Danki
dankov	Dankov
darasun	Darasun
darovskoy	Darovskoy
dauriya	Dauriya
davlekanovo	Davlekanovo
davydkovo	Davydkovo
davydovka	Davydovka
davydovo	Davydovo
de-kastri	De-Kastri
debesy	Debësy
dedenevo	Dedenëvo
dedino	Dedino
dedovichi	Dedovichi
dedovsk	Dedovsk
degtyarsk	Degtyarsk
demidov	Demidov
demikhovo	Demikhovo
demyansk	Demyansk
dem’yanovo	Dem’yanovo
deputatsky	Deputatsky
derbent	Derbent
dergachi	Dergachi
deshovki	Deshovki
desnogorsk	Desnogorsk
detchino	Detchino
devitsa	Devitsa
deyskoye	Deyskoye
digora	Digora
dikson	Dikson
dimitrovgrad	Dimitrovgrad
dinskaya	Dinskaya
diveyevo	Diveyevo
divnogorsk	Divnogorsk
divnomorskoye	Divnomorskoye
divnoye	Divnoye
dmitriyev	Dmitriyev
dmitriyevka	Dmitriyevka
dmitriyevskaya	Dmitriyevskaya
dmitriyevskoye	Dmitriyevskoye
dmitrov	Dmitrov
dmitrovsk	Dmitrovsk
dmitrovskiy pogost	Dmitrovskiy Pogost
dneprovskaya	Dneprovskaya
dno	Dno
dobrinka	Dobrinka
dobroye	Dobroye
dobrun’	Dobrun’
dobryanka	Dobryanka
dobryatino	Dobryatino
dolgoderevenskoye	Dolgoderevenskoye
dolgoprudnyy	Dolgoprudnyy
dolgorukovo	Dolgorukovo
dolgoye	Dolgoye
dolinsk	Dolinsk
dolzhanskaya	Dolzhanskaya
dombarovskiy	Dombarovskiy
domna	Domna
domodedovo	Domodedovo
dondukovskaya	Dondukovskaya
donetsk	Donetsk
donskoy	Donskoy
donskoye	Donskoye
dorgeli	Dorgeli
dorogino	Dorogino
dorogobuzh	Dorogobuzh
dorogomilovo	Dorogomilovo
dorokhovo	Dorokhovo
doschatoye	Doschatoye
dostoyevka	Dostoyevka
dovol’noye	Dovol’noye
drakino	Drakino
drezna	Drezna
drovyanaya	Drovyanaya
drozhzhino	Drozhzhino
druzhba	Druzhba
druzhinino	Druzhinino
druzhnaya gorka	Druzhnaya Gorka
duba-yurt	Duba-Yurt
dubenki	Dubënki
dubinino	Dubinino
dubki	Dubki
dubna	Dubna
dubovka	Dubovka
dubovskoye	Dubovskoye
dubovyy umyot	Dubovyy Umyot
dubrovino	Dubrovino
dubrovitsy	Dubrovitsy
dubrovka	Dubrovka
dudinka	Dudinka
dugulubgey	Dugulubgey
dukat	Dukat
dukhovnitskoye	Dukhovnitskoye
dukhovshchina	Dukhovshchina
dulyapino	Dulyapino
dul’durga	Dul’durga
duminichi	Duminichi
dunay	Dunay
duvan	Duvan
dvinskoy	Dvinskoy
dvortsy	Dvortsy
dvubratskiy	Dvubratskiy
dvurechensk	Dvurechensk
dyat’kovo	Dyat’kovo
dylym	Dylym
dyshne-vedeno	Dyshne-Vedeno
dyurtyuli	Dyurtyuli
dzerzhinsk	Dzerzhinsk
dzerzhinskiy	Dzerzhinskiy
dzerzhinskoye	Dzerzhinskoye
dzerzhinsky	Dzerzhinsky
dzhalil’	Dzhalil’
dzhalka	Dzhalka
dzhayrakh	Dzhayrakh
dzhebariki-khaya	Dzhebariki-Khaya
dzhida	Dzhida
dzhiginka	Dzhiginka
dzhubga	Dzhubga
edissiya	Edissiya
egvekinot	Egvekinot
ekazhevo	Ekazhevo
ekimchan	Ekimchan
elekmonar	Elekmonar
elektrogorsk	Elektrogorsk
elektrostal’	Elektrostal’
elektrougli	Elektrougli
elin-yurt	Elin-Yurt
elista	Elista
elitnyy	Elitnyy
elkhotovo	Elkhotovo
el’-bazhi	El’-Bazhi
el’ban	El’ban
el’brus	El’brus
el’ton	El’ton
emar	Emar
emmaus	Emmaus
endirey	Endirey
enem	Enem
energetik	Energetik
engels	Engels
engel’-yurt	Engel’-Yurt
erken-shakhar	Erken-Shakhar
erpeli	Erpeli
ertil’	Ertil’
erzin	Erzin
esso	Esso
essoyla	Essoyla
etoka	Etoka
evensk	Evensk
ezhva	Ezhva
fakel	Fakel
falyonki	Falyonki
fastovetskaya	Fastovetskaya
fatezh	Fatezh
fedorovka	Fëdorovka
fedorovskiy	Fedorovskiy
fedorovskoye	Fëdorovskoye
fedurnovo	Fedurnovo
ferapontovo	Ferapontovo
ferma	Ferma
fershampenuaz	Fershampenuaz
ferzikovo	Ferzikovo
fili	Fili
filimonki	Filimonki
filimonovo	Filimonovo
filippovka	Filippovka
finlyandskiy	Finlyandskiy
firovo	Firovo
firsanovka	Firsanovka
foki	Foki
fokino	Fokino
fornosovo	Fornosovo
fosforitnyy	Fosforitnyy
frolishchi	Frolishchi
frolovo	Frolovo
froly	Froly
fryanovo	Fryanovo
fryazevo	Fryazevo
fryazino	Fryazino
furmanov	Furmanov
gadaley	Gadaley
gadzhiyevo	Gadzhiyevo
gagarin	Gagarin
gagatli	Gagatli
gagino	Gagino
galashki	Galashki
galich	Galich
galitsy	Galitsy
galyugayevskaya	Galyugayevskaya
gal’bshtadt	Gal’bshtadt
gamovo	Gamovo
gaptsakh	Gaptsakh
garbolovo	Garbolovo
gari	Gari
gastello	Gastello
gatchina	Gatchina
gavrilov posad	Gavrilov Posad
gavrilov-yam	Gavrilov-Yam
gavrilovka vtoraya	Gavrilovka Vtoraya
gay	Gay
gayduk	Gayduk
gayny	Gayny
gazimurskiy zavod	Gazimurskiy Zavod
gdov	Gdov
gedzhukh	Gedzhukh
gekhi	Gekhi
gelendzhik	Gelendzhik
geli	Geli
georgiyevka	Georgiyevka
georgiyevsk	Georgiyevsk
georgiyevskaya	Georgiyevskaya
georgiyevskoye	Georgiyevskoye
gereykhanovskoye	Gereykhanovskoye
gerga	Gerga
gergebil’	Gergebil’
germenchik	Germenchik
germenchuk	Germenchuk
gerpegezh	Gerpegezh
gerzel’-aul	Gerzel’-Aul
giaginskaya	Giaginskaya
gidrotorf	Gidrotorf
gigant	Gigant
gimry	Gimry
girey	Girey
girvas	Girvas
gizel’	Gizel’
glafirovka	Glafirovka
glazov	Glazov
glazunovka	Glazunovka
glebychevo	Glebychevo
glembochino	Glembochino
glinishchevo	Glinishchevo
glinka	Glinka
glotovka	Glotovka
glubokiy	Glubokiy
glubokoye	Glubokoye
glushkovo	Glushkovo
glyadyanskoye	Glyadyanskoye
godoberi	Godoberi
gofitskoye	Gofitskoye
golitsyno	Golitsyno
golovchino	Golovchino
golovino	Golovino
golovinskiy	Golovinskiy
golubitskaya	Golubitskaya
golynki	Golynki
golyshmanovo	Golyshmanovo
gol’yanovo	Gol’yanovo
gon’ba	Gon’ba
goragorskiy	Goragorskiy
gorbatov	Gorbatov
gorbatovka	Gorbatovka
gorbunki	Gorbunki
gordeyevka	Gordeyevka
gorelki	Gorelki
gorelovo	Gorelovo
goreloye	Goreloye
gorin	Gorin
goritsy	Goritsy
gorki vtoryye	Gorki Vtoryye
gorki-leninskiye	Gorki-Leninskiye
gorno-altaysk	Gorno-Altaysk
gornopravdinsk	Gornopravdinsk
gornorechenskiy	Gornorechenskiy
gornoye loo	Gornoye Loo
gornozavodsk	Gornozavodsk
gornyak	Gornyak
gornyatskiy	Gornyatskiy
gornyi	Gornyi
gornyy	Gornyy
gornyy balykley	Gornyy Balykley
gornyy shchit	Gornyy Shchit
gornyye klyuchi	Gornyye Klyuchi
gorod shebekino	Gorod Shebekino
gorod solnetchnogorsk	gorod Solnetchnogorsk
gorodets	Gorodets
gorodishche	Gorodishche
gorodnya	Gorodnya
gorodoviki	Gorodoviki
gorodovikovsk	Gorodovikovsk
gorokhovets	Gorokhovets
gorshechnoye	Gorshechnoye
gorshkovo	Gorshkovo
gorskaya	Gorskaya
goryachevodskiy	Goryachevodskiy
goryachiy klyuch	Goryachiy Klyuch
gor’kovskoye	Gor’kovskoye
gostagayevskaya	Gostagayevskaya
gostilitsy	Gostilitsy
goy-chu	Goy-Chu
goyty	Goyty
grabovo	Grabovo
grachevka	Grachëvka
grakhovo	Grakhovo
gramoteino	Gramoteino
grayvoron	Grayvoron
grazhdanka	Grazhdanka
grazhdanskoye	Grazhdanskoye
grebenskaya	Grebenskaya
grebnevo	Grebnevo
grecheskoye	Grecheskoye
gremyachevo	Gremyachevo
gremyachinsk	Gremyachinsk
gribanovskiy	Gribanovskiy
grigoropolisskaya	Grigoropolisskaya
grishkovka	Grishkovka
gritsovskiy	Gritsovskiy
grivenskaya	Grivenskaya
grozny	Grozny
grushevskaya	Grushevskaya
gryazi	Gryazi
gryaznovskoye	Gryaznovskoye
gryazovets	Gryazovets
gubakha	Gubakha
gubden	Gubden
gubkin	Gubkin
gubkinskiy	Gubkinskiy
gubskaya	Gubskaya
gudermes	Gudermes
gukovo	Gukovo
gul’kevichi	Gul’kevichi
gumrak	Gumrak
gundelen	Gundelen
gundorovskiy	Gundorovskiy
gunib	Gunib
guran	Guran
gurbuki	Gurbuki
gur’yevsk	Gur’yevsk
gusev	Gusev
gusevskiy	Gusevskiy
gusinoozyorsk	Gusinoozyorsk
gusinoye ozero	Gusinoye Ozero
gus’-khrustal’nyy	Gus’-Khrustal’nyy
gus’-zheleznyy	Gus’-Zheleznyy
gvardeysk	Gvardeysk
gzhel’	Gzhel’
ibresi	Ibresi
idrinskoye	Idrinskoye
