aba	Aba
budapest ii. kerulet	Budapest II. kerület
budapest iii. kerulet	Budapest III. kerület
budapest iv. kerulet	Budapest IV. kerület
budapest v. kerulet	Budapest V. kerület
budapest vi. kerulet	Budapest VI. kerület
budapest viii. kerulet	Budapest VIII. kerület
budapest xi. kerulet	Budapest XI. kerület
budapest xii. kerulet	Budapest XII. kerület
budapest xiii. kerulet	Budapest XIII. kerület
budapest xix. kerulet	Budapest XIX. kerület
budapest xv. kerulet	Budapest XV. kerület
budapest xvi. kerulet	Budapest XVI. kerület
budapest xvii. kerulet	Budapest XVII. kerület
budapest xviii. kerulet	Budapest XVIII. kerület
budapest xx. kerulet	Budapest XX. kerület
budapest xxi. kerulet	Budapest XXI. kerület
budapest xxii. kerulet	Budapest XXII. kerület
budapest xxiii. kerulet	Budapest XXIII. kerület
budateteny	Budatétény
bugac	Bugac
bugyi	Bugyi
buj	Buj
bujak	Buják
buk	Bük
bukkosd	Bükkösd
bukkszentkereszt	Bükkszentkereszt
cece	Cece
cegled	Cegléd
cegledbercel	Ceglédbercel
celldomolk	Celldömölk
cibakhaza	Cibakháza
cigand	Cigánd
cinkota	Cinkota
corvinnegyed	Corvinnegyed
csabrendek	Csabrendek
csakvar	Csákvár
csanadapaca	Csanádapáca
csanadpalota	Csanádpalota
csany	Csány
csanytelek	Csanytelek
csarnoknegyed	Csarnoknegyed
csaszar	Császár
csaszartoltes	Császártöltés
csatalja	Csátalja
csavoly	Csávoly
csemo	Csemő
csengele	Csengele
csenger	Csenger
csengod	Csengőd
csepel-belvaros	Csepel-Belváros
csepel-csillagtelep	Csepel-Csillagtelep
csepel-erdosor	Csepel-Erdősor
csepel-haros	Csepel-Háros
csepel-kertvaros	Csepel-Kertváros
csepel-kiralyerdo	Csepel-Királyerdő
csepel-kiralymajor	Csepel-Királymajor
csepel-szabotelep	Csepel-Szabótelep
csepreg	Csepreg
cserkeszolo	Cserkeszőlő
cserszegtomaj	Cserszegtomaj
cseteny	Csetény
csillaghegy	Csillaghegy
csobanka	Csobánka
csokmo	Csökmő
csokonyavisonta	Csokonyavisonta
csolnok	Csolnok
csolyospalos	Csólyospálos
csomor	Csömör
csongrad	Csongrád
csopak	Csopak
csor	Csór
csorna	Csorna
csorvas	Csorvás
csurgo	Csurgó
dabas	Dabas
dad	Dad
danszentmiklos	Dánszentmiklós
dany	Dány
davod	Dávod
debrecen	Debrecen
decs	Decs
dedestapolcsany	Dédestapolcsány
deg	Dég
delegyhaza	Délegyháza
demecser	Demecser
derecske	Derecske
deszk	Deszk
devavanya	Dévaványa
devecser	Devecser
diosd	Diósd
diosgyor	Diósgyőr
diosjeno	Diósjenő
doboz	Doboz
dobrokoz	Döbrököz
doge	Döge
domaszek	Domaszék
dombegyhaz	Dombegyház
dombovar	Dombóvár
dombrad	Dombrád
domony	Domony
domos	Dömös
domoszlo	Domoszló
domsod	Dömsöd
dorog	Dorog
dunaalmas	Dunaalmás
dunabogdany	Dunabogdány
dunaegyhaza	Dunaegyháza
dunafoldvar	Dunaföldvár
dunaharaszti	Dunaharaszti
dunakeszi	Dunakeszi
dunakiliti	Dunakiliti
dunapataj	Dunapataj
dunaszekcso	Dunaszekcső
dunaszentgyorgy	Dunaszentgyörgy
dunasziget	Dunasziget
dunaujvaros	Dunaújváros
dunavarsany	Dunavarsány
dunavecse	Dunavecse
dusnok	Dusnok
ebes	Ebes
ecsed	Ecséd
ecseg	Ecseg
ecser	Ecser
edeleny	Edelény
eger	Eger
egerszalok	Egerszalók
egyek	Egyek
elek	Elek
eloszallas	Előszállás
emod	Emőd
encs	Encs
encsencs	Encsencs
endrefalva	Endrefalva
enying	Enying
ercsi	Ercsi
erd	Érd
erdokertes	Erdőkertes
erdoskert	Erdőskert
erdotelek	Erdőtelek
ersekcsanad	Érsekcsanád
ersekvadkert	Érsekvadkert
erzsebettelep	Erzsébettelep
erzsebetvaros	Erzsébetváros
esztergom	Esztergom
etyek	Etyek
fabiansebestyen	Fábiánsebestyén
fadd	Fadd
fajsz	Fajsz
farad	Farád
farkaslyuk	Farkaslyuk
farmos	Farmos
fegyvernek	Fegyvernek
fehergyarmat	Fehérgyarmat
fehervarcsurgo	Fehérvárcsurgó
felsonyarad	Felsőnyárád
felsopakony	Felsőpakony
felsorakos	Felsőrákos
felsoszentivan	Felsőszentiván
felsotag	Felsőtag
felsotarkany	Felsőtárkány
felsozsolca	Felsőzsolca
fenyeslitke	Fényeslitke
ferencvaros	Ferencváros
fertod	Fertőd
fertorakos	Fertőrákos
fertoszentmiklos	Fertőszentmiklós
fokto	Foktő
foldeak	Földeák
foldes	Földes
fonyod	Fonyód
forraskut	Forráskút
forropuszta	Forrópuszta
fot	Fót
fulopjakab	Fülöpjakab
fulopszallas	Fülöpszállás
fuzesabony	Füzesabony
fuzesgyarmat	Füzesgyarmat
gadoros	Gádoros
galgaheviz	Galgahévíz
galgamacsa	Galgamácsa
ganzkertvaros	Ganzkertváros
ganznegyed	Ganznegyed
ganztelep	Ganztelep
gara	Gara
gardony	Gárdony
gegeny	Gégény
gellerthegy	Gellérthegy
gencsapati	Gencsapáti
gesztely	Gesztely
gloriett-telep	Gloriett-telep
god	Göd
godollo	Gödöllő
gomba	Gomba
gonc	Gönc
gorbehaza	Görbeháza
goromboly	Görömböly
gubacs	Gubacs
gubacsidulo	Gubacsidűlő
gubacsipuszta	Gubacsipuszta
gyal	Gyál
gyardulo	Gyárdűlő
gyenesdias	Gyenesdiás
gyomaendrod	Gyomaendrőd
gyomro	Gyömrő
gyongyos	Gyöngyös
gyongyoshalasz	Gyöngyöshalász
gyongyospata	Gyöngyöspata
gyongyossolymos	Gyöngyössolymos
gyongyostarjan	Gyöngyöstarján
gyonk	Gyönk
gyor	Győr
gyorszemere	Győrszemere
gyorujbarat	Győrújbarát
gyula	Gyula
gyulahaza	Gyulaháza
hajdubagos	Hajdúbagos
hajduboszormeny	Hajdúböszörmény
hajdudorog	Hajdúdorog
hajduhadhaz	Hajdúhadház
hajdunanas	Hajdúnánás
hajdusamson	Hajdúsámson
hajduszoboszlo	Hajdúszoboszló
hajduszovat	Hajdúszovát
hajmasker	Hajmáskér
hajos	Hajós
halaszi	Halászi
halasztelek	Halásztelek
halmaj	Halmaj
hangony	Hangony
harka	Harka
harkany	Harkány
harsany	Harsány
harta	Harta
hatvan	Hatvan
havanna-lakotelep	Havanna-lakótelep
hedervar	Hédervár
hegyeshalom	Hegyeshalom
hegyko	Hegykő
hehalom	Héhalom
hejobaba	Hejőbába
helvecia	Helvécia
hercegszanto	Hercegszántó
hered	Heréd
herend	Herend
hernad	Hernád
hernadkak	Hernádkak
hernadnemeti	Hernádnémeti
heves	Heves
heviz	Hévíz
hevizgyork	Hévízgyörk
hidas	Hidas
hodasz	Hodász
hodmezovasarhely	Hódmezővásárhely
hogyesz	Hőgyész
homokmegy	Homokmégy
hort	Hort
hortobagy	Hortobágy
hosszuheteny	Hosszúhetény
hosszupalyi	Hosszúpályi
ibrany	Ibrány
iklad	Iklad
inarcs	Inárcs
iregszemcse	Iregszemcse
isaszeg	Isaszeg
istvanmezo	Istvánmező
ivan	Iván
ivancsa	Iváncsa
izsak	Izsák
izsofalva	Izsófalva
jak	Ják
jakabszallas	Jakabszállás
janoshalma	Jánoshalma
janoshaza	Jánosháza
janoshida	Jánoshida
janossomorja	Jánossomorja
jardanhaza	Járdánháza
jaszalsoszentgyorgy	Jászalsószentgyörgy
jaszapati	Jászapáti
jaszarokszallas	Jászárokszállás
jaszbereny	Jászberény
jaszdozsa	Jászdózsa
jaszfelsoszentgyorgy	Jászfelsőszentgyörgy
jaszjakohalma	Jászjákóhalma
jaszkarajeno	Jászkarajenő
jaszkiser	Jászkisér
jaszladany	Jászladány
jaszszentandras	Jászszentandrás
jaszszentlaszlo	Jászszentlászló
jobbagyi	Jobbágyi
jozsef attila-lakotelep	József Attila-lakótelep
jozsefvaros	Józsefváros
kaba	Kaba
kadarkut	Kadarkút
kakucs	Kakucs
kal	Kál
kallosemjen	Kállósemjén
kalmanhaza	Kálmánháza
kalocsa	Kalocsa
kaloz	Káloz
kantorjanosi	Kántorjánosi
kapolnasnyek	Kápolnásnyék
kaposmero	Kaposmérő
kaposvar	Kaposvár
kapuvar	Kapuvár
karacsond	Karácsond
karad	Karád
karancskeszi	Karancskeszi
karancslapujto	Karancslapujtő
karcag	Karcag
karcsa	Karcsa
kartal	Kartal
kaskantyu	Kaskantyú
kaszaper	Kaszaper
katymar	Katymár
kazar	Kazár
kazincbarcika	Kazincbarcika
kecel	Kecel
kecsked	Kecskéd
kecskemet	Kecskemét
kek	Kék
kelebia	Kelebia
kelenfold	Kelenföld
kelenvolgy	Kelenvölgy
kemecse	Kemecse
kenderes	Kenderes
kengyel	Kengyel
kerecsend	Kerecsend
kerekegyhaza	Kerekegyháza
kerepes	Kerepes
kereszturidulo	Keresztúridűlő
keszthely	Keszthely
kesztolc	Kesztölc
ketegyhaza	Kétegyháza
kethely	Kéthely
kevermes	Kevermes
kimle	Kimle
kincsesbanya	Kincsesbánya
kisber	Kisbér
kisgyor	Kisgyőr
kiskanizsa	Kiskanizsa
kiskore	Kisköre
kiskoros	Kiskőrös
kiskunfelegyhaza	Kiskunfélegyháza
kiskunhalas	Kiskunhalas
kiskunlachaza	Kiskunlacháza
kiskunmajsa	Kiskunmajsa
kislang	Kisláng
kisleta	Kisléta
kismaros	Kismaros
kispest	Kispest
kisszallas	Kisszállás
kistarcsa	Kistarcsa
kistelek	Kistelek
kistokaj	Kistokaj
kisujszallas	Kisújszállás
kisvarda	Kisvárda
kiszombor	Kiszombor
kobanya	Kőbánya
kobanya-kertvaros	Kőbánya-Kertváros
kocs	Kocs
kocser	Kocsér
kocsord	Kocsord
koka	Kóka
komadi	Komádi
komarom	Komárom
komlo	Komló
kompolt	Kompolt
kondoros	Kondoros
kony	Kóny
konyar	Konyár
kormend	Körmend
kornye	Környe
korosladany	Körösladány
korostarcsa	Köröstarcsa
kosd	Kosd
kossuth ferenc-telep	Kossuth Ferenc-telep
kossuthfalva	Kossuthfalva
koszeg	Kőszeg
kotaj	Kótaj
kozarmisleny	Kozármisleny
kozepso-ferencvaros	Középső-Ferencváros
krepuska geza-telep	Krepuska Géza-telep
kulso-ferencvaros	Külső-Ferencváros
kunadacs	Kunadacs
kunagota	Kunágota
kunbaja	Kunbaja
kunfeherto	Kunfehértó
kunhegyes	Kunhegyes
kunmadaras	Kunmadaras
kunszallas	Kunszállás
kunszentmarton	Kunszentmárton
kunszentmiklos	Kunszentmiklós
kurityan	Kurityán
labatlan	Lábatlan
labod	Lábod
ladanybene	Ladánybene
lagymanyos	Lágymányos
lajoskomarom	Lajoskomárom
lajosmizse	Lajosmizse
lakatos-lakotelep	Lakatos-lakótelep
lakihegy	Lakihegy
lakitelek	Lakitelek
lanycsok	Lánycsók
laposdulo	Laposdűlő
leanyfalu	Leányfalu
lebeny	Lébény
lengyeltoti	Lengyeltóti
lenti	Lenti
lepseny	Lepsény
letavertes	Létavértes
letenye	Letenye
level	Levél
levelek	Levelek
ligettelek	Ligettelek
lipotvaros	Lipótváros
liptaktelep	Liptáktelep
liter	Litér
lokoshaza	Lőkösháza
lonyaytelep	Lónyaytelep
lorinci	Lőrinci
losoncinegyed	Losoncinegyed
lovasbereny	Lovasberény
mad	Mád
madaras	Madaras
madardomb	Madárdomb
madocsa	Madocsa
magdolnanegyed	Magdolnanegyed
maglod	Maglód
magocs	Mágocs
magyarbanhegyes	Magyarbánhegyes
maklar	Maklár
mako	Makó
malyi	Mályi
mandok	Mándok
many	Mány
marcali	Marcali
mariapocs	Máriapócs
maroslele	Maroslele
martin kertvaros	Martin Kertváros
martonhegy	Mártonhegy
martonvasar	Martonvásár
mateszalka	Mátészalka
matraderecske	Mátraderecske
matranovak	Mátranovák
matraterenye	Mátraterenye
matraverebely	Mátraverebély
matyasfold	Mátyásföld
mecseknadasd	Mecseknádasd
medgyesegyhaza	Medgyesegyháza
megyaszo	Megyaszó
mehkerek	Méhkerék
melykut	Mélykút
mende	Mende
merk	Mérk
mezobereny	Mezőberény
mezocsat	Mezőcsát
mezofalva	Mezőfalva
mezohegyes	Mezőhegyes
mezokeresztes	Mezőkeresztes
mezokovacshaza	Mezőkovácsháza
mezokovesd	Mezőkövesd
mezoszilas	Mezőszilas
mezotur	Mezőtúr
mezozombor	Mezőzombor
mihalyi	Mihályi
mikepercs	Mikepércs
miklostelep	Miklóstelep
mindszent	Mindszent
miske	Miske
miskolc	Miskolc
miskolctapolca	Miskolctapolca
mocsa	Mocsa
mogyorod	Mogyoród
mohacs	Mohács
monok	Monok
monor	Monor
monostorpalyi	Monostorpályi
mor	Mór
morahalom	Mórahalom
mosonmagyarovar	Mosonmagyaróvár
mosonszentmiklos	Mosonszentmiklós
mucsony	Múcsony
murakeresztur	Murakeresztúr
nadasd	Nádasd
nadasdladany	Nádasdladány
nadudvar	Nádudvar
nagyatad	Nagyatád
nagybajom	Nagybajom
nagybaracska	Nagybaracska
nagycenk	Nagycenk
nagycserkesz	Nagycserkesz
nagydobos	Nagydobos
nagydorog	Nagydorog
nagyecsed	Nagyecsed
nagyfuged	Nagyfüged
nagyhalasz	Nagyhalász
nagyigmand	Nagyigmánd
nagykallo	Nagykálló
nagykanizsa	Nagykanizsa
nagykaracsony	Nagykarácsony
nagykata	Nagykáta
nagykoros	Nagykőrös
nagykovacsi	Nagykovácsi
nagymanyok	Nagymányok
nagymaros	Nagymaros
nagyoroszi	Nagyoroszi
nagyrabe	Nagyrábé
nagyrecse	Nagyrécse
nagyrede	Nagyréde
nagyszenas	Nagyszénás
nagytarcsa	Nagytarcsa
nagyteteny	Nagytétény
nagyvenyim	Nagyvenyim
naphegy	Naphegy
napkor	Napkor
naszaly	Naszály
nemesnadudvar	Nemesnádudvar
nemesvamos	Nemesvámos
nemetker	Németkér
nepliget	Népliget
nepszinhaznegyed	Népszínháznegyed
neszmely	Neszmély
nograd	Nógrád
nogradmegyer	Nógrádmegyer
nyaregyhaza	Nyáregyháza
nyarlorinc	Nyárlőrinc
nyekladhaza	Nyékládháza
nyergesujfalu	Nyergesújfalu
nyirabrany	Nyírábrány
nyiracsad	Nyíracsád
nyiradony	Nyíradony
nyirbator	Nyírbátor
nyirbeltek	Nyírbéltek
nyirbogat	Nyírbogát
nyirbogdany	Nyírbogdány
nyircsaholy	Nyírcsaholy
nyiregyhaza	Nyíregyháza
nyirgyulaj	Nyírgyulaj
nyirkarasz	Nyírkarász
nyirlugos	Nyírlugos
nyirmada	Nyírmada
nyirmartonfalva	Nyírmártonfalva
nyirmeggyes	Nyírmeggyes
nyirmihalydi	Nyírmihálydi
nyirpazony	Nyírpazony
nyirtass	Nyírtass
nyirtelek	Nyírtelek
nyirvasvari	Nyírvasvári
nyul	Nyúl
obuda	Óbuda
ocsa	Ócsa
ocseny	Őcsény
ocsod	Öcsöd
ofeherto	Ófehértó
ohegy	Óhegy
okany	Okány
okoritofulpos	Ököritófülpös
olaszliszka	Olaszliszka
onga	Onga
onod	Ónod
opalyi	Ópályi
opusztaszer	Ópusztaszer
or	Őr
orbanhegy	Orbánhegy
orbottyan	Őrbottyán
orczynegyed	Orczynegyed
orgovany	Orgovány
orkeny	Örkény
ormosbanya	Ormosbánya
oroshaza	Orosháza
oroszlany	Oroszlány
orszagut	Országút
osi	Ősi
ostoros	Ostoros
otteveny	Öttevény
ozd	Ózd
ozora	Ozora
pacin	Pácin
pacsa	Pacsa
pacsirtatelep	Pacsirtatelep
pahi	Páhi
pakozd	Pákozd
paks	Paks
palmonostora	Pálmonostora
palotanegyed	Palotanegyed
palotas	Palotás
pand	Pánd
pannonhalma	Pannonhalma
pap	Pap
papa	Pápa
parad	Parád
parasznya	Parasznya
paszab	Paszab
paszto	Pásztó
patroha	Pátroha
paty	Páty
pazmand	Pázmánd
pecel	Pécel
pecs	Pécs
pecsvarad	Pécsvárad
pellerd	Pellérd
pely	Pély
per	Pér
perbal	Perbál
perkata	Perkáta
pest	Pest
pesterzsebet	Pesterzsébet
pesthidegkut	Pesthidegkút
pestlorinc	Pestlőrinc
pestujhely	Pestújhely
peteri	Péteri
petervasara	Pétervására
petfurdo	Pétfürdő
petnehaza	Petneháza
petofibanya	Petőfibánya
petofiszallas	Petőfiszállás
pilis	Pilis
pilisborosjeno	Pilisborosjenő
piliscsaba	Piliscsaba
piliscsev	Piliscsév
pilismarot	Pilismarót
pilisszanto	Pilisszántó
pilisszentivan	Pilisszentiván
pilisszentkereszt	Pilisszentkereszt
pilisvorosvar	Pilisvörösvár
pincehely	Pincehely
pocsaj	Pocsaj
polgar	Polgár
polgardi	Polgárdi
pomaz	Pomáz
porcsalma	Porcsalma
poroszlo	Poroszló
prugy	Prügy
puspokladany	Püspökladány
pusztafoldvar	Pusztaföldvár
pusztahencse	Pusztahencse
pusztaszabolcs	Pusztaszabolcs
pusztaszer	Pusztaszer
pusztavam	Pusztavám
putnok	Putnok
rabapatona	Rábapatona
racalmas	Rácalmás
rackeresztur	Ráckeresztúr
rackeve	Ráckeve
rajka	Rajka
rakamaz	Rakamaz
rakoczifalva	Rákóczifalva
rakocziujfalu	Rákócziújfalu
rakoscsaba	Rákoscsaba
rakoscsaba-ujtelep	Rákoscsaba-Újtelep
rakoshegy	Rákoshegy
rakoskeresztur	Rákoskeresztúr
rakoskert	Rákoskert
rakosliget	Rákosliget
rakospalota	Rákospalota
rakosszentmihaly	Rákosszentmihály
recsk	Recsk
regiakademiatelep	Régiakadémiatelep
rem	Rém
remetekertvaros	Remetekertváros
rendessytelep	Rendessytelep
repcelak	Répcelak
retsag	Rétság
revfulop	Révfülöp
ricse	Ricse
rimoc	Rimóc
romaifurdo	Rómaifürdő
romhany	Romhány
roszke	Röszke
rozsaszentmarton	Rózsaszentmárton
rudabanya	Rudabánya
ruzsa	Ruzsa
sajobabony	Sajóbábony
sajokaza	Sajókaza
sajolad	Sajólád
sajooros	Sajóörös
sajopetri	Sajópetri
sajoszentpeter	Sajószentpéter
sajoszoged	Sajószöged
sajovamos	Sajóvámos
salgotarjan	Salgótarján
saly	Sály
sandorfalva	Sándorfalva
sap	Sáp
sarand	Sáránd
sarbogard	Sárbogárd
sarisap	Sárisáp
sarkad	Sarkad
sarkeresztur	Sárkeresztúr
sarmellek	Sármellék
sarosd	Sárosd
sarospatak	Sárospatak
sarretudvari	Sárrétudvari
sarszentmihaly	Sárszentmihály
sarvar	Sárvár
sasd	Sásd
sashalom	Sashalom
sata	Sáta
satoraljaujhely	Sátoraljaújhely
se	Sé
segesd	Segesd
sellye	Sellye
seregelyes	Seregélyes
siklos	Siklós
simontornya	Simontornya
sioagard	Sióagárd
siofok	Siófok
sirok	Sirok
solt	Solt
soltszentimre	Soltszentimre
soltvadkert	Soltvadkert
solymar	Solymár
somogyvar	Somogyvár
somoskoujfalu	Somoskőújfalu
soponya	Soponya
sopron	Sopron
soroksar	Soroksár
soroksar-ujtelep	Soroksár-Ujtelep
soskut	Sóskút
sukosd	Sükösd
sulysap	Sülysáp
sumeg	Sümeg
sur	Súr
sutto	Süttő
szabadbattyan	Szabadbattyán
szabadkigyos	Szabadkígyós
szabadszallas	Szabadszállás
szada	Szada
szajol	Szajol
szakmar	Szakmár
szakoly	Szakoly
szalkszentmarton	Szalkszentmárton
szamosszeg	Szamosszeg
szank	Szank
szany	Szany
szarliget	Szárliget
szarvas	Szarvas
szaszvar	Szászvár
szatymaz	Szatymaz
szazadosnegyed	Századosnegyed
szazhalombatta	Százhalombatta
szecseny	Szécsény
szedres	Szedres
szeged	Szeged
szeghalom	Szeghalom
szegvar	Szegvár
szekesfehervar	Székesfehérvár
szekkutas	Székkutas
szekszard	Szekszárd
szeleveny	Szelevény
szemeretelep	Szemeretelep
szendro	Szendrő
szent imre-kertvaros	Szent Imre-kertváros
szent lorinc-lakotelep	Szent Lőrinc-lakótelep
szentendre	Szentendre
szentes	Szentes
szentgalpuszta	Szentgálpuszta
szentgotthard	Szentgotthárd
szentistvan	Szentistván
szentkiraly	Szentkirály
szentkiralyszabadja	Szentkirályszabadja
szentlorinc	Szentlőrinc
szentlorinckata	Szentlőrinckáta
szentmartonkata	Szentmártonkáta
szeremle	Szeremle
szerencs	Szerencs
szigetcsep	Szigetcsép
szigethalom	Szigethalom
szigetszentmiklos	Szigetszentmiklós
szigetujfalu	Szigetújfalu
szigetvar	Szigetvár
szihalom	Szihalom
szikszo	Szikszó
szilvasvarad	Szilvásvárad
szirak	Szirák
szirma	Szirma
szirmabesenyo	Szirmabesenyő
szob	Szob
szod	Sződ
szodliget	Sződliget
szolnok	Szolnok
szombathely	Szombathely
szomod	Szomód
szurdokpuspoki	Szurdokpüspöki
tab	Tab
tabdi	Tabdi
taborfalva	Táborfalva
tahitotfalu	Tahitótfalu
taksony	Taksony
taktaharkany	Taktaharkány
taktaszada	Taktaszada
tallya	Tállya
tamasi	Tamási
tapiobicske	Tápióbicske
tapiogyorgye	Tápiógyörgye
tapiosag	Tápióság
tapioszecso	Tápiószecső
tapioszele	Tápiószele
tapioszentmarton	Tápiószentmárton
tapioszolos	Tápiószőlős
taplanszentkereszt	Táplánszentkereszt
tapolca	Tapolca
tar	Tar
tarcal	Tarcal
tard	Tard
tardos	Tardos
tarjan	Tarján
tarnalelesz	Tarnalelesz
tarnaors	Tarnaörs
tarnok	Tárnok
tarpa	Tarpa
tass	Tass
taszar	Taszár
tat	Tát
tata	Tata
tatabanya	Tatabánya
tatahaza	Tataháza
tazlar	Tázlár
teglagyardulo	Téglagyárdűlő
teglas	Téglás
telki	Telki
tengelic	Tengelic
tet	Tét
tihany	Tihany
tiszaalpar	Tiszaalpár
tiszabercel	Tiszabercel
tiszabezded	Tiszabezdéd
tiszabo	Tiszabő
tiszabura	Tiszabura
tiszacsege	Tiszacsege
tiszadada	Tiszadada
tiszadob	Tiszadob
tiszaeszlar	Tiszaeszlár
tiszafoldvar	Tiszaföldvár
tiszafured	Tiszafüred
tiszakarad	Tiszakarád
tiszakecske	Tiszakécske
tiszakeszi	Tiszakeszi
tiszalok	Tiszalök
tiszaluc	Tiszalúc
tiszanagyfalu	Tiszanagyfalu
tiszanana	Tiszanána
tiszapuspoki	Tiszapüspöki
tiszaroff	Tiszaroff
tiszasuly	Tiszasüly
tiszaszentimre	Tiszaszentimre
tiszaszolos	Tiszaszőlős
tiszaujvaros	Tiszaújváros
tiszavasvari	Tiszavasvári
tisztviselotelep	Tisztviselőtelep
toalmas	Tóalmás
tokaj	Tokaj
tokod	Tokod
tokol	Tököl
tolcsva	Tolcsva
tolna	Tolna
toltestava	Töltéstava
tomorkeny	Tömörkény
tompa	Tompa
tornyospalca	Tornyospálca
torokbalint	Törökbálint
torokszentmiklos	Törökszentmiklós
torony	Torony
tortel	Törtel
toszeg	Tószeg
totkomlos	Tótkomlós
tunyogmatolcs	Tunyogmatolcs
tura	Tura
turje	Türje
turkeve	Túrkeve
tuzser	Tuzsér
tyukod	Tyukod
ujfeherto	Újfehértó
ujhartyan	Újhartyán
ujhegy	Újhegy
ujkigyos	Újkígyós
ujlak	Újlak
ujlipotvaros	Újlipótváros
ujpalota	Újpalota
ujpest	Újpest
ujpeteritelep	Újpéteritelep
ujszasz	Újszász
ujszeged	Újszeged
ujszentivan	Újszentiván
ujszilvas	Újszilvás
ulles	Üllés
ullo	Üllő
uri	Úri
urkut	Úrkút
urom	Üröm
uszod	Uszód
vac	Vác
vacszentlaszlo	Vácszentlászló
vaja	Vaja
vajszlo	Vajszló
val	Vál
valko	Valkó
vamosgyork	Vámosgyörk
vamospercs	Vámospércs
vanyarc	Vanyarc
varbo	Varbó
varosfold	Városföld
varpalota	Várpalota
vasarosnameny	Vásárosnamény
vaskut	Vaskút
vasvar	Vasvár
vecses	Vecsés
velence	Velence
vep	Vép
veresegyhaz	Veresegyház
veroce	Verőce
verpelet	Verpelét
vertesszolos	Vértesszőlős
veszprem	Veszprém
veszto	Vésztő
