abovyan	Abovyan
nshavan	Nshavan
nubarashen	Nubarashen
odzun	Odzun
ohanavan	Ohanavan
oshakan	Oshakan
panik	Panik
parakar	Parakar
paravakar	Paravakar
parpi	Parpi
pemzashen	Pemzashen
pokr mantash	Pokr Mantash
pokr vedi	Pokr Vedi
proshyan	Proshyan
pshatavan	Pshatavan
ptghni	Ptghni
ptghunk	Ptghunk
ranchpar	Ranchpar
rind	Rind
sarahart	Sarahart
saralanj	Saralanj
saramej	Saramej
saratak	Saratak
sarchapet	Sarchapet
sardarapat	Sardarapat
sarigyugh	Sarigyugh
sarnaghbyur	Sarnaghbyur
sarukhan	Sarukhan
sasunik	Sasunik
sayat-nova	Sayat-Nova
sevan	Sevan
sevkar	Sevkar
shahumyan	Shahumyan
shaki	Shaki
shamiram	Shamiram
shatin	Shatin
shenavan	Shenavan
shengavit	Shengavit
shenik	Shenik
shinuhayr	Shinuhayr
shirak	Shirak
shirakamut	Shirakamut
shnogh	Shnogh
sis	Sis
sisavan	Sisavan
sisian	Sisian
solak	Solak
spandaryan	Spandaryan
spitak	Spitak
stepanavan	Stepanavan
surenavan	Surenavan
tairov	Tairov
talin	Talin
tandzut	Tandzut
taperakan	Taperakan
taronik	Taronik
tashir	Tashir
tavush	Tavush
tegh	Tegh
teghut	Teghut
tsaghkaber	Tsaghkaber
tsaghkadzor	Tsaghkadzor
tsaghkahovit	Tsaghkahovit
tsaghkalanj	Tsaghkalanj
tsaghkunk	Tsaghkunk
tsakkar	Tsakkar
tsiatsan	Tsiatsan
tsovagyugh	Tsovagyugh
tsovak	Tsovak
tsovasar	Tsovasar
tsovazard	Tsovazard
tsovinar	Tsovinar
ttujur	Ttujur
tumanyan	Tumanyan
ujan	Ujan
urtsadzor	Urtsadzor
ushi	Ushi
vagharshapat	Vagharshapat
vaghashen	Vaghashen
vahagni	Vahagni
vanadzor	Vanadzor
vanand	Vanand
vanashen	Vanashen
vardablur	Vardablur
vardadzor	Vardadzor
vardanashen	Vardanashen
vardenik	Vardenik
vardenis	Vardenis
varser	Varser
vayk	Vayk
vedi	Vedi
verin artashat	Verin Artashat
verin dvin	Verin Dvin
verin getashen	Verin Getashen
verin karmiraghbyur	Verin Karmiraghbyur
verin ptghni	Verin Ptghni
verishen	Verishen
vernashen	Vernashen
voskehask	Voskehask
voskehat	Voskehat
vosketap	Vosketap
voskevan	Voskevan
voskevaz	Voskevaz
vostan	Vostan
yeghegnadzor	Yeghegnadzor
yeghegnavan	Yeghegnavan
yeghegnut	Yeghegnut
yeghvard	Yeghvard
yelpin	Yelpin
yeranos	Yeranos
yeraskhahun	Yeraskhahun
yerazgavors	Yerazgavors
yerevan	Yerevan
zangakatun	Zangakatun
zar	Zar
zaritap	Zaritap
zartonk	Zartonk
zolakar	Zolakar
zorak	Zorak
zoravan	Zoravan
zovaber	Zovaber
zovuni	Zovuni
