abu ghaush	Abū Ghaush
petah tiqva	Petaẖ Tiqva
poria illit	Poria Illit
poriyya	Poriyya
qalansuwa	Qalansuwa
qidron	Qidron
qiryat ata	Qiryat Ata
qiryat bialik	Qiryat Bialik
qiryat hayovel	Qiryat HaYovel
qiryat mal’akhi	Qiryat Mal’akhi
qiryat motsqin	Qiryat Motsqin
qiryat shmona	Qiryat Shmona
qiryat tiv‘on	Qiryat Tiv‘on
qiryat yam	Qiryat Yam
qiryat ye‘arim	Qiryat Ye‘arim
qiryat ‘eqron	Qiryat ‘Eqron
ra'anana	Ra'anana
rahat	Rahat
rama	Rama
ramat gan	Ramat Gan
ramat hakovesh	Ramat HaKovésh
ramat hasharon	Ramat HaSharon
ramat hashofet	Ramat HaShofet
ramat yishay	Ramat Yishay
ramat yohanan	Ramat Yoẖanan
ramla	Ramla
ramot menashe	Ramot Menashe
raqqefet	Raqqefet
regba	Regba
rehovot	Reẖovot
rekhasim	Rekhasim
reshafim	Reshafim
revava	Revava
revivim	Revivim
rihaniya	Riẖaniya
rinnatya	Rinnatya
rishon letsiyyon	Rishon LeTsiyyon
rishpon	Rishpon
rosh ha‘ayin	Rosh Ha‘Ayin
rosh pinna	Rosh Pinna
rumat al-hayb	Rumat al-Hayb
rummana	Rummāna
safed	Safed
sajur	Sājūr
sakhnin	Sakhnīn
salama	Salama
sandala	Ṣandala
savyon	Savyon
sde hemed	Sde H̱emed
sde nehemya	Sde Neẖemya
sde warburg	Sde Warburg
sde ya‘aqov	Sde Ya‘aqov
sde ‘uziyyahu	Sde ‘Uziyyahu
sderot	Sderot
sdot yam	Sdot Yam
segev shalom	Segev Shalom
shave tsiyyon	Shave Tsiyyon
sha‘ab	Sha‘ab
sha‘alvim	Sha‘alvim
sha‘ar efrayim	Sha‘ar Efrayim
shefar‘am	Shefar‘am
shefayim	Shefayim
shibli	Shibli
shibli–umm al-ghanam	Shibli–Umm al-Ghanam
shimshit	Shimshit
shlomi	Shlomi
shoham	Shoham
shoresh	Shoresh
shtulim	Shtulim
sitriyya	Sitriyya
sulam	Sūlam
taiyiba	Taiyiba
tal el	Tal El
tal shahar	Tal Shaẖar
talmon	Talmon
tamra	Tamra
tel aviv	Tel Aviv
tel mond	Tel Mond
tel qatsir	Tel Qatsir
tel sheva‘	Tel Sheva‘
tel yitshaq	Tel Yitsẖaq
tel ‘adashim	Tel ‘Adashim
tiberias	Tiberias
tifrah	Tifraẖ
timrat	Timrat
tirabin al-sana	Tirabin al-Sana
tirat karmel	Tirat Karmel
tirat yehuda	Tirat Yehuda
tselafon	Tselafon
tsofit	Tsofit
tsrufa	Tsrufa
tsur hadassa	Tsur Hadassa
tsur itshak	Tsur Itshak
tsur moshe	Tsur Moshe
tuba zangariya	Tūbā Zangarīya
udim	Udim
umm batin	Umm Batin
umm el fahm	Umm el Faḥm
umm el qutuf	Umm el Quṭūf
west jerusalem	West Jerusalem
yad binyamin	Yad Binyamin
yad rambam	Yad Rambam
yafa	Yāfā
yagur	Yagur
yanuah jat	Yanuah Jat
yanuh-jat	Yanuh-Jat
yarhiv	Yarẖiv
yashresh	Yashresh
yavne	Yavné
yavne’el	Yavne’el
yehud	Yehud
yehud-monosson	Yehud-Monosson
yeroham	Yeroẖam
yesud hama‘ala	Yesud HaMa‘ala
yif‘at	Yif‘at
yinnon	Yinnon
yirka	Yirkā
yoqneam	Yoqneam
yoqne‘am ‘illit	Yoqne‘am ‘Illit
yuvallim	Yuvallim
zalafa	Zalafa
zarzir	Zarzir
zekharya	Zekharya
zemer	Zemer
zetan	Zetan
zikhron ya‘aqov	Zikhron Ya‘aqov
‘adi	‘Adi
‘amminadav	‘Amminadav
‘ara-‘ar‘ara	‘Ara-‘Ar‘ara
‘aramsha	‘Aramsha
‘arugot	‘Arugot
‘ar‘ara banegev	‘Ar‘ara BaNegev
‘atsmon segev	‘Atsmon Segev
‘azriqam	‘Azriqam
‘eilabun	‘Eilabun
‘ein mahil	‘Ein Māhil
‘ein naquba	‘Ein Naqūbā
‘ein quniya	‘Ein Qunīya
‘ein rafa	‘Ein Rāfa
‘en ayyala	‘En Ayyala
‘en boqeq	‘En Boqeq
‘en dor	‘En Dor
‘en hamifrats	‘En HaMifrats
‘en ya‘aqov	‘En Ya‘aqov
‘ilut	‘Ilūṭ
‘isfiya	‘Isfiyā
‘olesh	‘Olesh
‘omer	‘Omer
‘uzayr	‘Uzayr
