abancay	Abancay
azangaro	Azángaro
bagua	Bagua
bagua grande	Bagua Grande
bajo naranjillo	Bajo Naranjillo
bajo pichanaqui	Bajo Pichanaqui
balsapuerto	Balsapuerto
balsas	Balsas
bambamarca	Bambamarca
bambas	Bambas
banos	Baños
barranca	Barranca
barranco	Barranco
barranquita	Barranquita
belen	Belen
belen	Belén
bella union	Bella Unión
bellavista	Bellavista
bernal	Bernal
bolivar	Bolívar
bolognesi	Bolognesi
boqueron	Boquerón
brena	Breña
bretana	Bretaña
breu	Breu
buena vista alta	Buena Vista Alta
buenos aires	Buenos Aires
caballococha	Caballococha
cabana	Cabana
cabanaconde	Cabanaconde
cabanilla	Cabanilla
cacatachi	Cacatachi
cachachi	Cachachi
cachimayo	Cachimayo
cachora	Cachora
cacra	Cacra
cahuac	Cahuac
cahuacho	Cahuacho
cahuanuyo	Cahuanuyo
caicay	Caicay
cairani	Cairani
caja	Caja
cajabamba	Cajabamba
cajacay	Cajacay
cajamarca	Cajamarca
cajamarquilla	Cajamarquilla
cajaruro	Cajaruro
cajay	Cajay
calacoa	Calacoa
calamarca	Calamarca
calana	Calana
calango	Calango
calapuja	Calapuja
calca	Calca
caleta cruz	Caleta Cruz
caleta de carquin	Caleta de Carquín
callahuanca	Callahuanca
callalli	Callalli
callanca	Callanca
callanmarca	Callanmarca
callao	Callao
callayuc	Callayuc
calquis	Calquis
calzada	Calzada
camana	Camaná
camilaca	Camilaca
caminaca	Caminaca
camisea	Camisea
campanilla	Campanilla
campo verde	Campo Verde
canaria	Canaria
canaris	Cañaris
canaveral	Cañaveral
canayre	Canayre
cancas	Cancas
canchabamba	Canchabamba
canchaque	Canchaque
canchayllo	Canchayllo
candarave	Candarave
cangallo	Cangallo
canis	Canis
canta	Canta
capachica	Capachica
capacmarca	Capacmarca
capaso	Capaso
capaya	Capaya
capillas	Capillas
carabamba	Carabamba
carabayllo	Carabayllo
carac	Carac
caracoto	Caracoto
carampoma	Carampoma
carania	Carania
carapo	Carapo
caraybamba	Caraybamba
caraz	Caraz
carhuac	Carhuac
carhuacallanga	Carhuacallanga
carhuamayo	Carhuamayo
carhuanca	Carhuanca
carhuaz	Carhuaz
carmen alto	Carmen Alto
carmen de la legua reynoso	Carmen De La Legua Reynoso
carumas	Carumas
casa grande	Casa Grande
casca	Casca
cascapara	Cascapara
cascas	Cascas
cashapampa	Cashapampa
casma	Casma
caspisapa	Caspisapa
castillo grande	Castillo Grande
castrovirreyna	Castrovirreyna
catac	Catac
catacaos	Catacaos
catache	Catache
catahuasi	Catahuasi
catan	Catán
catilluc	Catilluc
cauday	Cauday
caujul	Caujul
cauri	Cauri
cayara	Cayara
cayarani	Cayarani
cayhuayna	Cayhuayna
caylloma	Caylloma
cayma	Cayma
cayna	Cayna
cayran	Cayrán
ccapi	Ccapi
ccaquiracunca	Ccaquiracunca
ccarhuayo	Ccarhuayo
ccatca	Ccatca
ccochaccasa	Ccochaccasa
ccolo	Ccolo
ccorca	Ccorca
ccuntuma	Ccuntuma
celendin	Celendín
centenario	Centenario
cerro de pasco	Cerro de Pasco
cerro verde	Cerro Verde
chaca	Chaca
chacabamba	Chacabamba
chacapalpa	Chacapalpa
chacapampa	Chacapampa
chacas	Chacas
chaccho	Chaccho
chaccrampa	Chaccrampa
chachapoyas	Chachapoyas
chachas	Chachas
chaclacayo	Chaclacayo
chaclla	Chaclla
chacoche	Chacoche
chadin	Chadín
chaglla	Chaglla
chala	Chala
chalaco	Chalaco
chalamarca	Chalamarca
chalan	Chalán
chalcos	Chalcos
chalhuanca	Chalhuanca
challabamba	Challabamba
challas	Challas
challhuahuacho	Challhuahuacho
chamaca	Chamaca
chambara	Chambara
chana	Chaná
chancay	Chancay
changuillo	Changuillo
chao	Chao
chapimarca	Chapimarca
characato	Characato
charat	Charat
charcana	Charcana
chasquitambo	Chasquitambo
chaulan	Chaulán
chaupimarca	Chaupimarca
chavin	Chavín
chavin de pariarca	Chavin de Pariarca
chavina	Chaviña
chavinillo	Chavinillo
chazuta	Chazuta
checacupe	Checacupe
checca	Checca
chepen	Chepén
chetilla	Chetilla
cheto	Cheto
chiara	Chiara
chicama	Chicama
chicche	Chicche
chichas	Chichas
chicla	Chicla
chiclayo	Chiclayo
chignayhua	Chignayhua
chiguata	Chiguata
chiguirip	Chiguirip
chilca	Chilca
chilcas	Chilcas
chilcaymarca	Chilcaymarca
chilcayoc	Chílcayoc
chilete	Chilete
chillia	Chillia
chimban	Chimbán
chimbote	Chimbote
chimuch	Chimuch
chincha alta	Chincha Alta
chincha baja	Chincha Baja
chinchaypujio	Chinchaypujio
chinchero	Chinchero
chincheros	Chincheros
chinchihuasi	Chinchihuasi
chincho	Chincho
chingalpa	Chingalpa
chingas	Chingas
chipao	Chipao
chipispaya	Chipispaya
chiquintirca	Chiquintirca
chiriaco	Chiriaco
chirinos	Chirinos
chisquilla	Chisquilla
chivay	Chivay
choco	Choco
chocope	Chocope
chocos	Chocos
chojata	Chojata
chongos alto	Chongos Alto
chongos bajo	Chongos Bajo
chongoyape	Chongoyape
chontabamba	Chontabamba
chontali	Chontalí
choras	Choras
choropampa	Choropampa
choros	Choros
chosica	Chosica
chota	Chota
chucatamani	Chucatamani
chucuito	Chucuito
chugay	Chugay
chugur	Chugur
chullin	Chullin
chulucanas	Chulucanas
chumpi	Chumpi
chumuch	Chumuch
chungui	Chungui
chupa	Chupa
chupaca	Chupaca
chupamarca	Chupamarca
chupan	Chupán
chupuro	Chupuro
chuquibamba	Chuquibamba
chuquibambilla	Chuquibambilla
chuquis	Chuquis
chuquitira	Chuquitira
churcampa	Churcampa
churubamba	Churubamba
churuja	Churuja
chuschi	Chuschi
cieneguilla	Cieneguilla
circa	Circa
ciudad satelite	Ciudad Satelite
coalaque	Coalaque
coasa	Coasa
coata	Coata
coayllo	Coayllo
cocabamba	Cocabamba
cocachacra	Cocachacra
cocas	Cocas
cochabamba	Cochabamba
cochamal	Cochamal
cochamarca	Cochamarca
cochapeti	Cochapetí
cocharcas	Cocharcas
cochas	Cochas
coishco	Coishco
cojata	Cojata
colasay	Colasay
colca	Colca
colcabamba	Colcabamba
colcamar	Colcamar
colcha	Colcha
collonce	Collonce
colonia	Colonia
colpas	Colpas
colquemarca	Colquemarca
colquepata	Colquepata
colta	Colta
comas	Comas
combapata	Combapata
conayca	Conayca
concepcion	Concepción
conchamarca	Conchamarca
conchan	Conchán
concho	Concho
conchopata	Conchopata
conchucos	Conchucos
concordia	Concordia
condoroma	Condoroma
conduriri	Conduriri
congalla	Congalla
congas	Congas
conima	Conima
cono norte	Cono Norte
contamana	Contamana
contumaza	Contumazá
copa	Copa
copani	Copani
coporaque	Coporaque
coracora	Coracora
corani	Corani
corculla	Corculla
cordova	Córdova
corire	Corire
coris	Coris
corongo	Corongo
corpanqui	Corpanqui
cospan	Cospán
cotabambas	Cotabambas
cotahuasi	Cotahuasi
cotaparaco	Cotaparaco
cotaruse	Cotaruse
coviriali	Coviriali
coya	Coya
coyllurqui	Coyllurqui
crucero	Crucero
cruz blanca	Cruz Blanca
cuchumbaya	Cuchumbaya
cuenca	Cuenca
cuispes	Cuispes
cujillo	Cujillo
cullcuyre	Cullcuyre
cullhuas	Cullhuas
cumba	Cumba
cunumbuqui	Cuñumbuqui
cupi	Cupi
curahuasi	Curahuasi
curasco	Curasco
curgos	Curgos
curibaya	Curibaya
curimana	Curimaná
curpahuasi	Curpahuasi
cusca	Cusca
cusco	Cusco
cusipata	Cusipata
cutervo	Cutervo
cuyocuyo	Cuyocuyo
daguas	Daguas
desaguadero	Desaguadero
deustua	Deustua
dos pueblos	Dos Pueblos
duraznopampa	Duraznopampa
echarate	Echarate
el algarrobal	El Algarrobal
el alto	El Alto
el cardo	El Cardo
el carmen	El Carmen
el descanso	El Descanso
el ingenio	El Ingenio
el mantaro	El Mantaro
el parco district	El Parco District
el pedregal	El Pedregal
el porvenir	El Porvenir
el prado	El Prado
el rosario	El Rosario
el tambo	El Tambo
el triunfo ( el cruce)	El Triunfo ( El Cruce)
encanada	Encañada
estacion de pucara	Estación de Pucará
estique	Estique
estique pampa	Estique Pampa
eten	Eten
ferrenafe	Ferreñafe
florida ( pomacochas)	Florida ( Pomacochas)
fonavi	Fonavi
frias	Frias
genaro herrera	Genaro Herrera
gorgor	Gorgor
gorgorillo	Gorgorillo
goyllarisquizga	Goyllarisquizga
granada	Granada
guadalupe	Guadalupe
guadalupito	Guadalupito
guzmango	Guzmango
habana	Habana
hacienda huancane	Hacienda Huancane
hacienda pucala	Hacienda Pucala
haquira	Haquira
hongos	Hongos
honoria	Honoria
horacio zeballos gamez	Horacio Zeballos Gamez
huabal	Huabal
huac huas	Huac Huas
huacachi	Huacachi
huacana	Huacaña
huacapampa	Huacapampa
huacar	Huacar
huacaschuque	Huacaschuque
huacaybamba	Huacaybamba
huaccana	Huaccana
huacchis	Huacchis
huachac	Huachac
huachis	Huachis
huacho	Huacho
huachocolpa	Huachocolpa
huachon	Huachón
huachos	Huachos
huacllan	Huacllán
huacrachuco	Huacrachuco
huacrapuquio	Huacrapuquio
hualgayoc	Hualgayoc
hualhuas	Hualhuas
huallanca	Huallanca
huallhua	Huallhua
hualmay	Hualmay
huamachuco	Huamachuco
huamali	Huamali
huamancaca chico	Huamancaca Chico
huamanguilla	Huamanguilla
huamanquiquia	Huamanquiquia
huamantanga	Huamantanga
huamatambo	Huamatambo
huambalpa	Huambalpa
huambo	Huambo
huambos	Huambos
huampara	Huampara
huanca	Huanca
huancabamba	Huancabamba
huancan	Huancán
huancane	Huancané
huancani	Huancaní
huancano	Huancano
huancapallac	Huancapallac
huancapi	Huancapi
huancarama	Huancarama
huancarane	Huancarane
huancaray	Huancaray
huancaraylla	Huancaraylla
huancarqui	Huancarqui
huancas	Huancas
huancaspata	Huancaspata
huancavelica	Huancavelica
huancaya	Huancaya
huancayo	Huancayo
huanchaco	Huanchaco
huanchaquito alto	Huanchaquito Alto
huanchay	Huanchay
huancullani	Huancullani
huando	Huando
huandoval	Huandoval
huangala	Huangala
huangascar	Huangascar
huanipaca	Huanipaca
huanoquite	Huanoquite
huanta	Huanta
huantan	Huantán
huantar	Huántar
huanuara	Huanuara
huanuco	Huánuco
huanza	Huanza
huaquirca	Huaquirca
huaral	Huaral
huarancante	Huarancante
huaranchal	Huaranchal
huarango	Huarango
huaraz	Huaraz
huari	Huari
huariaca	Huariaca
huaribamba	Huaribamba
huarichancara	Huarichancara
huaricolca	Huaricolca
huaripampa	Huaripampa
huarmaca	Huarmaca
huarmey	Huarmey
huaro	Huaro
huarocondo	Huarocondo
huaros	Huaros
huasahuasi	Huasahuasi
huasicancha	Huasicancha
huasmin	Huasmín
huaso	Huaso
huasta	Huasta
huata	Huata
huatasani	Huatasani
huaura	Huaura
huayacundo arma	Huayacundo Arma
huayan	Huayán
huayana	Huayana
huayhuay	Huayhuay
huaylas	Huaylas
huaylillas	Huaylillas
huayllabamba	Huayllabamba
huayllacayan	Huayllacayán
huayllahuara	Huayllahuara
huayllan	Huayllán
huayllapampa	Huayllapampa
huayllati	Huayllati
huayllay	Huayllay
huayllay grande	Huayllay Grande
huayllo	Huayllo
huayna alcalde	Huayna Alcalde
huayrapata	Huayrapata
huayucachi	Huayucachi
huepetuhe	Huepetuhe
huertas	Huertas
huicungo	Huicungo
huipoca	Huipoca
humay	Humay
huyro	Huyro
iberia	Iberia
ica	Ica
ichocan	Ichocán
ichuna	Ichuña
ichupampa	Ichupampa
ihuari	Ihuari
ilabaya	Ilabaya
ilave	Ilave
ilo	Ilo
imperial	Imperial
inahuaya	Inahuaya
inapari	Iñapari
incahuasi	Incahuasi
inchupalla	Inchupalla
incuyo	Incuyo
independencia	Independencia
indiana	Indiana
ingenio	Ingenio
inguilpata	Inguilpata
iparia	Iparia
iquipi	Iquipi
iquitos	Iquitos
iray	Iray
iscos	Iscos
iscozacin	Iscozacín
islandia	Islandia
islay (matarani)	Islay (Matarani)
izcuchaca	Izcuchaca
jacas grande	Jacas Grande
jacobo hunter	Jacobo Hunter
jaen	Jaén
jamalca	Jamalca
jangas	Jangas
janjaillo	Janjaillo
jaqui	Jaquí
jardin	Jardin
jarpa	Jarpa
jatun orcochiri	Jatun Orcochiri
jauja	Jauja
jayanca	Jayanca
jayobamba	Jayobamba
jayune	Jayune
jeberos	Jeberos
jepelacio	Jepelacio
jesus	Jesús
jesus maria	Jesus Maria
jilili	Jilili
jimbe	Jimbe
jircan	Jircan
jivia	Jivia
jose leonardo ortiz	José Leonardo Ortiz
juan guerra	Juan Guerra
juanjui	Juanjuí
jucul	Jucul
julcamarca	Julcamarca
julcan	Julcan
juli	Juli
juliaca	Juliaca
junin	Junín
kelluyo	Kelluyo
kimbiri	Kimbiri
kishuara	Kishuara
la arena	La Arena
la banda	La Banda
la breita	La Breita
la caleta culebras	La Caleta Culebras
la capilla	La Capilla
la coipa	La Coipa
la cuesta	La Cuesta
la curva	La Curva
la esmeralda	La Esmeralda
la esperanza	La Esperanza
la florida	La Florida
la grama	La Grama
la huaca	La Huaca
la jalca	La Jalca
la joya	La Joya
la legua - san jacinto	La Legua - San Jacinto
la libertad	La Libertad
la libertad de pallan	La Libertad de Pallán
la matanza	La Matanza
la merced	La Merced
la molina	La Molina
la morada	La Morada
la oroya	La Oroya
la pampa	La Pampa
la peca	La Peca
la pradera	La Pradera
la ramada	La Ramada
la rinconada	La Rinconada
la rinconada ana maria (la rinconada)	La Rinconada Ana Maria (La Rinconada)
la sacilia	La Sacilia
la tinguina	La Tinguiña
la union	La Unión
lacabamba	Lacabamba
lachaqui	Lachaqui
lagunas	Lagunas
lahuaytambo	Lahuaytambo
lajas	Lajas
lamas	Lamas
lamay	Lamay
lambayeque	Lambayeque
lambrama	Lambrama
lampa	Lampa
lampian	Lampian
lamud	Lamud
langa	Langa
langui	Langui
lanlacuni bajo	Lanlacuni Bajo
laramarca	Laramarca
laramate	Laramate
laraos	Laraos
laraqueri	Laraqueri
laredo	Laredo
lares	Lares
lari	Lari
laria	Laria
las lomas	Las Lomas
las nazarenas	Las Nazarenas
las palmas	Las Palmas
las pirias	Las Pirias
las yaras	Las Yaras
laylla	Laylla
layo	Layo
ledoy	Ledoy
leticia	Leticia
levanto	Levanto
licupis	Licupis
lima	Lima
lima pampa	Lima Pampa
limatambo	Limatambo
limbani	Limbani
limoncarro	Limoncarro
lincha	Lincha
lircay	Lircay
livitaca	Livitaca
llacanora	Llacanora
llaclla	Llaclla
llacllin	Llacllin
llalli	Llalli
llama	Llama
llapa	Llapa
llapo	Llapo
llata	Llata
llauta	Llauta
llipa	Llipa
llipata	Llipata
llochegua	Llochegua
llocllapampa	Llocllapampa
llongasora	Llongasora
lloque	Lloque
lluchubamba	Lluchubamba
llusco	Llusco
lluta	Lluta
lobitos	Lobitos
locroja	Locroja
locumba	Locumba
longar	Longar
longotea	Longotea
longuita	Longuita
lonya chico	Lonya Chico
lonya grande	Lonya Grande
los aquijes	Los Aquijes
los banos del inca	Los Baños del Inca
los organos	Los Organos
los palos	Los Palos
lucanas	Lucanas
lucma	Lucma
lucmapampa	Lucmapampa
lucre	Lucre
luricocha	Luricocha
luya	Luya
maca	Maca
macachacra	Macachacra
macari	Macari
macate	Macate
machaguay	Machaguay
mache	Mache
machupicchu	Machupicchu
macusani	Macusani
madean	Madean
madrigal	Madrigal
magdalena	Magdalena
maino	Maino
mala	Mala
malvas	Malvas
mamara	Mamara
manazo	Mañazo
mancora	Máncora
mancos	Mancos
mangas	Mangas
manta	Manta
manuel antonio mesones muro	Manuel Antonio Mesones Muro
mara	Mara
marangani	Maranganí
maranura	Maranura
maras	Maras
maray	Maray
marca	Marca
marcabal	Marcabal
marcabamba	Marcabamba
marcaja	Marcaja
marcapata	Marcapata
marcapomacocha	Marcapomacocha
marcara	Marcará
marcas	Marcas
marcavelica	Marcavelica
marco	Marco
margos	Margos
mariano melgar	Mariano Melgar
marias	Marias
mariatana	Mariatana
mariposa	Mariposa
mariscal caceres	Mariscal Cáceres
masin	Masin
masisea	Masisea
masma	Masma
masma chicche	Masma Chicche
massiapo	Massiapo
matacoto	Matacoto
matahuasi	Matahuasi
matalaque	Matalaque
matapalo	Matapalo
matara	Matará
matucana	Matucana
mayocc	Mayocc
mazamari	Mazamari
mazo cruz	Mazo Cruz
mazuko	Mazuko
mejia	Mejía
mendoza	Mendoza
milpuc	Milpuc
minas de marcona	Minas de Marcona
miracosta	Miracosta
miraflores	Miraflores
miramar	Miramar
mirgas	Mirgas
moche	Moche
mochumi	Mochumí
mocupe	Mocupe
moho	Moho
molino	Molino
molinos	Molinos
mollebamba	Mollebamba
mollebaya	Mollebaya
mollendo	Mollendo
mollepampa	Mollepampa
mollepata	Mollepata
monobamba	Monobamba
monsefu	Monsefú
monte israel	Monte Israel
montero	Montero
montevideo	Montevideo
moquegua	Moquegua
morales	Morales
morcolla	Morcolla
moro	Moro
morococha	Morococha
morrope	Mórrope
morropon	Morropón
mosca	Mosca
mosoc cancha	Mosoc Cancha
mosoc llacta	Mosoc Llacta
motupe	Motupe
moya	Moya
moyobamba	Moyobamba
mucllo	Mucllo
munani	Muñani
mungui	Mungui
muqui	Muqui
muquiyauyo	Muquiyauyo
musga	Musga
nahuimpuquio	Ñahuimpuquio
namballe	Namballe
namora	Namora
nanchoc	Nanchoc
naranjillo	Naranjillo
naranjos	Naranjos
nauta	Nauta
navan	Naván
navarro	Navarro
nazca	Nazca
negritos	Negritos
nepena	Nepeña
nicasio	Nicasio
niepos	Niepos
ninabamba	Ninabamba
ninacaca	Ninacaca
nueva arica	Nueva Arica
nueva cajamarca	Nueva Cajamarca
nueva requena	Nueva Requena
nuevo imperial	Nuevo Imperial
nuevo lima	Nuevo Lima
nuevo occoro	Nuevo Occoro
nuevo progreso	Nuevo Progreso
nuevo sullana	Nuevo Sullana
nunoa	Nuñoa
obas	Obas
ocana	Ocaña
ocobamba	Ocobamba
ocona	Ocoña
ocongate	Ocongate
ocoruro	Ocoruro
ocoyo	Ocoyo
ocros	Ocros
ocucaje	Ocucaje
ocuviri	Ocuviri
ollachea	Ollachea
ollantaytambo	Ollantaytambo
olleros	Olleros
olmos	Olmos
olto	Olto
omacha	Omacha
omas	Omas
omate	Omate
omia	Omia
ondores	Ondores
ongoy	Ongoy
orcopampa	Orcopampa
orcotuna	Orcotuna
orellana	Orellana
oronccoy	Oronccoy
oropesa	Oropesa
orurillo	Orurillo
otoca	Otoca
otuzco	Otuzco
oxamarca	Oxamarca
oxapampa	Oxapampa
oyolo	Oyolo
oyon	Oyón
oyotun	Oyotún
paca	Paca
pacaipampa	Pacaipampa
pacanga	Pacanga
pacapausa	Pacapausa
pacaraos	Pacaraos
pacasmayo	Pacasmayo
pacaycasa	Pacaycasa
paccaritambo	Paccaritambo
paccha	Paccha
paccha huallhua	Paccha Huallhua
paccho	Paccho
pachaconas	Pachaconas
pachamarca	Pachamarca
pachas	Pachas
pachia	Pachía
pachiza	Pachiza
paclas	Paclas
pacobamba	Pacobamba
pacocha	Pacocha
pacora	Pacora
pacucha	Pacucha
paico	Paico
paijan	Paiján
paimas	Paimas
paita	Paita
pajarillo	Pajarillo
palca	Palca
palcamayo	Palcamayo
palco	Palco
paliannunas	Palianñuñas
pallanchacra	Pallanchacra
pallasca	Pallasca
pallca	Pallca
palmapampa	Palmapampa
palpa	Palpa
palpacachi	Palpacachi
paltashaco	Paltashaco
pampa cangallo	Pampa Cangallo
pampa de tate	Pampa de Tate
pampa hermosa	Pampa Hermosa
pampachacra	Pampachacra
pampachiri	Pampachiri
pampacolca	Pampacolca
pampahuasi	Pampahuasi
pampamarca	Pampamarca
pamparomas	Pamparomas
pampas	Pampas
pampas chico	Pampas Chico
pampas grande	Pampas Grande
panao	Panao
pancan	Pancan
pangoa	Pangoa
pantoja	Pantoja
papaplaya	Papaplaya
papayal	Papayal
paracas	Paracas
paragsha- san andres - jose carlos mariategui	Paragsha- San Andres - Jose Carlos Mariategui
paramonga	Paramonga
pararca	Pararca
pararin	Pararín
paras	Paras
paratia	Paratia
parco	Parco
parcona	Parcona
parcoy	Parcoy
pariacoto	Pariacoto
parinari	Parinari
parobamba	Parobamba
paruro	Paruro
pasaraya	Pasaraya
patambuco	Patambuco
patapo	Pátapo
pataypampa	Pataypampa
pativilca	Pativilca
paucamarca	Paucamarca
paucar	Paucar
paucarbamba	Paucarbamba
paucarbambilla	Paucarbambilla
paucarcolla	Paucarcolla
paucarpata	Paucarpata
paucartambo	Paucartambo
paucas	Paucas
pausa	Pausa
pazos	Pazos
pebas	Pebas
pedro ruiz gallo	Pedro Ruiz Gallo
pelejo	Pelejo
perene	Perené
phara	Phara
pias	Pías
pichari	Pichari
pichigua	Pichigua
pichihua	Pichihua
pichirhua	Pichirhua
pichos	Pichos
picota	Picota
picsi	Picsi
pilchaca	Pilchaca
pilcomayo	Pilcomayo
pilcuyo	Pilcuyo
pillcopata	Pillcopata
pillpinto	Pillpinto
pilluana	Pilluana
pilpichaca	Pilpichaca
pimentel	Pimentel
pimpingos	Pimpingos
pinra	Pinra
pinto recodo	Pinto Recodo
pion	Pión
pira	Pira
pirca	Pirca
pisac	Pisac
pisco	Pisco
piscoyacu	Piscoyacu
pitumarca	Pitumarca
piura	Piura
pizacoma	Pizacoma
plateria	Platería
pocohuanca	Pocohuanca
pocollay	Pocollay
pocsi	Pocsi
polobaya	Polobaya
polvora	Pólvora
pomabamba	Pomabamba
pomacancha	Pomacancha
pomacanchi	Pomacanchi
pomacocha	Pomacocha
pomahuaca	Pomahuaca
pomalca	Pomalca
pomata	Pomata
pongo de caynarachi	Pongo de Caynarachi
ponto	Ponto
poroto	Poroto
poroy	Poroy
posic	Posic
potoni	Potoni
pozuzo	Pozuzo
progreso	Progreso
providencia	Providencia
pucacaca	Pucacaca
pucallpa	Pucallpa
pucara	Pucará
pucara	Pucara
pucayacu	Pucayacu
pucusana	Pucusana
pucyura	Pucyura
pueblo libre	Pueblo Libre
pueblo nuevo	Pueblo Nuevo
puente viru	Puente Viru
puerto callao	Puerto Callao
puerto casma	Puerto Casma
puerto de lomas	Puerto de Lomas
puerto galilea	Puerto Galilea
puerto inca	Puerto Inca
puerto maldonado	Puerto Maldonado
puerto ocopa	Puerto Ocopa
puerto rico	Puerto Rico
puerto rosario de laberinto	Puerto Rosario de Laberinto
puerto san antonio	Puerto San Antonio
puerto santa	Puerto Santa
pujocucho	Pujocucho
pullo	Pullo
pumahuasi	Pumahuasi
punchao	Punchao
puno	Puno
punos	Puños
punta de bombon	Punta de Bombón
punta hermosa	Punta Hermosa
puquina	Puquina
puquio	Puquio
pusi	Pusi
putina	Putina
putina punco	Putina Punco
puyca	Puyca
qquea	Qquea
quebrada honda	Quebrada Honda
quehue	Quehue
quellouno	Quellouno
quequena	Quequeña
querco	Querco
querecotillo	Querecotillo
querobamba	Querobamba
querocotillo	Querocotillo
querocoto	Querocoto
queromarca	Queromarca
queropalca	Queropalca
quiaca	Quiaca
quicacha	Quicacha
quiches	Quiches
quichuas	Quichuas
quichuay	Quichuay
quilahuani	Quilahuani
quilca	Quilca
quilcapuncu	Quilcapuncu
quilcas	Quilcas
quilcata	Quilcata
quillabamba	Quillabamba
quillo	Quillo
quilmana	Quilmaná
quince mil	Quince Mil
quinistaquillas	Quinistaquillas
quinjalca	Quinjalca
quinocay	Quinocay
quinota	Quiñota
quinua	Quinua
quinuabamba	Quinuabamba
quiquijana	Quiquijana
quiruvilca	Quiruvilca
quishuar	Quishuar
quito-arma	Quito-Arma
quivilla	Quivilla
ragash	Ragash
rahuapampa	Rahuapampa
rajan	Raján
ramon castilla	Ramón Castilla
ranracancha	Ranracancha
ranrahirca	Ranrahirca
rapayan	Rapayan
raquia	Raquía
recuay	Recuay
remanso	Remanso
reque	Reque
requena	Requena
ricardo palma	Ricardo Palma
ricran	Ricrán
rio blanco	Río Blanco
rio grande	Río Grande
rio negro	Río Negro
rioja	Rioja
rocchacc	Rocchacc
rondocan	Rondocán
rondos	Rondos
roque	Roque
rosario	Rosario
rosaspata	Rosaspata
rumisapa	Rumisapa
sabaino	Sabaino
sabandia	Sabandia
sacanche	Sacanche
sachaca	Sachaca
sacsamarca	Sacsamarca
salamanca	Salamanca
salas	Salas
salaverry	Salaverry
salcabamba	Salcabamba
salcahuasi	Salcahuasi
salinera colan	Salinera Colán
salitral	Salitral
sallique	Sallique
salpo	Salpo
salvacion	Salvación
sama grande	Sama Grande
saman	Samán
samanco	Samanco
samegua	Samegua
san agustin	San Agustin
san agustin de huayopampa	San Agustin de Huayopampa
san alejandro	San Alejandro
san andres	San Andrés
san andres de cutervo	San Andrés de Cutervo
san antonio	San Antonio
san antonio de cusicancha	San Antonio de Cusicancha
san antonio de esquilache	San Antonio de Esquilache
san antonio de ocopa	San Antonio de Ocopa
san antonio de rancas	San Antonio de Rancas
san antonio del estrecho	San Antonio del Estrecho
san bartolo	San Bartolo
san benito	San Benito
san bernardino	San Bernardino
san buenaventura	San Buenaventura
san carlos	San Carlos
san clemente	San Clemente
san cristobal	San Cristóbal
san cristobal de jacas chico	San Cristobal de Jacas Chico
san felipe	San Felipe
san fernando	San Fernando
san fernano	San Fernano
san francisco	San Francisco
san francisco de borja	San Francisco De Borja
san francisco de ravacayco	San Francisco de Ravacayco
san francisco de sangayaico	San Francisco de Sangayaico
san gregorio	San Gregorio
san ignacio	San Ignacio
san isidro	San Isidro
san jacinto	San Jacinto
