'abas abad	'Abās Ābād
bahador bayk	Bahādor Bayk
bahar	Bahār
baharan shahr	Bahārān Shahr
baharestan	Bahārestān
bahman	Bahman
bahmanabad	Bahmanābād
bahnemir	Bahnemīr
bahram	Bahrām
bahramabad	Bahrāmābād
bahreghan	Bahreghān
bajestan	Bajestān
bakhshayesh	Bakhshāyesh
bakhtiar	Bakhtīār
bala ahmad kola	Bālā Aḩmad Kolā
bala deh	Bālā Deh
bala deza	Bālā Dezā
bala jaddeh	Bālā Jāddeh
balahzar	Balahzār
balanej	Bālānej
balvard	Balvard
bam	Bām
bam	Bam
bampur	Bampūr
ban rahman	Bān Raḩmān
banak	Banak
band	Band
bandar abbas	Bandar Abbas
bandar-e anzali	Bandar-e Anzalī
bandar-e charak	Bandar-e Chārak
bandar-e deylam	Bandar-e Deylam
bandar-e deyr	Bandar-e Deyr
bandar-e emam khomeyni	Bandar-e Emam Khomeyni
bandar-e gaz	Bandar-e Gaz
bandar-e genaveh	Bandar-e Genāveh
bandar-e kangan	Bandar-e Kangān
bandar-e khamir	Bandar-e Khamīr
bandar-e kong	Bandar-e Kong
bandar-e laft	Bandar-e Lāft
bandar-e lengeh	Bandar-e Lengeh
bandar-e mahshahr	Bandar-e Māhshahr
bandar-e mo‘allem	Bandar-e Mo‘allem
bandar-e rig	Bandar-e Rīg
bandar-e rostami	Bandar-e Rostamī
bandar-e shenas	Bandar-e Shenās
bandar-e shirinu	Bandar-e Shīrīnū
bandar-e siraf	Bandar-e Sīraf
bandar-e torkaman	Bandar-e Torkaman
bandar-e ‘asaluyah	Bandar-e ‘Asalūyah
bandpey	Bandpey
bandzak	Bandzak
baneh	Bāneh
bansont	Bānsont
banuj	Bānūj
baqer tangeh	Bāqer Tangeh
baqershahr	Bāqershahr
bar aftab-e milas	Bar Āftāb-e Mīlās
barak	Barāk
baravat	Baravāt
bardaskan	Bardaskan
bardeh	Bārdeh
bardestan	Bardestān
bardsir	Bardsīr
barehsar	Barehsar
barf anbar	Barf Anbār
bargeh	Bargeh
baruj	Bārūj
baruq	Bārūq
basfar	Bāsfar
bashman	Bashman
basht	Bāsht
basmenj	Bāsmenj
bast-e malakhi	Bast-e Malakhī
bastak	Bastak
bastam	Basţām
bavaleh	Bāvaleh
bavanat	Bavanat
bavaras	Bāvaras
baverd	Bāverd
bayegan	Bāyegān
bayqut	Bāyqūt
bayram	Bāyrām
baz kia gurab	Bāz Kīā Gūrāb
bazar jom‘eh-ye shanderman	Bāzār Jom‘eh-ye Shānderman
bazargan	Bāzargān
bazman	Bazmān
behbahan	Behbahān
behshahr	Behshahr
behzad kola	Behzād Kolā
bejgerd	Bejgerd
ben	Ben
benab-e marand	Benab-e Marand
bent	Bent
berasb	Berāsb
berentin	Berenţīn
bereshneh	Bereshneh
beris	Berīs
besatin	Besātīn
beyram	Beyram
beyza	Beyẕā
bezanjerd	Bezanjerd
bezenjan	Bezenjān
bi kah	Bī Kāh
bidak	Bīdak
bidestan	Bīdestān
bidkhun	Bīdkhūn
bihud	Bīhūd
bijar	Bījār
bileh savar	Bīleh Savār
bilevar	Bīlevār
bilverdi	Bīlverdī
bineh	Bīneh
birjand	Bīrjand
bizaki	Bīzakī
bojnurd	Bojnūrd
boldaji	Boldājī
boltaq	Bolţāq
bonab	Bonāb
bondaruz	Bondārūz
boneh gaz	Boneh Gaz
boneh kenar	Boneh Kenār
boneh-ye ‘alvan	Boneh-ye ‘Alvān
bonjar	Bonjār
borazjan	Borāzjān
borujen	Borūjen
borujerd	Borūjerd
borzeshabad	Borzeshābād
boshruyeh	Boshrūyeh
bostan	Bostān
bostanabad	Bostānābād
bostanu	Bostānū
bozbaz	Bozbāz
bu ol kheyr	Bū ol Kheyr
bubukabad	Būbūkābād
bukan	Būkān
bumahen	Būmahen
buridar	Būrīdar
bushehr	Bushehr
bushkan	Būshkān
bu’in zahra	Bū’īn Zahrā
chabahar	Chabahar
chaboksar	Chāboksar
chadegan	Chādegān
chah kabkan	Chāh Kabkān
chah kur	Chāh Kūr
chah-e jamal	Chāh-e Jamāl
chahar borj	Chahār Borj
chahar chenar	Chahār Chenār
chahar dangeh	Chahār Dangeh
chahar rusta’i	Chahār Rūstā’ī
chaharbagh	Chahārbāgh
chalandar	Chalandar
chaleshtar	Chāleshtar
chalus	Chālūs
cham golak	Cham Golak
chamanabad	Chamanābād
chamaz koti	Chamāz Kotī
chamestan	Chamestān
chamgordan	Chamgordān
chamkhaleh	Chamkhāleh
chamran	Chamrān
chapeshlu	Chāpeshlū
chaqabol	Chaqābol
charam	Charām
charmahin	Charmahīn
chatrud	Chatrūd
chavan	Chavān
chavar	Chavār
chelgard	Chelgard
chenar-e sofla	Chenār-e Soflá
chenaran	Chenārān
chesham	Cheshām
cheshmidar	Cheshmīdar
chini jan	Chīnī Jān
chishin	Chīshīn
chitab	Chītāb
choghadak	Choghādak
choghamish	Choghāmīsh
cholicheh	Cholīcheh
chowplu	Chowplū
chubar	Chūbar
chubin dar	Chūbīn Dar
chupanan	Chūpānān
churs	Chūrs
chuzuk	Chūzūk
chu’ebdeh-ye yek	Chū’ebdeh-ye Yek
dabiran	Dabīrān
dabudasht	Dabudasht
daghagheleh	Daghāgheleh
dahnejerd	Dahnejerd
dalaki	Dālakī
daman jan	Dāman Jān
damaneh	Dāmaneh
damavand	Damāvand
damghan	Dāmghān
danesfahan	Dānesfahān
dang sarak	Dang Sarak
dangizak	Dangīzak
danyal peyghambar	Dānyāl Peyghambar
daqdaqabad	Dāqdāqābād
darab	Dārāb
darab kola	Dārāb Kolā
daran	Dārān
darb-e behesht	Darb-e Behesht
dargahan	Dargahān
dargan	Dārgān
dargaz	Dargaz
dariun	Dārīūn
darjazin	Darjazīn
darkhovin	Dārkhovīn
darreh bid	Darreh Bīd
darreh shahr	Darreh Shahr
darvisheh	Darvīsheh
daryan	Daryān
dasht	Dasht
dashtak	Dashtak
dashtchi	Dashtchī
dashti	Dashtī
dastak	Dastak
dastgerd	Dastgerd
dastgerd-e emamzadeh	Dastgerd-e Emāmzādeh
dastgerd-e mehr avaran	Dastgerd-e Mehr Āvarān
dastjerd	Dastjerd
dastna’	Dastnā’
davan	Dāvān
davarzan	Dāvarzan
davudabad	Dāvūdābād
dayrestan	Dayrestān
deh cheshmeh	Deh Cheshmeh
deh hasan	Deh Ḩasan
deh kheyr	Deh Kheyr
deh mir	Deh Mīr
deh now	Deh Now
deh pahn	Deh Pahn
deh pish-e sofla	Deh Pīsh-e Soflá
deh qa’ed	Deh Qā’ed
deh sahra	Deh Şaḩrā
deh shadabad-e bala	Deh Shādābād-e Bālā
deh-e namak	Deh-e Namak
deh-e nowmilas-e sofla	Deh-e Nowmīlās-e Soflá
deh-e sorkh	Deh-e Sorkh
deh-e torkaman	Deh-e Torkaman
deh-e zak	Deh-e Zak
dehaq	Dehaq
dehaqan	Dehāqān
dehdasht	Dehdasht
dehdez	Dehdez
deheshk	Deheshk
dehgolan	Dehgolān
dehkadeh	Dehkadeh
dehkuyeh	Dehkūyeh
dehlaq	Dehlaq
dehlor	Dehlor
dehloran	Dehlorān
dehmolla	Dehmollā
dehnow	Dehnow
dehram	Dehram
dehrud	Dehrūd
dehshir	Dehshīr
delgosha	Delgoshā
delijan	Delījān
delvar	Delvār
deyhuk	Deyhūk
deylaman	Deylamān
dezful	Dezful
dibaj	Dībāj
dinarabad	Dīnārābād
dishmuk	Dīshmūk
divan	Dīvān
divandarreh	Dīvāndarreh
dizaj	Dīzaj
dizaj diz	Dīzaj Dīz
dizaj hoseyn beyg	Dīzaj Ḩoseyn Beyg
dizaj-e ‘olya	Dīzaj-e ‘Olyā
dizajabad	Dīzajābād
dizicheh	Dīzīcheh
do asb	Do Asb
do boneh	Do Boneh
do borji	Do Borjī
do kuhak	Do Kūhak
dogonbadan	Dogonbadan
dom shahr	Dom Shahr
domrustan	Domrūstān
dorcheh piaz	Dorcheh Pīāz
dorud	Dorūd
dorudgah	Dorūdgāh
doruneh	Dorūneh
doveyreh	Doveyreh
dowdej	Dowdej
dowlatabad	Dowlatābād
dowlatabad-e ansari	Dowlatābād-e Anşārī
dowlatabad-e esfandaqeh	Dowlatābād-e Esfandaqeh
dowrahak	Dowrāhak
dudej	Dūdej
dunchal	Dūnchāl
dush	Dūsh
dust mohammad khan	Dūst Moḩammad Khān
dust-e iran	Dūst-e Īrān
duzduzan	Dūzdūzān
duzeh	Dūzeh
ebrahim sami‘	Ebrāhīm Samī‘
ebrahimabad	Ebrāhīmābād
efzar	Efzar
ejbar kola	Ejbār Kolā
ekhtiarabad	Ekhtīārābād
elhayi	Elhāyī
emam hasan	Emām Ḩasan
emam qeys	Emām Qeys
emam shahr	Emām Shahr
emamzadeh ‘abdollah	Emāmzādeh ‘Abdollāh
eqbaliyeh	Eqbālīyeh
eqlid	Eqlīd
esfahanak	Eşfahānak
esfahlan	Esfahlān
esfahran	Esfahrān
esfandabad	Esfandābād
esfanjan	Esfanjān
esfarayen	Esfarāyen
esfarjan	Esfarjān
eshkanan	Eshkanān
eshkardasht	Eshkārdasht
eshkavand	Eshkāvand
eshtehard	Eshtehārd
eskaman	Eskamān
eslamabad	Eslāmābād
eslamabad-e gharb	Eslāmābād-e Gharb
eslamiyeh	Eslāmīyeh
eslamshahr	Eslamshahr
espakeh	Espakeh
estahban	Estahbān
estark	Estark
evaz	Evaz
eyvan	Eyvān
ezbaran	Ezbārān
fahraj	Fahraj
fakhrabad	Fakhrābād
fal	Fāl
falavarjan	Falāvarjān
famast	Famast
famenin	Fāmenīn
fami	Famī
fannuj	Fannūj
faqihabad	Faqīhābād
faradonbeh	Farādonbeh
faragheh	Farāgheh
fararat	Farārat
fardis	Fardīs
fareghan	Fāreghān
fariman	Farīmān
farmahin	Farmahīn
farrashband	Farrāshband
farrokh shahr	Farrokh Shahr
farrokhabad	Farrokhābād
farsafaj	Farsafaj
farsan	Fārsān
farsijin	Fārsījīn
farsiyan	Fārsīyān
faruj	Fārūj
faruq	Fārūq
faryab	Fāryāb
fasa	Fasā
fasham	Fasham
fashand	Fashand
fashtakeh	Fashtakeh
fathabad	Fatḩābād
fazelabad	Fāẕelābād
federd	Federd
ferdows	Ferdows
ferdowsiyeh	Ferdowsīyeh
fereydun kenar	Fereydūn Kenār
fereydunshahr	Fereydūnshahr
ferunabad	Ferūnābād
fesenduz	Fesendūz
feyzabad	Feyẕābād
filabad	Fīlābād
filestan	Fīlestān
firuraq	Fīrūraq
firuz salar	Fīrūz Sālār
firuzabad	Fīrūzābād
firuzan	Fīrūzān
firuzbahram	Fīrūzbahrām
firuzeh	Fīrūzeh
firuzi	Fīrūzī
firuzkuh	Fīrūzkūh
fishvar	Fīshvar
forud	Forūd
forutaqeh	Forūtaqeh
fulad shahr	Fūlād Shahr
fuman	Fūman
gachi	Gachī
gadamabad	Gadamābād
gahru	Gahrū
gajvan	Gajvān
galehdar	Galehdār
galesh pol	Gālesh Pol
galikesh	Gālīkesh
galmurti	Galmūrtī
galugah	Galūgāh
gamasb	Gamasb
gamishli yelqi	Gāmīshlī Yelqī
gandab	Gandāb
gandoman	Gandomān
gandomineh	Gandomīneh
garab	Garāb
gargur	Gargūr
garm darreh	Garm Darreh
garmdarreh	Garmdarreh
garmeh	Garmeh
garmsar	Garmsār
garu	Garū
garuk	Garūk
gav khaneh	Gāv Khāneh
gavart	Gavart
gavmishabad	Gāvmīshābād
gavmishabad-e sharqi	Gāvmīshābād-e Sharqī
gaz-e borkhar	Gaz-e Borkhar
gaz-e gharbi	Gaz-e Gharbī
gazanak	Gazanak
geleyerd	Geleyerd
gerash	Gerāsh
gerdevan	Gerdevān
gerdu	Gerdū
geri dowji	Gerī Dowjī
germi	Germī
gerzeh	Gerzeh
gheyzaniyeh	Gheyzānīyeh
gilan-e gharb	Gīlān-e Gharb
gilandeh	Gīlāndeh
gilova	Gīlovā
givi	Gīvī
gol chini	Gol Chīnī
gol soleymanabad	Gol Soleymānābād
gol tappeh	Gol Tappeh
gol tappeh kabir	Gol Tappeh Kabīr
gol ‘abbas	Gol ‘Abbās
golbaf	Golbāf
golbahar	Golbahār
goldasht	Goldasht
golestan	Golestān
golestanak	Golestānak
golmakan	Golmakān
golpayegan	Golpāyegān
golsar	Golsār
golshahr	Golshahr
golzar-e bala	Golzār-e Bālā
gomishan	Gomīshān
gonabad	Gonābād
gonbad-e kavus	Gonbad-e Kāvūs
gonbadan	Gonbadān
gonbadli	Gonbadlī
gonjan	Gonjān
gorgab	Gorgāb
gorgan	Gorgān
gorji-ye 'olya	Gorjī-ye 'Olyā
gorji-ye sofla	Gorjī-ye Soflá
gorjiabad	Gorjīābād
gotvand	Gotvand
govareshk	Govāreshk
gowharan	Gowharān
gugan	Gūgān
guged	Gūged
guharan	Gūharān
gujan	Gūjān
guk tappeh	Gūk Tappeh
gukjeh	Gūkjeh
gurab zarmikh	Gūrāb Zarmīkh
gurabjir-e sahra	Gūrābjīr-e Şaḩrā
gurak sadat	Gūrak Sādāt
gurband	Gūrband
gurzang	Gūrzang
guyom	Gūyom
habibabad	Ḩabībābād
hachirud	Hachīrūd
hadishahr	Hādīshahr
hafshejan	Hafshejān
haft cheshmeh	Haft Cheshmeh
haft juy	Haft Jūy
hafteh	Hafteh
haftkel	Haftkel
haftshuyeh	Haftshūyeh
hajji khademi	Ḩājjī Khādemī
hajji qushan	Ḩājjī Qūshān
hajji yar	Ḩājjī Yār
hajjiabad	Ḩājjīābād
hajjilar	Ḩājjīlār
hali akhund	Ḩālī Ākhūnd
halor	Halor
halpah’i	Halpah’ī
hamadan	Hamadān
hamadanak	Hamadānak
hamgin	Hamgīn
hamidiyeh	Ḥamīdiyeh
hanna	Ḩannā
haq	Haq
haratom	Harātom
harchegan	Harchegān
harsin	Harsīn
haruni	Hārūnī
hasan rud	Ḩasan Rūd
hasanabad	Ḩasanābād
hasanabad-e vosta	Ḩasanābād-e Vosţá
hashatjin	Hashatjīn
hashemabad	Hāshemābād
hashiyeh rud	Ḩāshīyeh Rūd
hashtgerd	Hashtgerd
hashtpar	Hashtpar
hashtrud	Hashtrūd
haviq	Ḩavīq
hemmatabad	Hemmatābād
hendijan	Hendījān
hendu kola	Hendū Kolā
hendudar	Hendūdar
herat	Herāt
heris	Herīs
hesamabad	Ḩesāmābād
hesar kharvan	Ḩeşār Kharvān
hey	Ḩey
hichan	Hīchān
hidaj	Hīdaj
hiduj	Hīdūj
hiq	Ḩīq
hiv	Hīv
hormoz	Hormoz
horr	Ḩorr
hoseynabad	Ḩoseynābād
hoseynabad-e qorqi	Ḩoseynābād-e Qorqī
hoveyzeh	Hoveyzeh
hur	Ḩūr
hureh	Hūreh
hushak	Hūshak
hutak	Hūtak
huyeh	Hūyeh
ich	Īch
idahlu	Īdahlū
igder-e pa’in	Īgder-e Pā’īn
ij	Īj
ilam	Īlām
ilkhchi	Īlkhchī
imanshahr	Imanshahr
iraj	Īraj
iranabad	Īrānābād
iranshahr	Iranshahr
isfahan	Isfahan
istgah-e rah ahan-e garmsar	Īstgāh-e Rāh Āhan-e Garmsār
ivand	Īvand
ivaowghli	Īvāowghlī
izad khvast	Īzad Khvāst
izad shahr	Īzad Shahr
izeh	Īz̄eh
jaban	Jābān
jabuz	Jābūz
jadval-e torki	Jadval-e Torkī
jahadabad	Jahādābād
jahrom	Jahrom
jajarm	Jājarm
jakdan	Jakdān
jalalabad	Jalālābād
jalayer	Jalāyer
jalq	Jālq
jam	Jam
jam khaneh	Jām Khāneh
jamkaran	Jamkarān
janan lu	Jānān Lū
jangiyeh	Jangīyeh
jannat makan	Jannat Makān
jannat shahr	Jannat Shahr
janqur	Jānqūr
jaresqan	Jaresqān
jask	Jask
jask-e kohneh	Jāsk-e Kohneh
jateh	Jāteh
javadiyeh	Javādīyeh
javanmardi	Javānmardī
javanrud	Javānrūd
javarsian	Jāvarsīān
javerseyan	Jāverseyān
jazan	Jazan
jazireh-ye shif	Jazīreh-ye Shīf
ja‘farabad	Ja‘farābād
ja‘farabad-e akhavan	Ja‘farābād-e Akhavān
ja‘fariyeh	Ja‘farīyeh
ja’inak	Jā’īnak
jelin	Jelīn
jenah	Jenāḩ
jereh	Jereh
jetut	Jetūţ
jezzeh	Jezzeh
jian	Jīān
jirandeh	Jīrandeh
jiroft	Jīroft
joghtay	Joghtāy
jongiyeh	Jongīyeh
jowkar	Jowkār
jowlarestan	Jowlarestān
jowzdan	Jowzdān
juben	Jūben
jujil	Jūjīl
julfa	Julfa
junqan	Jūnqān
juqin	Jūqīn
juraqan	Jūraqān
jusheqan-e estark	Jūsheqān-e Estark
juybar	Jūybār
juyom	Jūyom
kabudarahang	Kabūdarāhang
kafeh baluchi	Kāfeh Bālūchī
kafoshan	Kāfoshān
kafrash	Kafrāsh
kafri	Kafrī
kaftar	Kāftar
kaftarak	Kaftarak
kahak	Kahak
kahnuj	Kahnūj
kahriz	Kahrīz
kahrizak	Kahrīzak
kaj	Kāj
kakhk	Kākhk
kaki	Kākī
kala chay	Kalā Chāy
kalajah	Kalajāh
kalaleh	Kalāleh
kalameh	Kalameh
kalardasht	Kalārdasht
kalat-e naderi	Kalāt-e Nāderī
kaleybar	Kaleybar
kalleh bast	Kalleh Bast
kamalabad	Kamālābād
kamali	Kamālī
kamalshahr	Kamālshahr
kamyaran	Kāmyārān
kandakli	Kandaklī
kandolus	Kandolūs
kandor	Kandor
kangavar	Kangāvar
kapur chal	Kapūr Chāl
karahrud	Karahrūd
karaj	Karaj
karan	Karan
karchan	Kārchān
kardar	Kardar
karf-e ‘olya	Karf-e ‘Olyā
karian	Karīān
karimabad	Karīmābād
karizak-e nagahani	Kārīzak-e Nāgahānī
karkaj	Karkaj
karkan	Karkān
karkevand	Karkevand
karun	Kārūn
karuyeh	Kārūyeh
karzin	Kārzīn
kashaf	Kashaf
kashan	Kashan
kashan	Kāshān
kashmar	Kāshmar
kasrineh	Kasrīneh
katalem va sadat shahr	Katālem va Sādāt Shahr
kateh gonbad	Kateh Gonbad
katra	Katrā
kavar	Kavār
kavian	Kāvīān
kazemabad	Kāz̧emābād
kazerun	Kāzerūn
kazzaz-e bala	Kazzāz-e Bālā
kelarabad	Kelārābād
kelestan	Kelestān
kelishad va sudarjan	Kelīshād va Sūdarjān
kenevist	Kenevīst
kerend-e gharb	Kerend-e Gharb
kerik	Kerīk
keriq	Kerīq
kerman	Kerman
kermanshah	Kermanshah
keshavarz	Keshāvarz
keshmesh tappeh	Keshmesh Tappeh
khabarabad	Khabarābād
khafr	Khafr
khajeh nafas	Khājeh Nafas
khakriz	Khākrīz
khalaf-e mosallam	Khalaf-e Mosallam
khaledabad	Khāledābād
khalil shahr	Khalīl Shahr
khalilabad	Khalīlābād
khalkhal	Khalkhāl
khamesan	Khāmesān
khan amir	Khān Amīr
khan bebin	Khān Bebīn
khan laq	Khān Laq
khaneh zenyan	Khāneh Zenyān
khaneqah	Khāneqāh
khaneqah-e ‘olya	Khāneqāh-e ‘Olyā
khanian	Khānīān
khaniman	Khānīman
khankuk	Khānkūk
khansar	Khānsār
kharaji	Kharājī
khark	Khārk
kharmanan	Kharmanān
khasabad	Khāşābād
khash	Khāsh
khasht	Khasht
khatunabad	Khātūnābād
khavar shahr	Khāvar Shahr
khaveh	Khāveh
kherameh	Kherāmeh
khesht sar	Khesht Sar
kheyr rud kenar	Kheyr Rūd Kenār
kheyrabad	Kheyrābād
khezerlu	Kheẕerlū
khivali	Khīvalī
kholqabad	Kholqābād
khomam	Khomām
khomarlu	Khomārlū
khomeyn	Khomeyn
khomeyni shahr	Khomeynī Shahr
khondab	Khondāb
khonj	Khonj
khonjesht	Khonjesht
khoramdasht	Khoramdasht
khorramabad	Khorramābād
khorramabad	Khorramabad
khorramdarreh	Khorramdarreh
khorramshahr	Khorramshahr
khoshk bijar	Khoshk Bījār
khoshk estalkh	Khoshk Esţalkh
khoshkrud	Khoshkrūd
khosrow shirin	Khosrow Shīrīn
khosrowabad	Khosrowābād
khosrowshahr	Khosrowshahr
khosuyeh	Khosūyeh
khovis	Khovīs
khowrzuq	Khowrzūq
khowy	Khowy
khozaq	Khozāq
khujin	Khūjīn
khumeh zar	Khūmeh Zār
khundab	Khūndāb
khur	Khūr
khurin	Khūrīn
khurmuj	Khūrmūj
khusf	Khūsf
khuy	Khūy
khuzi	Khūzī
khvachekin	Khvāchekīn
khvaf	Khvāf
kia kola	Kīā Kolā
kian	Kīān
kianabad	Kīānābād
kiasar	Kīāsar
kiashahr	Kīāshahr
kilan	Kīlān
kish	Kīsh
kohak	Kohak
kohanabad	Kohanābād
kolaksar	Kolāksar
kolka sara	Kolkā Sarā
kolur	Kolūr
kolvanaq	Kolvānaq
komeshcheh	Komeshcheh
komijan	Komījān
kommeh	Kommeh
konarak	Konārak
konarak-e ‘olya	Konarak-e ‘Olyā
kondor	Kondor
korang	Korang
kord	Kord
kord kandi	Kord Kandī
kord kuy	Kord Kūy
kordan	Kordān
kordichal	Kordīchāl
kordlar	Kordlar
koreyt-e borumi	Koreyt-e Borūmī
koruj	Korūj
koshkesara	Koshkesarā
koshksaray	Koshksarāy
kotij	Kotīj
kuchesfahan	Kūcheşfahān
kudian	Kūdīān
kuh sefid	Kūh Sefīd
kuhanjan	Kūhanjān
kuhbanan	Kūhbanān
kuhdasht	Kūhdasht
kuhestak	Kūhestak
kuhi kheyl	Kūhī Kheyl
kuhin	Kūhīn
kuhnani	Kūhnānī
kuhpayeh	Kūhpāyeh
kuhsar	Kuhsar
kujanaq	Kūjanaq
kujuvar	Kujuvar
kumeleh	Kūmeleh
kuraneh	Kūrāneh
kurdeh	Kūrdeh
kushk	Kūshk
kushk-e nar	Kūshk-e Nār
kut-e navaser	Kūt-e Navāşer
kut-e ‘abdollah	Kūt-e ‘Abdollāh
kuy-e montazeri	Kūy-e Montaz̧erī
kuzeh kanan	Kūzeh Kanān
lahijan	Lāhījān
lahrud	Lāhrūd
laj	Lāj
laklar	Laklār
lalakah mahalleh	Lalakah Maḩalleh
lalaklu	Lalaklū
lalan	Lālān
lalehzar	Lālehzār
lalejin	Lālejīn
lali	Lālī
lamerd	Lamerd
landeh	Landeh
langar	Langar
langarud	Langarūd
lapu’i	Lapū’ī
lar	Lār
largan	Lārgān
larim	Lārīm
lashkarabad	Lashkarābād
lasht-e nesha	Lasht-e Neshā
lasjerd	Lāsjerd
lasku kalayeh	Laskū Kalāyeh
latifi	Laţīfī
latingan	Latīngān
lavandevil	Lavandevīl
lavasan	Lavāsān
laz	Laz
lazur	Lazūr
lesga’	Les̄gā’
leylan	Leylān
lichah	Līchāh
likak	Līkak
lisar	Līsār
livar-e bala	Līvār-e Bālā
lomabad	Lomābād
lordegan	Lordegān
lotfabad	Loţfābād
lown-e sadat	Lown-e Sādāt
lowshan	Lowshān
lulaman	Lūlamān
lumar	Lūmār
lushkan	Lūshkān
madar soleyman	Mādar Soleymān
madavan	Mādavān
madiseh	Madīseh
mahabad	Mahābād
mahajeran	Mahājerān
mahallat	Maḩallāt
mahalleh-ye kafi ol malek	Maḩalleh-ye Kāfī ol Malek
mahalleh-ye najafabad	Maḩalleh-ye Najafābād
mahan	Māhān
