4 arm (kharwali)	4 Arm (Kharwali)
amingaon	Amingaon
amingarh	Amīngarh
amini	Amini
aminpur	Amīnpur
amkhera	Amkhera
amla	Amla
amlabad	Amlabad
amlagora	Āmlāgora
amlai	Amlai
amli	Āmli
amloh	Amloh
ammainaickanur	Ammainaickanur
ammanur	Ammanūr
ammapattinam	Ammāpattinam
ammapettai	Ammāpettai
ammavarikuppam	Ammavarikuppam
ammur	Ammūr
amod	Amod
ampati	Ampati
amrala	Amrāla
amravati	Amravati
amreli	Amreli
amritsar	Amritsar
amroha	Amroha
amroli	Amroli
amta	Āmta
amudalavalasa	Amudālavalasa
amur	Āmūr
anaimalai	Anaimalai
anaiyur	Ānaiyūr
anakapalle	Anakapalle
anakaputhur	Anakaputhur
anand	Anand
anand nagar	Anand Nagar
anandanagar	Anandanagar
anandnagar	Anandnagar
anandpar	Anandpar
anandpur	Anandpur
anantapur	Anantapur
anantapuram	Anantapuram
anantnag	Anantnag
anantpur	Anantpur
ancharakandy	Ancharakandy
andada	Andada
andipalayam	Andipalayam
andippatti	Āndippatti
andol	Andol
andro	Andro
andrott	Andrott
anekal	Anekal
angamali	Angamāli
angul	Angul
anini	Anini
anjad	Anjad
anjangaon	Anjangaon
anjani budruk	Anjani Budruk
anjani khurd	Anjani Khurd
anjanvel	Anjanvel
anjar	Anjār
anjira	Anjira
anjugramam	Anjugramam
anjuna	Anjuna
anjur	Anjūr
anklav	Anklav
ankleshwar	Ankleshwar
anklesvar ina	Anklesvar INA
ankola	Ankola
annal agraharam	Annāl Agrahāram
annamalainagar	Annāmalainagar
annavasal	Annavāsal
annigeri	Annigeri
annur	Annur
anshing	Anshing
ant	Ant
anta	Anta
antagarh	Antāgarh
antaliya	Antaliya
antarjal	Antarjal
anthicad	Anthicad
anthiyur	Anthiyur
antri	Antri
antu	Antu
anupgarh	Anūpgarh
anuppanadi	Anuppānadi
anuppankulam	Anuppankulam
anuppur	Anūppur
anupshahr	Anūpshahr
anwaram	Anwaram
anwari	Anwāri
aonla	Aonla
appukkudal	Āppukkudal
apra	Apra
apta	Āpta
aquem	Aquem
ara	Arā
arachchalur	Arachchalūr
arakandanallur	Arakandanallūr
arakkonam	Arakkonam
aralgoria	Aralgoria
arambagh	Arāmbāgh
arambol	Arambol
aramboli	Aramboli
arang	Arang
arangaon	Ārangaon
arantangi	Arantāngi
araria	Arāria
arasur	Arasūr
aravakkurichchi	Aravakkurichchi
arcot	Arcot
arempudi	Arempudi
areraj	Areraj
arimalam	Arimalam
ariyallur	Ariyallur
ariyalur	Ariyalūr
ariyankuppam	Ariyānkuppam
ariyur	Ariyur
arjunda	Arjunda
arjyapalli marine	Arjyapalli Marine
arkalgud	Arkalgūd
arki	Arki
arkula	Arkula
arni	Arni
aron	Āron
aroor	Aroor
arrah	Arrah
arsande	Arsande
arshakunti	Arshakunti
arsikere	Arsikere
arsodiya	Arsodiya
artist village	Artist Village
arukutti	Arukutti
arumanai	Arumanai
arumbanur	Arumbanūr
arumbavur	Arumbāvūr
arumuganeri	Arumuganeri
aruppukkottai	Aruppukkottai
aruvankad	Aruvankad
arvi	Ārvi
arwal	Arwal
arwani	Arwani
arya	Ārya
asan khurd	Āsan Khurd
asandh	Āsandh
asangaon	Asangaon
asansol	Āsansol
asara	Asāra
asara	Āsara
asarganj	Asarganj
asham	Asham
ashmuji khalsa	Ashmuji Khalsa
ashokapuram	Ashokapuram
ashoknagar	Ashoknagar
ashoknagar kalyangarh	Ashoknagar Kalyangarh
ashta	Ashta
ashti	Ashti
ashti	Āshti
asifabad	Asifābād
asika	Āsika
asind	Āsind
asola	Asola
asudubi	Asudubi
atarra	Atarra
ateli mandi	Ateli Mandi
athagarh	Āthagarh
athani	Athani
athiyannur	Athiyannur
athmallik	Athmallik
athner	Athner
atholi	Atholi
atmakur	Atmākūr
atmakur	Atmakūr
atrauli	Atraulī
atraulia	Atraulia
atru	Atru
attani	Attāni
attanur	Attanūr
attayampatti	Attayampatti
attibele	Attibele
attili	Attili
attimarappatti	Attimarappatti
attingal	Attingal
attippatti	Attippatti
attippattu	Attippattu
attur	Attur
attur	Attūr
atul	Atul
audhan	Audhan
auhammadpur majri	Auhammadpur Mājri
aur	Aur
aurad	Aurād
auraiya	Auraiya
aurangabad	Aurangābād
aurangabad	Aurangabad
aurangabad cantonment	Aurangabad Cantonment
auras	Aurās
auroville	Auroville
ausa	Ausa
avadattur	Āvadattūr
avadi	Avadi
avalepalli	Avalēpalli
avalpundurai	Avalpūndurai
avanigadda	Avanigadda
avaniyapuram	Avaniyāpuram
avanoor	Avanoor
avanur	Āvānūr
avarpuri	Āvārpuri
aversa	Aversa
avilala	Avilala
avinashi	Avinashi
avinissery	Avinissery
awantipur	Awantipur
aya nagar	Aya Nagar
ayakod	Ayakod
ayakudi	Ayakudi
ayanavelikulangara vadakku	Ayanavelikulangara Vadakku
ayancheri	Āyanchēri
ayikudi	Āyikudi
aymanam	Aymanam
ayodhya	Ayodhya
ayodhyapattanam	Ayodhyāpattanam
ayyalur	Ayyalur
ayyampalaiyam	Ayyampālaiyam
ayyampettai	Ayyampettāi
ayyanur teppakkuttai	Ayyānūr Teppakkuttai
azamgarh	Azamgarh
azara	Azara
azhagiapandipuram	Azhagiapāndipuram
azhikkal	Azhikkal
azhikkod	Azhikkōd
azhiyur	Azhiyūr
azhoor	Azhoor
baba bakala	Bāba Bakāla
babai	Babai
babai	Bābai
babarpur	Bābarpur
baben	Baben
baberu	Baberu
babina	Babīna
bablai	Bablāi
babra	Bābra
babrala	Babrāla
babugarh	Babugarh
bacheli	Bacheli
bachhraon	Bachhraon
bachhrawan	Bachhrāwān
bachra	Bachrā
bad	Bād
bada	Bāda
bada barabil	Bada Barabīl
bada malhera	Bada Malhera
badagabettu	Badagabettu
badagal ulipadi	Badagal Ulipādi
badagara	Badagara
badagrama	Badāgrāma
badakodanda	Badakodanda
badamba	Badamba
badami	Bādāmi
badamibagh	Badāmibāgh
badarpur	Badarpur
badarpur railway town	Badarpur Railway Town
badarwas	Badarwās
baddi	Baddi
baddowal	Baddowāl
badepalli	Bādepalli
badgam	Badgām
badh malak	Badh Malak
badhni kalan	Badhni Kalān
badi	Badi
badlapur	Badlapur
badmal	Badmal
badnawar	Badnāwar
badra	Badra
badshahpur	Bādshāhpur
baduria	Badūria
badvel	Badvel
bag	Bāg
baga	Baga
bagaha	Bagaha
bagalkot	Bagalkot
bagar	Bagar
bagasra	Bagasra
bagbahra	Bāgbahra
bagbera	Bagbera
bagdogra	Bagdogra
bagepalli	Bāgepalli
bageshwar	Bāgeshwar
bagha purana	Bagha Purana
baghamara	Bāghamāra
baghaula	Baghaula
baghpat	Bāghpat
bagicha	Bagicha
bagli	Bāgli
bagnan	Bāgnān
bagra	Bagra
bagrana	Bagrāna
bagru	Bagru
bagula	Bagulā
bah	Bāh
bahadurganj	Bahādurganj
bahadurgarh	Bahadurgarh
bahadurpur	Bahadurpur
baharampur	Baharampur
bahbari gaon	Bahbari Gaon
baheri	Baheri
bahjoi	Bahjoi
bahraigh	Bahraigh
bahrampur	Bahrāmpur
bahsuma	Bahsūma
bahua	Bahua
bahula	Bahula
baidyabati	Baidyabāti
baihar	Baihar
baikunthpur	Baikunthpur
bail-hongal	Bail-Hongal
bairagnia	Bairāgnia
baisi	Baisi
bajna	Bājna
bajpe	Bajpe
bajwa	Bajwa
bakani	Bakāni
bakarwala	Bakarwāla
bakewar	Bakewar
bakhri	Bakhri
bakhtawarpur	Bakhtāwarpur
bakhtiarpur	Bakhtiarpur
bakhtiyarpur	Bakhtiyārpur
bakloh	Bakloh
bakreswar	Bakreswar
bakultala	Bakultala
balachor	Bālāchor
balaga	Balaga
balaghat	Bālāghāt
balagunda	Bālāgunda
balakrishnanpatti	Bālakrishnanpatti
balakrishnapuram	Balakrishnapuram
balangir	Balāngīr
balapur	Bālāpur
balarampur	Balarāmpur
balasamudram	Bālasamudram
balasore	Balasore
balaungi	Balaungi
baldeogarh	Baldeogarh
baldeopur	Baldeopur
baldev	Baldev
bali	Bāli
bali chak	Bāli Chak
bali koria	Bali Koria
baliapur	Baliapur
baliguda	Baliguda
balimila	Balimila
balipatapur	Balipatapur
balirampur	Balīrāmpur
balitha	Balitha
baliyasan	Baliyasan
balkudra	Balkudrā
ballari	Ballari
ballarpur	Ballarpur
ballia	Ballia
balod	Balod
baloda	Baloda
baloda bazar	Baloda Bāzār
balotra	Balotra
balrampur	Balrāmpur
balrampur	Balrampur
balria	Balria
balugan	Bālugān
balugaon	Bālugaon
balurghat	Bālurghāt
balussheri	Balussheri
bamaur	Bāmaur
bambolim	Bambolim
bamboo flat	Bamboo Flat
bamhni	Bamhnī
bamna	Bamna
bamor kalan	Bāmor Kalān
bamora	Bamora
bamun sualkuchi	Bamun Sualkuchi
banapur	Bānapur
banasthali	Banasthali
banat	Banat
banavar	Bānāvar
banbasa	Banbasa
banda	Bānda
banda	Banda
bandarulanka	Bandarulanka
bandbahal	Bandbahāl
bandh dih	Bandh Dih
bandhgora	Bandhgora
bandikui	Bāndīkūi
bandipura	Bandipura
bandlaguda	Bandlaguda
bandora	Bandora
banga	Banga
banganapalle	Banganapalle
bangaon	Bangaon
bangarapet	Bangarapet
bangarda	Bāngarda
bangarda chhota	Bāngarda Chhota
bangarmau	Bāngarmau
bangawan	Bangawan
bangomunda	Bangomunda
bangramanjeshvara	Bangramanjēshvara
banihal	Banihāl
banjar	Banjār
bank	Bānk
banka	Bānka
bankapur	Bankāpur
banki	Bānki
bankimnagar	Bankimnagar
bankner	Bānkner
bankoli	Bānkoli
bankra	Bankra
bankura	Bānkura
banmankhi	Banmankhi
banmankhi bazar	Banmankhi Bazar
bannur	Bannūr
banposh	Bānposh
bansatarkheda	Bānsātārkheda
bansbaria	Bānsbāria
bansdih	Bānsdīh
bansdih	Bānsdih
bansgaon	Bānsgāon
bansi	Bānsi
banskhoh	Bānskhoh
banswada	Bānswāda
banswara	Bānswāra
bantva	Bāntva
bantval	Bantvāl
banur	Banūr
baola	Bāola
baonli	Bāonlī
bapatla	Bāpatla
baprola	Bāprola
baqiabad	Baqiabad
bar	Bār
bar bigha	Bar Bigha
bara	Bāra
bara bazar	Bara Bazar
bara uchana	Bara Uchāna
baragaon	Barāgaon
barajamda	Barajamda
barakpur	Bārākpur
baral	Baral
baralota	Bārālotā
baramati	Bārāmati
baramkela	Baramkela
baramula	Bāramūla
baran	Bārān
baranagar	Baranagar
barara	Barāra
barasat	Bārāsat
barauda	Barauda
barauli	Barauli
barauni	Barauni
baraut	Baraut
barbari (amc area)	Barbari (AMC Area)
barbigha	Barbigha
barbil	Barbil
barddhaman	Barddhamān
bardol	Bardol
bardoli	Bārdoli
bardubhi	Bardubhi
bare	Bāre
bareilly	Bareilly
bareja	Bareja
barela	Barela
bareli	Bareli
bareta	Bareta
bargaon	Bargaon
bargarh	Bargarh
bargawan	Bargāwān
barghat	Barghāt
bargi	Bargi
bargur	Bargūr
barh	Bārh
barhagarh	Barhagarh
barharwa	Barharwā
barhi	Barhi
barhi majra	Bārhi Mājra
barhiya	Barhiya
bari	Bāri
bari sadri	Bari Sādri
bariarpur	Bariārpur
barigarh	Bārīgarh
barika chuburi	Barika Chuburi
baripada	Baripāda
bariyar	Bariyār
barjala	Barjala
barjora	Barjora
barka kana	Barkā Kānā
barkhera kalan	Barkhera Kalān
barki saria	Barki Saria
barkot	Barkot
barkuhi	Barkuhi
barla	Barla
barmer	Bārmer
barmhan kalan	Barmhān Kalān
barnagar	Barnagar
barnala	Barnāla
barod	Barod
baroda	Baroda
barora	Barora
barpali	Barpāli
barpathar	Barpathār
barpeta	Barpeta
barpeta road	Barpeta Road
barsana	Barsāna
barshi	Barshi
barsur	Barsur
barua bari gaon	Barua Bari Gaon
baruipur	Baruipur
baruni	Bāruni
baruwali	Baruwāli
barwadih	Barwādih
barwah	Barwāh
barwala	Barwāla
barwala	Barwala
barwani	Barwāni
basar	Bāsār
basavakalyan	Basavakalyan
basavana bagevadi	Basavana Bāgevādi
bashettihalli	Bāshettihalli
bashohli	Bashohli
basi	Basi
basirhat city	Basirhat City
basmat	Basmat
basna	Basna
basni	Basni
basoda	Basoda
baspalli	Bāspalli
bastar	Bastar
basti	Bastī
basudebpur	Bāsudebpur
basugaon	Bāsugaon
basukinath	Basukinath
baswa	Baswa
bat	Bat
batala	Batāla
batarashi	Batarashi
bathinda	Bathinda
batoti	Batoti
baua kalan	Baua Kalan
baud	Baud
bawal	Bāwal
bawana	Bawāna
bawani khera	Bawāni Khera
bay	Bay
bayad	Bayad
bayana	Bayāna
bayanpur	Bayānpur
bazpur	Bāzpur
beawar	Beāwar
becharaji	Becharaji
bed	Bed
bedi	Bedi
bedla	Bedla
beed	Beed
beerwah	Beerwah
beg	Beg
begamganj	Begamganj
begampur	Begampur
begowal	Begowāl
begun	Begūn
begusarai	Begusarai
behat	Behat
behjoga	Behjoga
behlana	Behlana
behror	Behror
bekobar	Bekobār
bela	Bela
belagachhia	Belagachhia
belagavi	Belagavi
belaguntha	Belaguntha
beldanga	Beldānga
beliator	Beliātor
bellampalli	Bellampalli
belluru	Bellūru
belma	Belma
belonia	Belonia
belpahar	Belpahar
belsand	Belsand
belsor	Belsor
beltangadi	Beltangadi
belthangady	Belthangady
belur	Belūr
belvata	Belvata
bemetara	Bemetāra
benaulim	Benaulim
bengaluru	Bengaluru
beniganj	Benīganj
benipur	Benipur
benkanhalli	Benkanhalli
beohari	Beohāri
berasia	Berasia
berhait	Berhait
beri khas	Beri Khās
beriwala	Berīwāla
berla	Berla
bermo	Bermo
beswan	Beswān
betamcherla	Betamcherla
bethamangala	Bethamangala
betma	Betma
bettiah	Bettiah
betul	Betūl
betul bazar	Betūl Bazār
bewar	Bewar
beypore	Beypore
bhabhar	Bhābhar
bhabhra	Bhābhra
bhabhua	Bhabhua
bhachau	Bhachāu
bhadarwah	Bhadarwāh
bhadasar	Bhādāsar
bhadauni	Bhadauni
bhadaur	Bhadaur
bhadgaon	Bhadgaon
bhadkodara	Bhadkodara
bhadohi	Bhadohi
bhadra	Bhādra
bhadrachalam	Bhadrāchalam
bhadrak	Bhadrak
bhadravati	Bhadrāvati
bhadravati	Bhadravati
bhadreswar	Bhadreswar
bhadson	Bhādson
bhagal jagana	Bhāgal Jagāna
bhagalpur	Bhāgalpur
bhagdawada	Bhagdawada
bhagirathpur	Bhagirathpur
bhagirathpur	Bhāgīrathpur
bhagta	Bhagta
bhagur	Bhagur
bhagwantnagar	Bhagwantnagar
bhainsa	Bhainsa
bhainsdehi	Bhainsdehi
bhairabi	Bhairabi
bhairamgarh	Bhairamgarh
bhairapura	Bhairāpura
bhaisa	Bhaisa
bhakarsahi	Bhakarsahi
bhakhara	Bhakhāra
bhakli	Bhākli
bhalki	Bhālki
bhalpara	Bhalpara
bhalswa jahangirpur	Bhālswa Jahangirpur
bhalukdubi	Bhalukdubi
bhamal	Bhamal
bhamian kalan	Bhamiān Kalān
bhandara	Bhandāra
bhandardaha	Bhandārdaha
bhander	Bhānder
bhandra	Bhandra
bhanjanagar	Bhanjanagar
bhankarpur	Bhankarpur
bhanpura	Bhānpura
bhanpuri	Bhānpurī
bhanumukkala	Bhānumukkala
bhanupratappur	Bhānupratāppur
bhanur	Bhānūr
bhanvad	Bhānvad
bhapur	Bhapur
bharanikavu tekku	Bharanikāvu Tekku
bharatpur	Bharatpur
bhardua	Bhardua
bharthana	Bharthana
bharthana kosad	Bharthana Kosad
bharuch	Bharūch
bharuch ina	Bharuch INA
bharwari	Bharwāri
bharweli	Bharwelī
bhat	Bhat
bhatapara	Bhātāpāra
bhatgaon	Bhatgaon
bhati	Bhati
bhatkal	Bhatkal
bhatli	Bhatli
bhatpara	Bhātpāra
bhattian	Bhattiān
bhattiprolu	Bhattiprolu
bhauri	Bhauri
bhavani	Bhavāni
bhavanisagar	Bhavanisagar
bhavnagar	Bhavnagar
bhawani mandi	Bhawāni Mandi
bhawanigarh	Bhawānīgarh
bhawanipatna	Bhawānipatna
bhawanipur	Bhawanipur
bhayandar	Bhayandar
bhayavadar	Bhāyāvadar
bhelai	Bhelai
bheraghat	Bherāghāt
bhetia	Bhetia
bhigvan	Bhigvan
bhikangaon	Bhikangaon
bhikhi	Bhīkhi
bhikkiwind uttar	Bhikkiwind Uttār
bhikshandarkovil	Bhikshāndārkovil
bhilad	Bhilad
bhilai	Bhilai
bhilai charoda	Bhilai Charoda
bhilakhedi	Bhilakhedi
bhiloda	Bhiloda
bhilwara	Bhilwara
bhim	Bhim
bhim kanari	Bhim Kanari
bhim tal	Bhīm Tāl
bhimarayanagudi	Bhimarayanagudi
bhimavaram	Bhimavaram
bhimavaram	Bhīmavaram
bhimnagar	Bhīmnagar
bhimpur	Bhimpur
bhimunipatnam	Bhīmunipatnam
bhind	Bhind
bhindar	Bhindār
bhinga	Bhinga
bhinmal	Bhīnmāl
bhisiyana	Bhisiyāna
bhitarwar	Bhitarwār
bhiwadi	Bhiwadi
bhiwandi	Bhiwandi
bhiwani	Bhiwāni
bhogpur	Bhogpur
bhojudih	Bhojudih
bhokar	Bhokar
bhokardan	Bhokardan
bhokra	Bhokra
bholav	Bholav
bhongaon	Bhongaon
bhongir	Bhongīr
bhonrasa	Bhonrāsa
bhoom	Bhoom
bhopal	Bhopal
bhopalpatnam	Bhopālpatnam
bhor	Bhor
bhore	Bhore
bhorgarh	Bhorgarh
bhota	Bhota
bhowali	Bhowali
bhuban	Bhuban
bhubaneswar	Bhubaneswar
bhucho mandi	Bhucho Mandi
bhudgaon	Bhudgaon
bhugor	Bhūgor
bhuindhara	Bhuindhara
bhuj	Bhuj
bhuja bhuja nellore	Bhuja Bhuja Nellore
bhulath gharbi	Bhulath Gharbi
bhulwal	Bhulwāl
bhuma	Bhuma
bhundsi	Bhundsi
bhuntar	Bhuntar
bhupalpally	Bhupalpally
bhuragaon rev. town	Bhuragaon Rev. Town
bhuran	Bhuran
bhurivel	Bhurivel
bhusawal	Bhusawal
bhusawar	Bhusawar
bhuwana	Bhuwāna
bhuwaneshwar	Bhuwaneshwar
biaora	Biaora
biate	Biate
bibinagar	Bībīnagar
bichhia	Bichhiā
bicholi hapsi	Bicholi Hapsi
bicholim	Bicholim
bichri	Bichri
bidadi	Bidadi
bidar	Bidar
bidasar	Bīdāsar
bidhuna	Bidhūna
bighapur khurd	Bīghāpur Khurd
bihar sharif	Bihār Sharīf
bihariganj	Bihārīganj
bihat	Bihāt
bihpuria	Bihpuria
bihpuriagaon	Bihpuriāgaon
bihta	Bihtā
bijaipur	Bijaipur
bijapur	Bījāpur
bijawar	Bijāwar
bijaynagar	Bijaynagar
bijbehara	Bijbehara
bijepur	Bijepur
bijeraghogarh	Bijeraghogarh
bijni	Bijni
bijnor	Bijnor
bijolia	Bijolia
bijrauni	Bijrauni
bijuri	Bijuri
bikaner	Bikaner
bikapur	Bīkāpur
bikkatti	Bikkatti
bikram	Bikram
bikramganj	Bikramganj
bilaigarh	Bilaigarh
bilara	Bilāra
bilari	Bilāri
bilariaganj	Bilariāganj
bilasipara	Bilāsipāra
bilaspur	Bilaspur
bilaspur	Bilāspur
bilaspur	Bīlāspur
bilaua	Bilaua
bilaur	Bilaur
bilgi	Bilgi
bilgram	Bilgrām
bilha	Bilha
bilhaur	Bilhaur
bilimora	Bilimora
bilkha	Bilkha
biloli	Biloli
bilpura	Bilpura
bilsanda	Bilsanda
bilsi	Bilsi
bilthra	Bilthra
bina	Bīna
bindki	Bindki
binika	Binika
bir ghaghar	Bir Ghaghar
birbhaddar	Birbhaddar
birgaon	Birgaon
birmitrapur	Birmitrapur
birpara	Birpara
birpur	Bīrpur
birsinghpur	Birsinghpur
birur	Birūr
birvadi	Birvādi
bisalgarh	Bisālgarh
bisalpur	Bīsalpur
bisambharpur	Bisambharpur
bisauli	Bisauli
bisenda buzurg	Bisenda Buzurg
bishnah	Bishnāh
bishnupur	Bishnupur
bishramganj	Bishramganj
bishrampur	Bishrāmpur
bishrampur	Bishrampur
bishungarh	Bishungarh
bishunpur urf maharajganj	Bishunpur Urf Mahārājganj
bisokhar	Bisokhar
bissamcuttack	Bissamcuttack
bissau	Bissāu
biswan	Biswān
biswanath chariali	Biswanath Chariali
bithur	Bithūr
bobbili	Bobbili
bobruwada	Bobruwada
bodeli	Bodeli
bodh gaya	Bodh Gaya
bodhan	Bodhan
bodinayakkanur	Bodināyakkanūr
bodri	Bodri
bodri	Bodrī
bodupal	Bodupāl
bogadi	Bogādi
boh	Boh
bohari	Bohari
boisar	Boisar
bokajan	Bokajān
bokakhat	Bokākhāt
bokaro	Bokāro
bolanikhodan	Bolānīkhodān
bolarum	Bolārum
boleng	Boleng
bolpur	Bolpur
bomdila	Bomdila
bommasandra industrial area	Bommasandra Industrial Area
bomminayakkanpatti	Bommināyakkanpatti
bonaigarh	Bonaigarh
bondantila	Bondantila
bongabar	Bongabār
bongaigaon	Bongaigaon
bontapalli	Bontapalli
boothapandi	Boothapandi
bopal	Bopal
bora	Bora
boraj	Borāj
borawar	Borāwar
borgaon	Borgaon
borgolai grant no.11	Borgolai Grant No.11
bori	Borī
boriavi	Boriavi
borigam	Borigam
borigumma	Borigumma
borim	Borim
borio	Borio
borivali tarf rahur	Borivali Tarf Rahur
borivli	Borivli
borkhera	Borkhera
borkheri	Borkherī
borla	Borla
borlai panchaitan	Borlai Panchaitan
borpukhuri	Borpukhuri
borsad	Borsad
botad	Botad
bowluvada	Bowluvada
boyampalaiyam	Boyampālaiyam
boyapalli	Boyāpalli
brahmakulam	Brahmakulam
brahmana periya agraharam	Brāhmana Periya Agrahāram
brahmanan di bari	Brāhmanān di Bāri
brahmani	Brāhmani
brahmapur	Brahmapur
brajarajnagar	Brajarajnagar
bramhabarada	Bramhabarada
bramhapuri	Bramhapuri
briddhanagar	Briddhanagar
budaun	Budaun
budge budge	Budge Budge
budha theh	Budha Thēh
budhana	Budhāna
budhapanka	Budhapanka
budhikhamari	Budhikhamari
budhlada	Budhlāda
budhni	Budhni
budhpura	Budhpura
budipuram	Būdipuram
buguda	Buguda
bulandshahr	Bulandshahr
buldana	Buldāna
buna hir	Buna Hir
bundi	Būndi
bundia	Bundia
bundu	Būndu
bungal	Bungal
bunjwah	Bunjwah
burari	Burāri
burhai	Burhai
burhanpur	Burhānpur
burhar	Burhar
buriya	Būriya
burla	Burla
bursera	Bursera
buxar	Buxar
buxwaha	Buxwaha
buzurg	Buzurg
byadgi	Byādgi
byasanagar	Byasanagar
byndoor	Byndoor
calangute	Calangute
calapor	Calapor
campbell bay	Campbell Bay
canacona	Canacona
candola	Candola
candolim	Candolim
canning	Canning
captainganj	Captainganj
carapur	Carapur
cavelossim	Cavelossim
chabua	Chābua
chachaura	Chāchaura
chachoke	Chachoke
chadoora	Chadoora
chaibasa	Chāībāsa
chail	Chail
chainpal	Chainpal
chainpur	Chainpur
chakai	Chākāi
chakan	Chākan
chakapara	Chakapara
chakghat	Chakghat
