aanekoski	Äänekoski
ilomantsi	Ilomantsi
ilpoinen	Ilpoinen
imatra	Imatra
inari	Inari
inga	Ingå
inio	Iniö
intio	Intiö
iso-heikkila	Iso-Heikkilä
isojoki	Isojoki
isokyro	Isokyrö
ita-hakkila	Itä-Hakkila
ita-pakila	Itä-Pakila
ita-pasila	Itä-Pasila
itaharju	Itäharju
itakeskus	Itäkeskus
itaranta	Itäranta
ivalo	Ivalo
jaala	Jaala
jaali	Jääli
jakobstad	Jakobstad
jakomaki	Jakomäki
jalasjarvi	Jalasjärvi
jamijarvi	Jämijärvi
jamsa	Jämsä
jamsankoski	Jämsänkoski
janakkala	Janakkala
jappila	Jäppilä
jarvela	Järvelä
jarvenpaa	Järvenpää
jarvenpera	Järvenperä
jarvensivu	Järvensivu
jatkasaari	Jätkäsaari
joensuu	Joensuu
jokela	Jokela
jokiniemi	Jokiniemi
jokioinen	Jokioinen
jokipohja	Jokipohja
jollas	Jollas
joroinen	Joroinen
joutsa	Joutsa
joutseno	Joutseno
juankoski	Juankoski
juhannuskyla	Juhannuskylä
jurva	Jurva
juuka	Juuka
juupajoki	Juupajoki
juva	Juva
jyvaskyla	Jyväskylä
kaakinmaa	Kaakinmaa
kaakkuri	Kaakkuri
kaarela	Kaarela
kaarila	Kaarila
kaarina	Kaarina
kaartinkaupunki	Kaartinkaupunki
kaavi	Kaavi
kaerla	Kaerla
kaijonharju	Kaijonharju
kaitaa	Kaitaa
kaivoksela	Kaivoksela
kajaani	Kajaani
kalajarvi	Kalajärvi
kalajoki	Kalajoki
kalasatama	Kalasatama
kaleva	Kaleva
kalevanharju	Kalevanharju
kalevanrinne	Kalevanrinne
kalkku	Kalkku
kallahti	Kallahti
kallby	Kållby
kallio	Kallio
kalvia	Kälviä
kalvola	Kalvola
kammenniemi	Kämmenniemi
kamppi	Kamppi
kangasala	Kangasala
kangaslampi	Kangaslampi
kangasniemi	Kangasniemi
kankaanpaa	Kankaanpää
kannelmaki	Kannelmäki
kannonkoski	Kannonkoski
kannus	Kannus
kapyla	Käpylä
karakallio	Karakallio
karhula	Karhula
karhusuo	Karhusuo
karhuvuori	Karhuvuori
karijoki	Karijoki
karinaisten kirkonkyla	Karinaisten Kirkonkylä
karis	Karis
karjalohja	Karjalohja
karjasilta	Karjasilta
karkkila	Karkkila
karkola	Kärkölä
karsamaki	Kärsämäki
karstula	Karstula
karttula	Karttula
karvia	Karvia
kaskinen	Kaskinen
kastu	Kastu
katajanokka	Katajanokka
katariina	Katariina
kauhajoki	Kauhajoki
kauhava	Kauhava
kaukajarvi	Kaukajärvi
kauklahti	Kauklahti
kaukovainio	Kaukovainio
kauniainen	Kauniainen
kaupunginkallio	Kaupunginkallio
kaustinen	Kaustinen
keimola	Keimola
keitele	Keitele
kello	Kello
kellokoski	Kellokoski
kemi	Kemi
kemijarvi	Kemijärvi
keminmaa	Keminmaa
kempele	Kempele
kerava	Kerava
kerimaki	Kerimäki
kesalahti	Kesälahti
kestila	Kestilä
keuruu	Keuruu
kihnio	Kihniö
kiihtelysvaara	Kiihtelysvaara
kiikala	Kiikala
kiikoinen	Kiikoinen
kiiminki	Kiiminki
kilo	Kilo
kimito	Kimito
kimpinen	Kimpinen
kinnula	Kinnula
kirkkonummi	Kirkkonummi
kisko	Kisko
kissanmaa	Kissanmaa
kitee	Kitee
kittila	Kittilä
kiukainen	Kiukainen
kiuruvesi	Kiuruvesi
kivenlahti	Kivenlahti
kivijarvi	Kivijärvi
kivikko	Kivikko
kiviniemi	Kiviniemi
kivisalmi	Kivisalmi
kivisto	Kivistö
klaukkala	Klaukkala
kohmo	Kohmo
koivistonkyla	Koivistonkylä
koivuhaka	Koivuhaka
koivukyla	Koivukylä
koivula	Koivula
kokemaki	Kokemäki
kokkola	Kokkola
kolari	Kolari
konala	Konala
konepaja	Konepaja
konnevesi	Konnevesi
kontiolahti	Kontiolahti
kontula	Kontula
koria	Koria
korkinmaki	Korkinmäki
korpilahti	Korpilahti
korsholm	Korsholm
korsnas	Korsnäs
korso	Korso
kortesjarvi	Kortesjärvi
korvenkyla	Korvenkylä
korvensuora	Korvensuora
koskela	Koskela
koski tl	Koski Tl
kotka	Kotka
kotkavuori	Kotkavuori
koukkuniemi	Koukkuniemi
kourula	Kourula
kouvola	Kouvola
koylio	Köyliö
kristinestad	Kristinestad
kronoby	Kronoby
kruununhaka	Kruununhaka
kruunuvuorenranta	Kruunuvuorenranta
kuhmalahden kirkonkyla	Kuhmalahden Kirkonkylä
kuhmo	Kuhmo
kuhmoinen	Kuhmoinen
kuivaniemi	Kuivaniemi
kuivasjarvi	Kuivasjärvi
kukola	Kukola
kullaa	Kullaa
kulosaari	Kulosaari
kumpula	Kumpula
kuninkaala	Kuninkaala
kuninkaantammi	Kuninkaantammi
kuopio	Kuopio
kuortane	Kuortane
kurala	Kurala
kurikka	Kurikka
kurkimaki	Kurkimäki
kurttila	Kurttila
kuru	Kuru
kustavi	Kustavi
kuurinniitty	Kuurinniitty
kuusamo	Kuusamo
kuusimaki	Kuusimäki
kuusjoki	Kuusjoki
kylmakoski	Kylmäkoski
kylpyla	Kylpylä
kynsilehto	Kynsilehto
kyro	Kyrö
kyttala	Kyttälä
kyyjarvi	Kyyjärvi
laajalahti	Laajalahti
laajasalo	Laajasalo
laakso	Laakso
laaksolahti	Laaksolahti
laanila	Laanila
lahti	Lahti
laihia	Laihia
laitila	Laitila
lammi	Lammi
lamminpaa	Lamminpää
langelmaki	Längelmäki
lansi-herttoniemi	Länsi-Herttoniemi
lansi-pakila	Länsi-Pakila
lansi-pasila	Länsi-Pasila
lansimaki	Länsimäki
lansiranta	Länsiranta
lansisatama	Länsisatama
lapinjarvi	Lapinjärvi
lapinkyla	Lapinkylä
lapinlahti	Lapinlahti
lapinniemi	Lapinniemi
lappajarvi	Lappajärvi
lappeenranta	Lappeenranta
lappi	Lappi
lapua	Lapua
larsmo	Larsmo
lassila	Lassila
latokartano	Latokartano
latokaski	Latokaski
laukaa	Laukaa
laurinlahti	Laurinlahti
lauritsala	Lauritsala
lauste	Lauste
lautiosaari	Lautiosaari
lauttasaari	Lauttasaari
lavia	Lavia
lehtisaari	Lehtisaari
leinola	Leinola
leiri	Leiri
leivonmaki	Leivonmäki
lemi	Lemi
lempaala	Lempäälä
lemu	Lemu
lentavanniemi	Lentävänniemi
leppakorpi	Leppäkorpi
leppavaara	Leppävaara
leppavirta	Leppävirta
lestijarvi	Lestijärvi
leveri	Leveri
lidmalmen	Lidmalmen
lieksa	Lieksa
lieto	Lieto
liisankallio	Liisankallio
liljendal	Liljendal
limingantulli	Limingantulli
liminka	Liminka
linjat	Linjat
linnainmaa	Linnainmaa
linnanmaa	Linnanmaa
linnoitus	Linnoitus
lintulampi	Lintulampi
lintuvaara	Lintuvaara
liperi	Liperi
lippajarvi	Lippajärvi
lohja	Lohja
lohtaja	Lohtaja
loimaa	Loimaa
loppi	Loppi
lovisa	Lovisa
luhanka	Luhanka
lukonmaki	Lukonmäki
lumijoki	Lumijoki
luolavuori	Luolavuori
luopioinen	Luopioinen
luumaki	Luumäki
luvia	Luvia
maaninka	Maaninka
maikkula	Maikkula
malax	Malax
malikkala	Mälikkälä
malmin lentokentta	Malmin lentokenttä
malminkartano	Malminkartano
mankkaa	Mankkaa
mantsala	Mäntsälä
mantta	Mänttä
mantyharju	Mäntyharju
mantyla	Mäntylä
mantymaki	Mäntymäki
marjaniemi	Marjaniemi
martinlaakso	Martinlaakso
martinniemi	Martinniemi
martti	Martti
marttila	Marttila
masku	Masku
matari	Matari
matinkyla	Matinkylä
maunula	Maunula
maununneva	Maununneva
meilahti	Meilahti
mellila	Mellilä
mellunkyla	Mellunkylä
mellunmaki	Mellunmäki
meri-rastila	Meri-Rastila
merijarvi	Merijärvi
merikarvia	Merikarvia
merimasku	Merimasku
metsala	Metsälä
metsola	Metsola
miehikkala	Miehikkälä
mietoinen	Mietoinen
mikkeli	Mikkeli
mikkola	Mikkola
moikoinen	Moikoinen
monninkyla	Monninkylä
mouhijarvi	Mouhijärvi
muhos	Muhos
multia	Multia
multisilta	Multisilta
munkkiniemi	Munkkiniemi
munkkisaari	Munkkisaari
munkkivuori	Munkkivuori
muonio	Muonio
muotiala	Muotiala
muurala	Muurala
muurame	Muurame
muurla	Muurla
myllymaki	Myllymäki
myllyoja	Myllyoja
myllypuro	Myllypuro
myllytulli	Myllytulli
mynamaki	Mynämäki
myrskyla	Myrskylä
myyrmaki	Myyrmäki
naantali	Naantali
nagu	Nagu
nakkila	Nakkila
nalkala	Nalkala
narpes	Närpes
nastola	Nastola
nekala	Nekala
nickby	Nickby
niemenmaki	Niemenmäki
niemenranta	Niemenranta
niemi	Niemi
niipperi	Niipperi
niittykumpu	Niittykumpu
nikinmaki	Nikinmäki
nilsia	Nilsiä
nivala	Nivala
nivavaara	Nivavaara
nokia	Nokia
noormarkku	Noormarkku
nousiainen	Nousiainen
noykkio	Nöykkiö
nuijamaa	Nuijamaa
nummi	Nummi
nurmes	Nurmes
nurmijarven kirkonkyla	Nurmijärven kirkonkylä
nurmijarvi	Nurmijärvi
nykarleby	Nykarleby
oitti	Oitti
ojakkala	Ojakkala
olari	Olari
olkahinen	Olkahinen
oravais	Oravais
orimattila	Orimattila
oripaa	Oripää
orivesi	Orivesi
osmonmaki	Osmonmäki
otaniemi	Otaniemi
oulainen	Oulainen
oulu	Oulu
oulunkyla	Oulunkylä
oulunsalo	Oulunsalo
oulunsuu	Oulunsuu
outokumpu	Outokumpu
paaskyvuori	Pääskyvuori
paattinen	Paattinen
padasjoki	Padasjoki
pahaniemi	Pahaniemi
paimio	Paimio
paivakumpu	Päiväkumpu
pajamaki	Pajamäki
pakila	Pakila
pakkala	Pakkala
palkane	Pälkäne
pallo	Pallo
paloheina	Paloheinä
paltamo	Paltamo
pansio	Pansio
pappila	Pappila
pargas	Pargas
parikkala	Parikkala
parkano	Parkano
parola	Parola
pasila	Pasila
pateniemi	Pateniemi
patola	Patola
pedersore	Pedersöre
pelkosenniemi	Pelkosenniemi
pello	Pello
peltola	Peltola
peltolammi	Peltolammi
perho	Perho
perna	Pernå
pernio	Perniö
pertteli	Pertteli
pertunmaa	Pertunmaa
petajavesi	Petäjävesi
petsamo	Petsamo
pieksamaki	Pieksämäki
pielavesi	Pielavesi
pihlajamaki	Pihlajamäki
pihlajaniemi	Pihlajaniemi
pihlajisto	Pihlajisto
pihtipudas	Pihtipudas
piikkio	Piikkiö
piippola	Piippola
pikku-huopalahti	Pikku-Huopalahti
pirkkala	Pirkkala
pispala	Pispala
pitajanmaen yritysalue	Pitäjänmäen yritysalue
pitajanmaki	Pitäjänmäki
pitkamaki	Pitkämäki
pohjois-haaga	Pohjois-Haaga
pohjois-hervanta	Pohjois-Hervanta
pohjois-kyttala	Pohjois-Kyttälä
pohjois-tapiola	Pohjois-Tapiola
pohjola	Pohjola
pohtola	Pohtola
pojo	Pojo
pokkinen	Pokkinen
polvijarvi	Polvijärvi
pomarkku	Pomarkku
pori	Pori
pornainen	Pornainen
port arthur	Port Arthur
porvoo	Porvoo
posio	Posio
poytya	Pöytyä
pudasjarvi	Pudasjärvi
puistola	Puistola
pukinmaki	Pukinmäki
pukkila	Pukkila
pulkkila	Pulkkila
punavuori	Punavuori
punkaharju	Punkaharju
punkalaidun	Punkalaidun
puolanka	Puolanka
puolivalinkangas	Puolivälinkangas
puotila	Puotila
puotinharju	Puotinharju
puumala	Puumala
pyhajarvi	Pyhäjärvi
pyhajoki	Pyhäjoki
pyhanta	Pyhäntä
pyharanta	Pyhäranta
pyhasalmi	Pyhäsalmi
pyhaselka	Pyhäselkä
pyhtaa	Pyhtää
pylkonmaki	Pylkönmäki
pyykosjarvi	Pyykösjärvi
pyynikinrinne	Pyynikinrinne
raahe	Raahe
raakkyla	Rääkkylä
rahola	Rahola
raisio	Raisio
rajakyla	Rajakylä
raksila	Raksila
rantamaki	Räntämäki
rantaperkio	Rantaperkiö
rantasalmi	Rantasalmi
rantsila	Rantsila
ranua	Ranua
raseborg	Raseborg
rastila	Rastila
ratina	Ratina
rauma	Rauma
raunistula	Raunistula
rautalampi	Rautalampi
rautavaara	Rautavaara
rautjarvi	Rautjärvi
reimarla	Reimarla
reisjarvi	Reisjärvi
rekola	Rekola
renko	Renko
replot	Replot
riihimaki	Riihimäki
ristiina	Ristiina
ristijarvi	Ristijärvi
ristimaki	Ristimäki
ristinarkku	Ristinarkku
ristinummi	Ristinummi
roihuvuori	Roihuvuori
rovaniemi	Rovaniemi
roykka	Röykkä
runosmaki	Runosmäki
ruoholahti	Ruoholahti
ruohonpaa	Ruohonpää
ruokolahti	Ruokolahti
ruotsinpyhtaa	Ruotsinpyhtää
ruotula	Ruotula
ruovesi	Ruovesi
ruskeasanta	Ruskeasanta
ruskeasuo	Ruskeasuo
rusko	Rusko
ruukki	Ruukki
rymattyla	Rymättylä
ryydynpohja	Ryydynpohja
saarenkyla	Saarenkylä
saarijarvi	Saarijärvi
sahalahti	Sahalahti
sakyla	Säkylä
salla	Salla
salo	Salo
sammatti	Sammatti
sammonlahti	Sammonlahti
samppalinna	Samppalinna
sandsund	Sandsund
santalahti	Santalahti
sarkisalo	Särkisalo
sastamala	Sastamala
saukkola	Saukkola
saunalahti	Saunalahti
sauvo	Sauvo
savitaipale	Savitaipale
savonlinna	Savonlinna
savonranta	Savonranta
savukoski	Savukoski
saynatsalo	Säynätsalo
seinajoki	Seinäjoki
sepankyla	Sepänkylä
sibbo	Sibbo
sievi	Sievi
siikainen	Siikainen
siikajoki	Siikajoki
siilinjarvi	Siilinjärvi
siltamaki	Siltamäki
simo	Simo
simonkyla	Simonkylä
simpele	Simpele
siuntio	Siuntio
skinnarila	Skinnarila
smedsby	Smedsby
sodankyla	Sodankylä
soini	Soini
somero	Somero
sonkajarvi	Sonkajärvi
sornainen	Sörnäinen
sotkamo	Sotkamo
soukka	Soukka
sulkava	Sulkava
sumiainen	Sumiainen
suodenniemi	Suodenniemi
suolahti	Suolahti
suomusjarvi	Suomusjärvi
suomussalmi	Suomussalmi
suonenjoki	Suonenjoki
suurmetsa	Suurmetsä
suutarila	Suutarila
sysma	Sysmä
taavetti	Taavetti
taipalsaari	Taipalsaari
taivalkoski	Taivalkoski
taivassalo	Taivassalo
taka-toolo	Taka-Töölö
takahuhti	Takahuhti
talinranta	Talinranta
talvikangas	Talvikangas
tammela	Tammela
tammela a	Tammela A
tammela b	Tammela B
tammerkoski	Tammerkoski
tammisalo	Tammisalo
tammisto	Tammisto
tampella	Tampella
tampere	Tampere
tapanila	Tapanila
tapaninkyla	Tapaninkylä
tapaninvainio	Tapaninvainio
tapiola	Tapiola
tapulikaupunki	Tapulikaupunki
tarvasjoki	Tarvasjoki
tasanne	Tasanne
taskila	Taskila
teeriniemi	Teeriniemi
terasrautela	Teräsrautela
tervakoski	Tervakoski
tervo	Tervo
tervola	Tervola
tesomajarvi	Tesomajärvi
teuva	Teuva
tikkurila	Tikkurila
tirila	Tirilä
tohloppi	Tohloppi
tohmajarvi	Tohmajärvi
toholampi	Toholampi
toijala	Toijala
toivakka	Toivakka
toppila	Toppila
tornio	Tornio
torpparinmaki	Torpparinmäki
toukola	Toukola
toysa	Töysä
tuira	Tuira
tulli	Tulli
tullisaari	Tullisaari
tuomarinkyla	Tuomarinkylä
turenki	Turenki
turku	Turku
turun satama	Turun satama
tuulos	Tuulos
tuupovaara	Tuupovaara
tuusniemi	Tuusniemi
tuusula	Tuusula
tykki	Tykki
tyrnava	Tyrnävä
uittamo	Uittamo
ullanlinna	Ullanlinna
ullava	Ullava
ulvila	Ulvila
urheilupuisto	Urheilupuisto
urjala	Urjala
utajarvi	Utajärvi
utsjoki	Utsjoki
uurainen	Uurainen
uus-lavola	Uus-Lavola
uusikaupunki	Uusikaupunki
uusikyla	Uusikylä
vaala	Vaala
vaara	Vaara
vaarala	Vaarala
vaasa	Vaasa
vahaheikkila	Vähäheikkilä
vahakyro	Vähäkyrö
vahto	Vahto
valivainio	Välivainio
valkeakoski	Valkeakoski
vallila	Vallila
vallinoja	Vallinoja
valtimo	Valtimo
vammala	Vammala
vampula	Vampula
vanha munkkiniemi	Vanha munkkiniemi
vanha ruskeasuo	Vanha Ruskeasuo
vanha-mankkaa	Vanha-Mankkaa
vanha-nuuksio-nupuri	Vanha-Nuuksio-Nupuri
vanhakartano	Vanhakartano
vanhatulli	Vanhatulli
vantaa	Vantaa
vantaanlaakso	Vantaanlaakso
vanttila	Vanttila
vapaala	Vapaala
varissuo	Varissuo
varisto	Varisto
varkaus	Varkaus
varpaisjarvi	Varpaisjärvi
vartioharju	Vartioharju
vartiokyla	Vartiokylä
vartiovuori	Vartiovuori
vartto	Värttö
vasaramaki	Vasaramäki
vastaboland	Väståboland
vastanfjard	Västanfjärd
vatti	Vätti
vattuniemi	Vattuniemi
vehmaa	Vehmaa
vehmainen	Vehmainen
vehmersalmi	Vehmersalmi
veikkari	Veikkari
veisu	Veisu
velkua	Velkua
verajamaki	Veräjämäki
veromies	Veromies
vesala	Vesala
vesanto	Vesanto
vesilahti	Vesilahti
veteli	Veteli
vi kaupunginosa	VI kaupunginosa
vierema	Vieremä
viertola	Viertola
vierumaki	Vierumäki
vihanti	Vihanti
viherlaakso	Viherlaakso
vihti	Vihti
vii kaupunginosa	VII kaupunginosa
viiala	Viiala
viikin tiedepuisto	Viikin Tiedepuisto
viikinranta	Viikinranta
viikki	Viikki
viinikka	Viinikka
viitasaari	Viitasaari
viljakkala	Viljakkala
villila	Villilä
vilppula	Vilppula
vimpeli	Vimpeli
vinkkila	Vinkkilä
virojoki	Virojoki
virolahti	Virolahti
virrat	Virrat
virtasalmi	Virtasalmi
voisalmi	Voisalmi
vora	Vörå
vuokatti	Vuokatti
vuolijoki	Vuolijoki
vuores	Vuores
vuosaari	Vuosaari
westend	Westend
yla-malmi	Ylä-Malmi
yla-pispala	Ylä-Pispala
ylamaa	Ylämaa
ylane	Yläne
ylasto	Ylästö
yli-ii	Yli-Ii
yli-maaria	Yli-maaria
yliharma	Ylihärmä
ylikiiminki	Ylikiiminki
yliskyla	Yliskylä
ylitornio	Ylitornio
ylivieska	Ylivieska
ylojarvi	Ylöjärvi
ypaja	Ypäjä
ytteresse	Ytteresse
