abu az zuhur	Abū az̧ Z̧uhūr
al ‘annazah	Al ‘Annāzah
al ‘arimah	Al ‘Arīmah
al ‘asharah	Al ‘Ashārah
al-tabqa	Al-Tabqa
al-yarmuk	al-Yarmūk
albu kamal	Ālbū Kamāl
aleppo	Aleppo
an nabk	An Nabk
an nashabiyah	An Nashābīyah
an nasirah	An Nāşirah
ar raqqah	Ar Raqqah
ar rastan	Ar Rastan
ar rawdah	Ar Rawḑah
ar ra‘i	Ar Rā‘ī
ar riqama	Ar Riqāmā
ar ruhaybah	Ar Ruḩaybah
ariha	Arīḩā
armanaz	Armanāz
arwad	Arwād
as sabkhah	As Sabkhah
as sab‘ biyar	As Sab‘ Biyār
as safirah	As Safīrah
as safsafah	Aş Şafşāfah
as salamiyah	As Salamīyah
as sanamayn	Aş Şanamayn
as sawda	As Sawdā
as sisniyah	As Sīsnīyah
as si‘in	As Si‘in
as sukhnah	As Sukhnah
as suqaylibiyah	As Suqaylibīyah
as surah as saghirah	Aş Şūrah aş Şaghīrah
as susah	As Sūsah
as-suwayda	As-Suwayda
ash shaddadah	Ash Shaddādah
ash shajarah	Ash Shajarah
ash shaykh badr	Ash Shaykh Badr
at tall	At Tall
at tamani‘ah	At Tamāni‘ah
at tawahin	Aţ Ţawāḩīn
at tibni	At Tibnī
ayn halaqim	Ayn Halaqim
ayyubiyah	Ayyūbīyah
az zabadani	Az Zabadānī
az zarbah	Az Zarbah
az ziyarah	Az Ziyārah
babila	Babīlā
banan	Banān
baniyas	Bāniyās
barri ash sharqi	Barrī ash Sharqī
basir	Başīr
batabo	Batabo
bayt yashut	Bayt Yāshūţ
bdama	Bdāmā
binnish	Binnish
bi’r al hulw al wardiyah	Bi’r al Ḩulw al Wardīyah
brummanat al mashayikh	Brummānat al Mashāyikh
bulbul	Bulbul
buq‘ata	Buq‘ātā
burj islam	Burj Islām
busra ash sham	Buşrá ash Shām
damascus	Damascus
darat ‘izzah	Dārat ‘Izzah
darayya	Dārayyā
darkush	Darkūsh
dar‘a	Dar‘ā
dayr al ‘asafir	Dayr al ‘Aşāfīr
dayr hafir	Dayr Ḩāfir
dayr makir	Dayr Mākir
dayr ‘atiyah	Dayr ‘Aţīyah
da‘il	Dā‘il
deir ez-zor	Deir ez-Zor
dhiban	Dhībān
dhibbin	Dhībbīn
duma	Dūmā
duwayr raslan	Duwayr Raslān
ghabaghib	Ghabāghib
ghasam	Ghaşam
hadidah	Ḩadīdah
hajin	Hajīn
halfaya	Ḩalfāyā
hamah	Ḩamāh
hammam wasil	Ḩammām Wāşil
harasta	Ḩarastā
harbinafsah	Ḩarbinafsah
harf al musaytirah	Ḩarf al Musaytirah
harim	Ḩārim
harran al ‘awamid	Ḩarrān al ‘Awāmīd
himmin	Ḩimmīn
hish	Ḩīsh
hisya’	Ḩisyā’
homs	Homs
huraytan	Ḩuraytān
idlib	Idlib
ihsim	Iḩsim
inkhil	Inkhil
izra‘	Izra‘
i‘zaz	I‘zāz
jaba	Jabā
jablah	Jablah
jarabulus	Jarābulus
jaramana	Jaramānā
jasim	Jāsim
jawbat burghal	Jawbat Burghāl
jayrud	Jayrūd
jindayris	Jindayris
jinniyah	Jinnīyah
jisr ash shughur	Jisr ash Shughūr
jubb al jarrah	Jubb al Jarrāḩ
jubb ramlah	Jubb Ramlah
junaynat raslan	Junaynat Raslān
kabbasin	Kabbasin
kaff al-jaa	Kaff al-Jaa
kafr batna	Kafr Baţnā
kafr buhum	Kafr Buhum
kafr laha	Kafr Lāhā
kafr musa al-hmidiya	Kafr Mūsá Al-Hmidiya
kafr nasij	Kafr Nāsij
kafr saghir	Kafr Şaghīr
kafr shams	Kafr Shams
kafr takharim	Kafr Takhārīm
kafr zayta	Kafr Zaytā
kafranbel	Kafranbel
kanakir	Kanākir
kassab	Kassab
khan arnabah	Khān Arnabah
khan shaykhun	Khān Shaykhūn
khanasir	Khanāşir
khirbat al ma‘azzah	Khirbat al Ma‘azzah
khirbat ghazalah	Khirbat Ghazālah
khirbat tin nur	Khirbat Tīn Nūr
khusham	Khushām
kinnsibba	Kinnsibbā
kurnaz	Kurnāz
kuwayris sharqi	Kuwayris Sharqī
latakia	Latakia
lislamin	Lislāmīn
madaya	Maḑāyā
maharda	Maharda
mahin	Mahīn
majdal shams	Majdal Shams
malah	Malaḩ
manbij	Manbij
mari‘	Māri‘
markadah	Markadah
mashta al hulw	Mashtá al Ḩulw
maskanah	Maskanah
masyaf	Maşyāf
mas‘adah	Mas‘adah
mazra‘at bayt jinn	Mazra‘at Bayt Jinn
ma‘arrat an nu‘man	Ma‘arrat an Nu‘mān
ma‘arratmisrin	Ma‘arratmişrīn
ma‘dan	Ma‘dān
ma‘lula	Ma‘lūlā
mismiyah	Mismīyah
muh hasan	Mūḩ Ḩasan
muhambal	Muḩambal
mukharram al fawqani	Mukharram al Fawqānī
murak	Mūrak
nahiyat as sab‘ biyar	Nāḩiyat as Sab‘ Biyār
nawa	Nawá
nubl	Nubl
qabbasin	Qabbāsīn
qadsayya	Qadsayyā
qal‘at al madiq	Qal‘at al Maḑīq
qanawat	Qanawāt
qarah	Qārah
qastal ma‘af	Qasţal Ma‘āf
qatana	Qaţanā
qentere	Qenterê
qurqina	Qūrqīnā
rabi‘ah	Rabī‘ah
raju	Rājū
rankus	Rankūs
rasm al harmal	Rasm al Ḩarmal
ra’s al khashufah	Ra’s al Khashūfah
ra’s al ‘ayn	Ra’s al ‘Ayn
sabbah	Sabbah
sabburah	Şabbūrah
sadad	Şadad
safita	Şāfītā
sahnaya	Şaḩnāyā
salakhid	Şalākhid
salkhad	Şalkhad
salqin	Salqīn
samad	Şamād
saraqib	Saraqib
sarmin	Sarmīn
saydnaya	Şaydnāyā
sa‘sa‘	Sa‘sa‘
shahba	Shahbā
shaqqa	Shaqqā
sharan	Sharān
shathah	Shaţḩah
shaykh al hadid	Shaykh al Ḩadīd
shaykh miskin	Shaykh Miskīn
shin	Shīn
shuyukh tahtani	Shuyūkh Taḩtānī
sinjar	Sinjār
sirghaya	Sirghāyā
sirrin ash shamaliyah	Şirrīn ash Shamālīyah
slinfah	Şlinfah
subaykhan	Subaykhān
suluk	Sulūk
suran	Şūrān
tadif	Tādif
tadmur	Tadmur
tafas	Ţafas
taftanaz	Taftanāz
talin	Tālīn
tall abyad	Tall Abyaḑ
tall ad daman	Tall aḑ Ḑamān
tall hamis	Tall Ḩamīs
tall rif‘at	Tall Rif‘at
tall salhab	Tall Salḩab
tall tamr	Tall Tamr
tallbisah	Tallbīsah
talldaww	Talldaww
tallkalakh	Tallkalakh
tartus	Ţarţūs
tasil	Tasīl
tayyibat al imam	Ţayyibat al Imām
tremseh	Tremseh
wadi al ‘uyun	Wādī al ‘Uyūn
yabrud	Yabrūd
zakiyah	Zākīyah
‘afrin	‘Afrīn
‘amuda	‘Āmūdā
‘ariqah	‘Arīqah
‘arishah	‘Arīshah
‘assal al ward	‘Assāl al Ward
‘awaj	‘Awaj
‘ayn al bayda	‘Ayn al Bayḑā
‘ayn al fijah	‘Ayn al Fījah
‘ayn al ‘arab	‘Ayn al ‘Arab
‘ayn an nasr	‘Ayn an Nasr
‘ayn ash sharqiyah	‘Ayn ash Sharqīyah
‘ayn at tinah	‘Ayn at Tīnah
‘ayn shiqaq	‘Ayn Shiqāq
‘ayn ‘isa	‘Ayn ‘Īsá
‘irbin	‘Irbīn
‘uqayribat	‘Uqayribāt
