aabenraa	Aabenraa
ry	Ry
ryomgard	Ryomgård
ryslinge	Ryslinge
sabro	Sabro
saeby	Sæby
sakskobing	Sakskøbing
seden	Seden
silkeborg	Silkeborg
sindal	Sindal
skaelskor	Skælskør
skaerbaek	Skaerbaek
skaevinge	Skævinge
skagen	Skagen
skals	Skals
skanderborg	Skanderborg
skibby	Skibby
skive	Skive
skjern	Skjern
skodsborg	Skodsborg
skorping	Skørping
skovby	Skovby
slagelse	Slagelse
slangerup	Slangerup
smorumnedre	Smørumnedre
snejbjerg	Snejbjerg
snoghoj	Snoghøj
soften	Søften
solbjerg	Solbjerg
sollested	Søllested
solrod	Solrød
solrod strand	Solrød Strand
sonder bjert	Sønder Bjert
sonderborg	Sønderborg
sonderso	Søndersø
soro	Sorø
sovang	Søvang
spentrup	Spentrup
starup	Starup
stavnsholt	Stavnsholt
stavtrup	Stavtrup
stege	Stege
stenlille	Stenlille
stenlose	Stenløse
stensved	Stensved
stige	Stige
stilling	Stilling
stoholm	Stoholm
store heddinge	Store Heddinge
store merlose	Store Merløse
storvorde	Storvorde
stovring	Støvring
strandby	Strandby
strib	Strib
stroby egede	Strøby Egede
struer	Struer
stubbekobing	Stubbekøbing
sulsted	Sulsted
sundby	Sundby
sunds	Sunds
svaneke	Svaneke
svebolle	Svebølle
svejbaek	Svejbæk
svendborg	Svendborg
svenstrup	Svenstrup
svinninge	Svinninge
svogerslev	Svogerslev
taastrup	Taastrup
tarm	Tarm
tarnby	Tårnby
tars	Tårs
taulov	Taulov
them	Them
thisted	Thisted
thorso	Thorsø
thuro by	Thurø By
thyboron	Thyborøn
tilst	Tilst
tinglev	Tinglev
tistrup	Tistrup
tisvilde	Tisvilde
tjaereborg	Tjæreborg
toftlund	Toftlund
tollose	Tølløse
tommerup	Tommerup
tommerup stationsby	Tommerup Stationsby
tonder	Tønder
torring	Tørring
tranbjerg	Tranbjerg
tranebjerg	Tranebjerg
tranekaer	Tranekær
trige	Trige
troense	Troense
trorod	Trørød
tune	Tune
tylstrup	Tylstrup
uldum	Uldum
ulfborg	Ulfborg
ullerslev	Ullerslev
ulstrup	Ulstrup
undlose	Undløse
vadum	Vadum
vaeggerlose	Væggerløse
vaerlose	Værløse
valby	Valby
vallensbaek	Vallensbæk
vamdrup	Vamdrup
vanlose	Vanløse
varde	Varde
vejen	Vejen
vejle	Vejle
vekso	Veksø
vemb	Vemb
vestbjerg	Vestbjerg
vester hassing	Vester Hassing
vester-skerninge	Vester-Skerninge
viborg	Viborg
viby	Viby
videbaek	Videbæk
vigerslev	Vigerslev
vildbjerg	Vildbjerg
vindeby	Vindeby
vinderup	Vinderup
vindinge	Vindinge
vipperod	Vipperød
virklund	Virklund
vissenbjerg	Vissenbjerg
vodskov	Vodskov
vojens	Vojens
vorbasse	Vorbasse
vordingborg	Vordingborg
vra	Vrå
