abay	Abay
mayqayyng	Mayqayyng
merke	Merke
miyaly	Miyaly
moyynkum	Moyynkum
moyynty	Moyynty
munayshy	Munayshy
mynaral	Mynaral
myrzakent	Myrzakent
narynkol	Narynkol
novaya bukhtarma	Novaya Bukhtarma
novaya shul’ba	Novaya Shūl’ba
novodolinskiy	Novodolinskiy
novoishimskiy	Novoishimskiy
novoishimskoye	Novoishimskoye
novokazalinsk	Novokazalinsk
nura	Nura
obaghan	Obaghan
ognyovka	Ognyovka
oktyabr’skoye	Oktyabr’skoye
oral	Oral
osakarovka	Osakarovka
otegen batyra	Otegen Batyra
oytal	Oytal
oyyl	Oyyl
ozernyy	Ozernyy
pavlodar	Pavlodar
peremetnoe	Peremetnoe
pervomayka	Pervomayka
pervorossiyskoye	Pervorossiyskoye
petropavl	Petropavl
presnovka	Presnovka
prigorodnoye	Prigorodnoye
priozersk	Priozersk
qabilanbek	Qabilanbek
qamysty	Qamysty
qarabalyq	Qarabalyq
qaramengdi	Qaramengdi
qarazhal	Qarazhal
qarqaraly	Qarqaraly
qarsaqbay	Qarsaqbay
qashar	Qashar
qasym qaysenov	Qasym Qaysenov
qobda	Qobda
qogham	Qogham
qorghalzhyn	Qorghalzhyn
qulsary	Qulsary
qusmuryn	Qusmuryn
ridder	Ridder
rudnyy	Rudnyy
saksaul’skiy	Saksaul’skiy
samarskoye	Samarskoye
saran	Saran
sarqant	Sarqant
saryaghash	Saryaghash
sarykamys	Sarykamys
sarykemer	Sarykemer
sarykol	Saryköl
saryozek	Saryozek
saryshaghan	Saryshaghan
sastobe	Sastobe
satpayev	Satpayev
saumalkol’	Saumalkol’
say-otes	Say-Otes
sayaq	Sayaq
saykhin	Saykhin
sayram	Sayram
selo temirbeka zhurgenova	Selo Temirbeka Zhurgenova
semey	Semey
serebryansk	Serebryansk
sergeyevka	Sergeyevka
shakhan	Shakhan
shakhtinsk	Shakhtinsk
shalkar	Shalkar
shalqar	Shalqar
shalqiya	Shalqīya
shantobe	Shantobe
shar	Shar
sharbaqty	Sharbaqty
shardara	Shardara
shaul’der	Shaul’der
shayan	Shayan
shchuchinsk	Shchuchinsk
shelek	Shelek
shemonaikha	Shemonaikha
shetpe	Shetpe
shiyeli	Shiyeli
sholakkorgan	Sholakkorgan
shortandy	Shortandy
shu	Shu
shubarkol	Shubarköl
shubarkuduk	Shubarkuduk
shubarshi	Shubarshi
shymkent	Shymkent
shyngyrlau	Shyngyrlau
smirnovo	Smirnovo
stepnogorsk	Stepnogorsk
stepnyak	Stepnyak
suykbulak	Suykbulak
taiynsha	Taiynsha
taldykorgan	Taldykorgan
talghar	Talghar
talshik	Talshik
taraz	Taraz
tasbuget	Tasbuget
tasqala	Tasqala
tasty	Tasty
tasty-taldy	Tasty-Taldy
taushyq	Taūshyq
tayynsha	Tayynsha
tekeli	Tekeli
temir	Temir
temirlanovka	Temirlanovka
temirtau	Temirtau
terekti	Terekti
terengkol	Terengköl
terenozek	Terenozek
timiryazevo	Timiryazevo
tobol	Tobol
tobyl	Tobyl
tokarevka	Tokarevka
torghay	Torghay
troyebratskiy	Troyebratskiy
tughyl	Tughyl
turar ryskulov	Turar Ryskulov
turgen	Turgen
turkistan	Turkistan
tyul’kubas	Tyul’kubas
tyuratam	Tyuratam
ulken	Ülken
ulken naryn	Ulken Naryn
ulytau	Ulytau
ul’ba	Ul’ba
umirzak	Umirzak
urzhar	Urzhar
usharal	Usharal
ushtobe	Ushtobe
uspenka	Uspenka
ust-kamenogorsk	Ust-Kamenogorsk
ust’-talovka	Ūst’-Talovka
uzunagach	Uzunagach
uzynkol	Uzynköl
verkhniye kayrakty	Verkhniye Kayrakty
vozvyshenka	Vozvyshenka
yavlenka	Yavlenka
yereymentau	Yereymentau
yrghyz	Yrghyz
yul’yevka	Yul’yevka
zaporozhye	Zaporozhye
zavodskoy	Zavodskoy
zaysan	Zaysan
zerenda	Zerenda
zhabagly	Zhabagly
zhaksy	Zhaksy
zhalagash	Zhalagash
zhalghyztobe	Zhalghyztobe
zhana kiima	Zhana Kiima
zhana-omir	Zhana-Omir
zhanaozen	Zhanaozen
zhangaarqa	Zhangaarqa
zhangaqala	Zhangaqala
zhangaqorghan	Zhangaqorghan
zhangatas	Zhangatas
zhanibek	Zhanibek
zhansugurov	Zhansugurov
zharkent	Zharkent
zharyk	Zharyk
zhelezinka	Zhelezinka
zhetybay	Zhetybay
zhetysay	Zhetysay
zhezkent	Zhezkent
zhezqazghan	Zhezqazghan
zhibek zholy	Zhibek Zholy
zhitikara	Zhitikara
zholymbet	Zholymbet
zhosaly	Zhosaly
zhumysker	Zhumysker
zhympity	Zhympity
