amir timur	Amir Timur
shohimardon	Shohimardon
shovot	Shovot
sho‘rchi	Sho‘rchi
sho‘rsuv	Sho‘rsuv
shumanay	Shumanay
shumanay shahri	Shumanay Shahri
sirdaryo	Sirdaryo
sultonobod	Sultonobod
tashkent	Tashkent
taxtako‘pir	Taxtako‘pir
tinchlik	Tinchlik
tirmiz	Tirmiz
tomdibuloq	Tomdibuloq
toshbuloq	Toshbuloq
toshloq	Toshloq
toyloq qishlog’i	Toyloq Qishlog’i
to‘rqao‘rg‘on	To‘rqao‘rg‘on
to‘rtko‘l shahri	To‘rtko‘l Shahri
turagurghon shahri	Tŭragŭrghon Shahri
tuytepa	Tŭytepa
uchko‘prik	Uchko‘prik
uchkuduk	Uchkuduk
uchquduq shahri	Uchquduq Shahri
uchqurghon shahri	Uchqŭrghon Shahri
uchtepa qishlog’i	Uchtepa Qishlog’i
urganch	Urganch
urgut shahri	Urgut Shahri
urtaowul	Ŭrtaowul
usmat shaharchasi	Usmat Shaharchasi
uychi	Uychi
vobkent shahri	Vobkent Shahri
vodil	Vodil
xiva	Xiva
xonobod	Xonobod
xonqa	Xonqa
xo‘jaobod	Xo‘jaobod
xo‘jayli shahri	Xo‘jayli Shahri
yakkabog‘ shahri	Yakkabog‘ Shahri
yangi marg‘ilon	Yangi Marg‘ilon
yangi mirishkor	Yangi Mirishkor
yangi-nishon shahri	Yangi-Nishon Shahri
yangiariq	Yangiariq
yangibozor	Yangibozor
yangibozor qishlog’i	Yangibozor Qishlog’i
yangiobod	Yangiobod
yangiqo‘rg‘on	Yangiqo‘rg‘on
yangirabot	Yangirabot
yangiyer	Yangiyer
yangiyul	Yangiyŭl
yaypan	Yaypan
yozyovon	Yozyovon
yunusobod	Yunusobod
zafar	Zafar
zafarobod shaharchasi	Zafarobod Shaharchasi
zarbdor shaharchasi	Zarbdor Shaharchasi
ziyodin shaharchasi	Ziyodin Shaharchasi
zomin shaharchasi	Zomin Shaharchasi
