abramow	Abramów
godzianow	Godzianów
godziszka	Godziszka
godziszow	Godziszów
godziszow pierwszy	Godziszów Pierwszy
gogolin	Gogolin
golancz	Gołańcz
golcowa	Golcowa
golczewo	Golczewo
goldap	Gołdap
goleniow	Goleniów
goleszow	Goleszów
golina	Golina
golkowice	Gołkowice
golub-dobrzyn	Golub-Dobrzyń
goluchow	Gołuchów
golymin-osrodek	Gołymin-Ośrodek
gomunice	Gomunice
goniadz	Goniądz
gora	Góra
gora kalwaria	Góra Kalwaria
gora swietej malgorzaty	Góra Świętej Małgorzaty
goraj	Goraj
gorazdze	Górażdże
gorenice	Gorenice
gorki	Górki
gorki wielkie	Górki Wielkie
gorlice	Gorlice
gorliczyna	Gorliczyna
gorne przedmiescie	Górne Przedmieście
gorno	Górno
gorowo ilaweckie	Górowo Iławeckie
gorzkow	Gorzków
gorzkowice	Gorzkowice
gorzno	Górzno
gorzow slaski	Gorzów Śląski
gorzow wielkopolski	Gorzów Wielkopolski
gorzyca	Górzyca
gorzyce	Gorzyce
gorzyce wielkie	Gorzyce Wielkie
gorzyczki	Gorzyczki
goscicino	Gościcino
goscieradow	Gościeradów
goscino	Gościno
gostycyn	Gostycyn
gostyn	Gostyń
gostynin	Gostynin
goszczanow	Goszczanów
goszczyn	Goszczyn
gowarczow	Gowarczów
goworowo	Goworowo
gozd	Gózd
gozdnica	Gozdnica
gozdowo	Gozdowo
grabica	Grabica
grabiszyn	Grabiszyn
grabiszyn-grabiszynek	Grabiszyn-Grabiszynek
grabiszynek	Grabiszynek
grabow	Grabów
grabow nad prosna	Grabów nad Prosną
grabowiec	Grabowiec
grabownica starzenska	Grabownica Starzeńska
grabowo koscierskie	Grabowo Kościerskie
grajewo	Grajewo
granica	Granica
granowo	Granowo
grebkow	Grębków
grebocice	Grębocice
greboszow	Gręboszów
grebow	Grębów
grodek	Gródek
grodkow	Grodków
grodziec	Grodziec
grodzisk mazowiecki	Grodzisk Mazowiecki
grodzisk wielkopolski	Grodzisk Wielkopolski
grodzisko dolne	Grodzisko Dolne
grodzisko gorne	Grodzisko Górne
grojec	Grójec
grojec	Grojec
gromadka	Gromadka
gromnik	Gromnik
gronowo elblaskie	Gronowo Elbląskie
gronowo gorne	Gronowo Górne
grudki	Grudki
grudusk	Grudusk
grudziadz	Grudziądz
grunwaldzkie	Grunwaldzkie
gruszow wielki	Gruszów Wielki
gruta	Gruta
grybow	Grybów
gryfice	Gryfice
gryfino	Gryfino
gryfow slaski	Gryfów Śląski
grzechynia	Grzechynia
grzegorzew	Grzegorzew
grzegorzki	Grzegórzki
grzeska	Grzęska
grzmiaca	Grzmiąca
grzybowa gora	Grzybowa Góra
grzybowo	Grzybowo
gubin	Gubin
guzow	Guzów
gwoznica gorna	Gwoźnica Górna
gzy	Gzy
haczow	Haczów
hajnowka	Hajnówka
halcnow	Hałcnów
halinow	Halinów
handzlowka	Handzlówka
hansk	Hańsk
harasiuki	Harasiuki
harbutowice	Harbutowice
hazlach	Hażlach
hel	Hel
henrykow	Henryków
herby	Herby
hornowek	Hornówek
horodlo	Horodło
horyniec-zdroj	Horyniec-Zdrój
hrubieszow	Hrubieszów
huby	Huby
humniska	Humniska
husow	Husów
huta stara b	Huta Stara B
hyzne	Hyżne
ilawa	Iława
ilow	Iłów
ilowa	Iłowa
ilowo -osada	Iłowo -Osada
ilza	Iłża
imielin	Imielin
imielno	Imielno
inowlodz	Inowłódz
inowroclaw	Inowrocław
insko	Ińsko
inwald	Inwałd
istebna	Istebna
iwaniska	Iwaniska
iwierzyce	Iwierzyce
iwkowa	Iwkowa
iwonicz-zdroj	Iwonicz-Zdrój
izabelin	Izabelin
izabelin c	Izabelin C
izbica	Izbica
izbica kujawska	Izbica Kujawska
izbicko	Izbicko
izdebnik	Izdebnik
jablon	Jabłoń
jablon dabrowa	Jabłoń Dąbrowa
jablonica polska	Jabłonica Polska
jablonka	Jabłonka
jablonna	Jabłonna
jablonna lacka	Jabłonna Lacka
jablonowo pomorskie	Jabłonowo Pomorskie
jadow	Jadów
jadowniki	Jadowniki
jadowniki mokre	Jadowniki Mokre
jagiella	Jagiełła
jagodno	Jagodno
jakubow	Jakubów
jakubowice murowane	Jakubowice Murowane
janikowo	Janikowo
jankow przygodzki	Janków Przygodzki
jankowice	Jankowice
jankowice rybnickie	Jankowice Rybnickie
janow	Janów
janow lubelski	Janów Lubelski
janow podlaski	Janów Podlaski
janowice	Janowice
janowice wielkie	Janowice Wielkie
janowiec	Janowiec
janowiec wielkopolski	Janowiec Wielkopolski
januszkowice	Januszkowice
jaraczewo	Jaraczewo
jarczow	Jarczów
jarnoltow-jerzmanowo	Jarnołtów-Jerzmanowo
jarocin	Jarocin
jaroslaw	Jarosław
jaroszowice	Jaroszowice
jaroszowiec	Jaroszowiec
jasien	Jasień
jasienica	Jasienica
jasienica rosielna	Jasienica Rosielna
jasieniec	Jasieniec
jasionow	Jasionów
jasliska	Jaśliska
jaslo	Jasło
jastarnia	Jastarnia
jastkow	Jastków
jastrowie	Jastrowie
jastrzab	Jastrząb
jastrzebia	Jastrzębia
jastrzebia gora	Jastrzębia Góra
jastrzebie zdroj	Jastrzębie Zdrój
jawor	Jawor
jawornik	Jawornik
jawornik polski	Jawornik Polski
jaworze	Jaworze
jaworzno	Jaworzno
jaworzyna slaska	Jaworzyna Śląska
jaworzynka	Jaworzynka
jedlicze	Jedlicze
jedlina-zdroj	Jedlina-Zdrój
jedlinsk	Jedlińsk
jedlnia-letnisko	Jedlnia-Letnisko
jednorozec	Jednorożec
jedrzejow	Jędrzejów
jedwabne	Jedwabne
jedwabno	Jedwabno
jejkowice	Jejkowice
jelcz	Jelcz
jelcz laskowice	Jelcz Laskowice
jelenia gora	Jelenia Góra
jelesnia	Jeleśnia
jemielnica	Jemielnica
jemielno	Jemielno
jenin	Jenin
jerzmanowice	Jerzmanowice
jerzmanowo-jarnoltow-strachowice-osiniec	Jerzmanowo-Jarnołtów-Strachowice-Osiniec
jezewo	Jeżewo
jeziora wielkie	Jeziora Wielkie
jeziorany	Jeziorany
jeziorzany	Jeziorzany
jezow	Jeżów
jezow sudecki	Jeżów Sudecki
jezowe	Jeżowe
jodlowa	Jodłowa
jodlowka	Jodłówka
jodlowka-walki	Jodłówka-Wałki
joniec	Joniec
jonkowo	Jonkowo
jordanow	Jordanów
jordanow slaski	Jordanów Śląski
jozefoslaw	Józefosław
jozefow	Józefów
jozefow nad wisla	Józefów nad Wisłą
jugow	Jugów
juszczyn	Juszczyn
juszczyna	Juszczyna
jutrosin	Jutrosin
kabaty	Kabaty
kaczory	Kaczory
kaczyce	Kaczyce
kadzidlo	Kadzidło
kalej	Kalej
kalety	Kalety
kaliska	Kaliska
kalisz	Kalisz
kalisz pomorski	Kalisz Pomorski
kaluszyn	Kałuszyn
kalwaria zebrzydowska	Kalwaria Zebrzydowska
kamesznica	Kamesznica
kamien	Kamień
kamien krajenski	Kamień Krajeński
kamien pomorski	Kamień Pomorski
kamienica	Kamienica
kamienica polska	Kamienica Polska
kamieniec	Kamieniec
kamieniec wroclawski	Kamieniec Wrocławski
kamieniec zabkowicki	Kamieniec Ząbkowicki
kamienna gora	Kamienna Góra
kamiennik	Kamiennik
kamiensk	Kamieńsk
kamionka	Kamionka
kamionka wielka	Kamionka Wielka
kampinos	Kampinos
kamyk	Kamyk
kanczuga	Kańczuga
kaniow	Kaniów
karczew	Karczew
karczmiska	Karczmiska
kargowa	Kargowa
karlino	Karlino
karlowice	Karłowice
karlowice-rozanka	Karłowice-Różanka
karnice	Karnice
karniewo	Karniewo
karpackie	Karpackie
karpacz	Karpacz
karsin	Karsin
kartuzy	Kartuzy
kasina wielka	Kasina Wielka
kaszow	Kaszów
katowice	Katowice
katy wroclawskie	Kąty Wrocławskie
kaweczyn	Kawęczyn
kaweczyn nowy	Kawęczyn Nowy
kazanow	Kazanów
kazimierz biskupi	Kazimierz Biskupi
kazimierz dolny	Kazimierz Dolny
kazimierza wielka	Kazimierza Wielka
kazmierz	Kaźmierz
kcynia	Kcynia
kedzierzyn-kozle	Kędzierzyn-Koźle
kepice	Kępice
kepie zaleszanskie	Kępie Żaleszańskie
kepno	Kępno
kesowo	Kęsowo
ketrzyn	Kętrzyn
kety	Kęty
kielanowka	Kielanówka
kielce	Kielce
kielczow	Kiełczów
kielpin	Kiełpin
kiernozia	Kiernozia
kietrz	Kietrz
kije	Kije
kikol	Kikół
kisielice	Kisielice
kiszkowo	Kiszkowo
klaj	Kłaj
klecko	Kłecko
klecza dolna	Klecza Dolna
kleczew	Kleczew
kleczkow	Kleczków
klembow	Klembów
klenica	Klenica
kleszczele	Kleszczele
kleszczewo	Kleszczewo
kleszczow	Kleszczów
klikuszowa	Klikuszowa
klimontow	Klimontów
klobuck	Kłobuck
kloczew	Kłoczew
klodawa	Kłodawa
klodzko	Kłodzko
klomnice	Kłomnice
klonowa	Klonowa
kluczbork	Kluczbork
klucze	Klucze
kluki	Kluki
kluszkowce	Kluszkowce
klwow	Klwów
knurow	Knurów
knyszyn	Knyszyn
kobiernice	Kobiernice
kobierzyce	Kobierzyce
kobior	Kobiór
kobyla gora	Kobyla Góra
kobylanka	Kobylanka
kobylin	Kobylin
kobylka	Kobyłka
kobylnica	Kobylnica
kochanowice	Kochanowice
kocierzew poludniowy	Kocierzew Południowy
kock	Kock
koczala	Koczała
koden	Kodeń
kokoszki	Kokoszki
kokotow	Kokotów
kolaczkowo	Kołaczkowo
kolaczyce	Kołaczyce
kolbaskowo	Kołbaskowo
kolbiel	Kołbiel
kolbudy	Kolbudy
kolbuszowa	Kolbuszowa
kolczyglowy	Kołczygłowy
koleczkowo	Koleczkowo
kolno	Kolno
kolo	Koło
kolobrzeg	Kołobrzeg
kolonia opacz	Kolonia Opacz
kolonowskie	Kolonowskie
kolsko	Kolsko
koluszki	Koluszki
komancza	Komańcza
komarow-osada	Komarów-Osada
komarowka podlaska	Komarówka Podlaska
komorniki	Komorniki
komorow	Komorów
komorowice krakowskie	Komorowice Krakowskie
komorowice slaskie	Komorowice Śląskie
komprachcice	Komprachcice
konary	Konary
konczyce	Kończyce
konczyce male	Kończyce Małe
konczyce wielkie	Kończyce Wielkie
koniakow	Koniaków
koniecpol	Koniecpol
konieczkowa	Konieczkowa
konin	Konin
konopiska	Konopiska
konotop	Konotop
konskie	Końskie
konskowola	Końskowola
konstancin-jeziorna	Konstancin-Jeziorna
konstantynow	Konstantynów
konstantynow lodzki	Konstantynów Łódzki
kopernika	Kopernika
koprzywnica	Koprzywnica
korbielow	Korbielów
korczew	Korczew
korczyna	Korczyna
korfantow	Korfantów
kornik	Kórnik
kornowac	Kornowac
koronowo	Koronowo
korsze	Korsze
kortowo	Kortowo
korytnica	Korytnica
korzenna	Korzenna
kosakowo	Kosakowo
koscian	Kościan
koscielec	Kościelec
koscielisko	Kościelisko
koscierzyna	Kościerzyna
kosina	Kosina
kosow lacki	Kosów Lacki
kostomloty drugie	Kostomłoty Drugie
kostomloty pierwsze	Kostomłoty Pierwsze
kostrzyn	Kostrzyn
kostrzyn nad odra	Kostrzyn nad Odrą
koszalin	Koszalin
koszarawa	Koszarawa
koszecin	Koszęcin
koszyce	Koszyce
koszyce wielkie	Koszyce Wielkie
kotla	Kotla
kotlin	Kotlin
kotun	Kotuń
kowal	Kowal
kowala	Kowala
kowale	Kowale
kowale oleckie	Kowale Oleckie
kowale-popiele	Kowale-Popiele
kowalewo pomorskie	Kowalewo Pomorskie
kowary	Kowary
kowiesy	Kowiesy
kozanow	Kozanów
kozieglowy	Koziegłowy
kozielice	Kozielice
kozienice	Kozienice
kozle	Koźle
kozlow	Kozłów
kozlowo	Kozłowo
kozmin wielkopolski	Koźmin Wielkopolski
kozminek	Koźminek
kozubszczyzna	Kozubszczyzna
kozuchow	Kożuchów
kozy	Kozy
kraczkowa	Kraczkowa
krajenka	Krajenka
krakow	Kraków
krakowiec-gorki zachodnie	Krakowiec-Górki Zachodnie
kramarzowka	Kramarzówka
kramsk	Kramsk
krapkowice	Krapkowice
krasiczyn	Krasiczyn
krasne	Krasne
krasniczyn	Kraśniczyn
krasnik	Kraśnik
krasnobrod	Krasnobród
krasnopol	Krasnopol
krasnosielc	Krasnosielc
krasnystaw	Krasnystaw
krasocin	Krasocin
kraszewice	Kraszewice
krempna	Krempna
krobia	Krobia
kroczyce	Kroczyce
krokowa	Krokowa
kroscienko nad dunajcem	Krościenko nad Dunajcem
kroscienko wyzne	Krościenko Wyżne
krosnica	Krośnica
krosnice	Krośnice
krosniewice	Krośniewice
krosno	Krosno
krosno odrzanskie	Krosno Odrzańskie
krotoszyn	Krotoszyn
kruklanki	Kruklanki
krupski mlyn	Krupski Młyn
kruszwica	Kruszwica
krynica morska	Krynica Morska
krynica-zdroj	Krynica-Zdrój
krynice	Krynice
krynki	Krynki
kryry	Kryry
kryspinow	Kryspinów
krzanowice	Krzanowice
krzczonow	Krzczonów
krzecin	Krzęcin
krzeczow	Krzeczów
krzeczowice	Krzeczowice
krzemienica	Krzemienica
krzemieniewo	Krzemieniewo
krzepice	Krzepice
krzeszow	Krzeszów
krzeszowice	Krzeszowice
krzeszyce	Krzeszyce
krzyki	Krzyki
krzyki-partynice	Krzyki-Partynice
krzykosy	Krzykosy
krzymow	Krzymów
krzynowloga mala	Krzynowłoga Mała
krzyszkowice	Krzyszkowice
krzywaczka	Krzywaczka
krzywcza	Krzywcza
krzywda	Krzywda
krzywin	Krzywiń
krzyz wielkopolski	Krzyż Wielkopolski
krzyzanow	Krzyżanów
krzyzanowice	Krzyżanowice
krzyzowa	Krzyżowa
krzyzowice	Krzyżowice
ksawerow	Ksawerów
ksiaz wielkopolski	Książ Wielkopolski
ksiazenice	Książenice
ksiazki	Książki
ksieze	Księże
ksieze male-ksieze wielkie	Księże Małe-Księże Wielkie
ksiezomierz	Księżomierz
ksiezpol	Księżpol
